partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",2,2,2
"JUSTICIALISTA (2)",177,180,188
"UNIÓN CÍVICA RADICAL (3)",140,138,138
"MOVIMIENTO SIEMPRE CORRIENTES (4)",1,1,1
"DEMÓCRATA CRISTIANO (5)",0,0,0
"DE LA CONCERTACIÓN - FORJA (7)",2,2,2
"FEDERAL (8)",4,4,-
"DEMÓCRATA PROGRESISTA (9)",3,3,3
"RENOVADOR FEDERAL (10)",5,5,5
"LADRILLEROS UNIDOS (11)",3,3,3
"COMUNISTA (12)",2,2,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",2,2,2
"ACCIÓN POR CORRIENTES (14)",3,3,3
"UNIDOS POR CORRIENTES (15)",1,1,1
"LABORISTA AUTÓNOMO (17)",5,5,5
"ELI - ENCUENTRO LIBERAL (18)",53,51,51
"CAMBIO POPULAR (19)",14,14,14
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",5,5,-
"CONVOCATORIA POPULAR (21)",0,0,-
"FE (23)",0,0,0
"NUESTRA CAUSA (24)",2,2,2
"UNION POPULAR (25)",5,5,5
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",6,6,6
"ENCUENTRO CORRELIGIONARIO (27)",17,17,17
"CAMBIO AUSTERIDAD Y PROGRESO (28)",0,0,0
"DEL TRABAJO Y DEL PUEBLO (29)",5,5,5
"CIUDADANOS A GOBERNAR (30)",4,4,4
"CONSERVADOR POPULAR (31)",1,1,1
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",4,4,4
"NUEVO PAIS (33)",0,0,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",3,3,3
"TERCERA POSICIÓN (35)",0,0,0
"UNIÓN CORRENTINA (37)",3,3,3
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",2,2,2
"UNIÓN PARA EL DESARROLLO (42)",4,4,4
"NORTE GRANDE (43)",1,1,1
"ACCIÓN POR LA REPÚBLICA (44)",2,2,2
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",3,3,3
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",3,3,3
"PARTIDO AGRARIO Y SOCIAL (49)",4,4,-
"SOCIALISTA (50)",1,1,1
"LIBERAL (51)",289,287,287
"AUTONOMISTA (52)",3,3,3
"DE LA VICTORIA (54)",12,12,12
"PROYECTO CORRIENTES (57)",8,8,-
"PRO - PROPUESTA REPUBLICANA (64)",6,6,6
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",7,7,7
"NUEVO (90)",99,99,99
"POPULAR CORRENTINO (169)",15,15,15
"CRECER CON TODOS (170)",1,1,1
"UNIÓN CELESTE Y BLANCO (173)",3,3,-
"COMPROMISO CORRENTINO (175)",1,1,-
"KOLINA (192)",1,1,1
"Votos en Blanco",11,18,37
"Votos Nulos",14,10,10
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
