partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",41,40,40,39,38
"JUSTICIALISTA (2)",203,209,321,218,203
"UNIÓN CÍVICA RADICAL (3)",478,475,468,540,513
"MOVIMIENTO SIEMPRE CORRIENTES (4)",30,25,23,23,23
"DEMÓCRATA CRISTIANO (5)",29,29,30,33,30
"DE LA CONCERTACIÓN - FORJA (7)",31,31,31,31,31
"FEDERAL (8)",31,30,-,46,44
"DEMÓCRATA PROGRESISTA (9)",31,31,30,-,-
"RENOVADOR FEDERAL (10)",22,23,23,24,24
"LADRILLEROS UNIDOS (11)",36,33,33,34,32
"COMUNISTA (12)",2,2,-,9,9
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",9,9,9,10,9
"ACCIÓN POR CORRIENTES (14)",45,44,43,44,43
"UNIDOS POR CORRIENTES (15)",18,17,17,17,17
"LABORISTA AUTÓNOMO (17)",14,14,14,-,-
"ELI - ENCUENTRO LIBERAL (18)",151,148,147,147,139
"CAMBIO POPULAR (19)",15,15,14,14,14
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",3,3,-,3,3
"CONVOCATORIA POPULAR (21)",3,3,-,3,4
"FE (23)",1,1,1,1,1
"NUESTRA CAUSA (24)",6,6,6,6,6
"UNION POPULAR (25)",36,34,34,43,44
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",13,13,13,13,13
"ENCUENTRO CORRELIGIONARIO (27)",12,10,10,14,10
"CAMBIO AUSTERIDAD Y PROGRESO (28)",6,6,6,6,6
"DEL TRABAJO Y DEL PUEBLO (29)",6,6,6,6,6
"CIUDADANOS A GOBERNAR (30)",16,14,14,14,14
"CONSERVADOR POPULAR (31)",4,4,4,4,4
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",33,28,26,30,37
"NUEVO PAIS (33)",3,3,-,3,3
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",35,33,33,-,-
"TERCERA POSICIÓN (35)",4,4,4,4,4
"UNIÓN CORRENTINA (37)",8,8,7,7,7
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",6,5,5,6,6
"UNIÓN PARA EL DESARROLLO (42)",7,7,7,7,7
"NORTE GRANDE (43)",4,4,4,4,4
"ACCIÓN POR LA REPÚBLICA (44)",14,12,12,12,9
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",7,7,-,7,7
"VAMOS CORRIENTES (46)",14,14,14,14,13
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",36,35,35,35,34
"PARTIDO AGRARIO Y SOCIAL (49)",11,11,-,11,11
"SOCIALISTA (50)",17,16,17,16,16
"LIBERAL (51)",50,44,44,45,45
"AUTONOMISTA (52)",64,57,59,68,88
"DE LA VICTORIA (54)",10,11,11,11,11
"PROYECTO CORRIENTES (57)",4,4,-,4,4
"PRO - PROPUESTA REPUBLICANA (64)",21,21,21,21,21
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",8,8,8,8,8
"NUEVO (90)",20,20,20,20,20
"POPULAR CORRENTINO (169)",58,52,51,55,50
"CRECER CON TODOS (170)",42,40,40,43,42
"UNIÓN CELESTE Y BLANCO (173)",28,28,-,28,28
"COMPROMISO CORRENTINO (175)",8,8,-,7,7
"KOLINA (192)",7,7,7,7,7
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,6,7
"Votos en Blanco",56,116,116,57,102
"Votos Nulos",18,7,7,7,7
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
