partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",60,56,54,50,48
"JUSTICIALISTA (2)",82,81,240,89,90
"UNIÓN CÍVICA RADICAL (3)",497,469,467,296,292
"MOVIMIENTO SIEMPRE CORRIENTES (4)",57,56,56,48,49
"DEMÓCRATA CRISTIANO (5)",25,24,25,29,29
"DE LA CONCERTACIÓN - FORJA (7)",16,14,14,13,13
"FEDERAL (8)",17,9,-,25,21
"DEMÓCRATA PROGRESISTA (9)",45,45,44,41,43
"RENOVADOR FEDERAL (10)",24,27,30,38,35
"LADRILLEROS UNIDOS (11)",49,48,43,41,43
"COMUNISTA (12)",17,16,-,17,27
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",31,30,30,15,15
"ACCIÓN POR CORRIENTES (14)",24,23,24,23,24
"UNIDOS POR CORRIENTES (15)",37,35,35,32,31
"LABORISTA AUTÓNOMO (17)",16,16,15,16,13
"ELI - ENCUENTRO LIBERAL (18)",78,75,72,73,71
"CAMBIO POPULAR (19)",17,18,18,23,23
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",10,10,-,16,14
"CONVOCATORIA POPULAR (21)",9,9,-,9,-
"FE (23)",6,5,6,10,-
"NUESTRA CAUSA (24)",5,5,5,7,5
"UNION POPULAR (25)",57,55,54,53,55
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",10,10,10,16,14
"ENCUENTRO CORRELIGIONARIO (27)",24,24,22,20,20
"CAMBIO AUSTERIDAD Y PROGRESO (28)",23,21,20,20,21
"DEL TRABAJO Y DEL PUEBLO (29)",18,17,17,23,22
"CIUDADANOS A GOBERNAR (30)",29,29,28,28,28
"CONSERVADOR POPULAR (31)",13,12,10,10,10
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",42,39,40,37,37
"NUEVO PAIS (33)",15,16,-,24,22
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",9,7,7,8,8
"TERCERA POSICIÓN (35)",8,8,8,9,-
"UNIÓN CORRENTINA (37)",18,18,17,17,17
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",21,21,21,20,20
"UNIÓN PARA EL DESARROLLO (42)",22,21,21,21,21
"NORTE GRANDE (43)",24,22,22,19,19
"ACCIÓN POR LA REPÚBLICA (44)",28,26,25,23,25
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",16,16,-,21,21
"VAMOS CORRIENTES (46)",46,43,42,42,41
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",102,96,93,98,97
"PARTIDO AGRARIO Y SOCIAL (49)",32,31,-,37,35
"SOCIALISTA (50)",5,5,5,5,5
"LIBERAL (51)",99,96,97,92,93
"AUTONOMISTA (52)",40,39,37,34,35
"DE LA VICTORIA (54)",24,23,23,27,26
"PROYECTO CORRIENTES (57)",45,47,-,74,65
"PRO - PROPUESTA REPUBLICANA (64)",36,32,31,26,27
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",7,8,7,9,7
"NUEVO (90)",50,51,51,44,46
"POPULAR CORRENTINO (169)",121,117,116,102,101
"CRECER CON TODOS (170)",39,37,37,36,36
"UNIÓN CELESTE Y BLANCO (173)",8,8,-,9,12
"COMPROMISO CORRENTINO (175)",23,22,-,27,26
"KOLINA (192)",6,7,6,9,8
"INTEGRACIÓN CORRENTINA (36)",-,-,-,148,145
"NUEVA CORRIENTES (41)",-,-,-,18,18
"Votos en Blanco",51,145,196,115,162
"Votos Nulos",57,47,46,54,54
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
