partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",0,0,0
"JUSTICIALISTA (2)",37,40,47
"UNIÓN CÍVICA RADICAL (3)",96,94,92
"MOVIMIENTO SIEMPRE CORRIENTES (4)",0,0,0
"DEMÓCRATA CRISTIANO (5)",3,3,3
"DE LA CONCERTACIÓN - FORJA (7)",4,4,3
"FEDERAL (8)",0,0,-
"DEMÓCRATA PROGRESISTA (9)",2,2,2
"RENOVADOR FEDERAL (10)",0,0,0
"LADRILLEROS UNIDOS (11)",2,2,2
"COMUNISTA (12)",1,1,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0
"ACCIÓN POR CORRIENTES (14)",22,22,21
"UNIDOS POR CORRIENTES (15)",8,8,8
"LABORISTA AUTÓNOMO (17)",0,0,0
"ELI - ENCUENTRO LIBERAL (18)",9,7,7
"CAMBIO POPULAR (19)",2,2,1
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",4,4,-
"CONVOCATORIA POPULAR (21)",0,0,-
"FE (23)",0,1,1
"NUESTRA CAUSA (24)",1,1,1
"UNION POPULAR (25)",1,1,1
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0
"ENCUENTRO CORRELIGIONARIO (27)",9,9,9
"CAMBIO AUSTERIDAD Y PROGRESO (28)",0,0,0
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0
"CIUDADANOS A GOBERNAR (30)",1,1,1
"CONSERVADOR POPULAR (31)",0,0,0
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",0,0,0
"NUEVO PAIS (33)",1,0,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",4,4,4
"TERCERA POSICIÓN (35)",0,0,0
"UNIÓN CORRENTINA (37)",3,3,3
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",0,0,0
"UNIÓN PARA EL DESARROLLO (42)",0,0,0
"NORTE GRANDE (43)",0,0,0
"ACCIÓN POR LA REPÚBLICA (44)",0,0,0
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",1,0,0
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",1,1,1
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-
"SOCIALISTA (50)",0,0,0
"LIBERAL (51)",16,16,16
"AUTONOMISTA (52)",2,2,2
"DE LA VICTORIA (54)",0,0,0
"PROYECTO CORRIENTES (57)",0,0,-
"PRO - PROPUESTA REPUBLICANA (64)",6,6,6
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",0,0,0
"NUEVO (90)",0,0,0
"POPULAR CORRENTINO (169)",0,0,0
"CRECER CON TODOS (170)",1,1,1
"UNIÓN CELESTE Y BLANCO (173)",0,0,-
"COMPROMISO CORRENTINO (175)",0,0,-
"KOLINA (192)",1,1,1
"Votos en Blanco",1,3,5
"Votos Nulos",2,2,3
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
