partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",16,16,16,16,17
"JUSTICIALISTA (2)",208,212,284,231,231
"UNIÓN CÍVICA RADICAL (3)",235,226,224,217,220
"MOVIMIENTO SIEMPRE CORRIENTES (4)",13,12,12,10,10
"DEMÓCRATA CRISTIANO (5)",3,3,3,4,4
"DE LA CONCERTACIÓN - FORJA (7)",5,5,5,5,5
"FEDERAL (8)",3,3,-,-,-
"DEMÓCRATA PROGRESISTA (9)",6,6,6,6,6
"RENOVADOR FEDERAL (10)",29,30,33,40,38
"LADRILLEROS UNIDOS (11)",7,6,6,6,7
"COMUNISTA (12)",4,4,-,4,4
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",9,10,10,9,9
"ACCIÓN POR CORRIENTES (14)",53,53,53,54,54
"UNIDOS POR CORRIENTES (15)",5,5,5,5,5
"LABORISTA AUTÓNOMO (17)",5,5,5,3,4
"ELI - ENCUENTRO LIBERAL (18)",485,476,475,493,478
"CAMBIO POPULAR (19)",16,16,16,18,16
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",1,1,-,0,0
"CONVOCATORIA POPULAR (21)",2,2,-,3,3
"FE (23)",4,4,4,5,5
"NUESTRA CAUSA (24)",3,4,4,4,3
"UNION POPULAR (25)",4,4,4,4,4
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",12,12,12,15,16
"ENCUENTRO CORRELIGIONARIO (27)",5,5,5,5,5
"CAMBIO AUSTERIDAD Y PROGRESO (28)",18,18,21,14,13
"DEL TRABAJO Y DEL PUEBLO (29)",3,3,3,4,4
"CIUDADANOS A GOBERNAR (30)",9,8,7,7,7
"CONSERVADOR POPULAR (31)",4,4,4,4,4
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",4,4,4,4,4
"NUEVO PAIS (33)",13,12,-,12,12
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",8,8,8,8,8
"TERCERA POSICIÓN (35)",8,8,8,9,9
"UNIÓN CORRENTINA (37)",5,5,5,5,5
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",7,7,7,7,7
"UNIÓN PARA EL DESARROLLO (42)",7,7,7,7,7
"NORTE GRANDE (43)",15,15,15,16,15
"ACCIÓN POR LA REPÚBLICA (44)",24,23,23,23,24
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,0
"VAMOS CORRIENTES (46)",7,6,6,6,6
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",14,12,12,12,12
"PARTIDO AGRARIO Y SOCIAL (49)",26,23,-,17,18
"SOCIALISTA (50)",6,6,6,6,6
"LIBERAL (51)",101,95,96,100,104
"AUTONOMISTA (52)",38,39,40,31,36
"DE LA VICTORIA (54)",9,9,9,9,9
"PROYECTO CORRIENTES (57)",3,3,-,3,4
"PRO - PROPUESTA REPUBLICANA (64)",74,69,69,80,81
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",8,8,9,10,10
"NUEVO (90)",47,48,48,45,44
"POPULAR CORRENTINO (169)",107,101,101,97,101
"CRECER CON TODOS (170)",31,26,25,26,29
"UNIÓN CELESTE Y BLANCO (173)",36,36,-,37,36
"COMPROMISO CORRENTINO (175)",5,5,-,1,1
"KOLINA (192)",8,8,8,8,8
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,0,0
"Votos en Blanco",61,106,118,76,75
"Votos Nulos",15,12,13,13,11
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
