partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",21,20,20,25,23
"JUSTICIALISTA (2)",125,118,132,-,-
"UNIÓN CÍVICA RADICAL (3)",181,178,179,246,220
"MOVIMIENTO SIEMPRE CORRIENTES (4)",48,46,48,56,52
"DEMÓCRATA CRISTIANO (5)",16,16,16,-,-
"DE LA CONCERTACIÓN - FORJA (7)",24,24,24,26,24
"FEDERAL (8)",0,0,-,-,-
"DEMÓCRATA PROGRESISTA (9)",23,22,22,22,22
"RENOVADOR FEDERAL (10)",2,2,2,-,-
"LADRILLEROS UNIDOS (11)",14,14,13,13,13
"COMUNISTA (12)",3,2,-,-,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",1,1,1,-,-
"ACCIÓN POR CORRIENTES (14)",24,23,24,35,35
"UNIDOS POR CORRIENTES (15)",14,13,13,19,18
"LABORISTA AUTÓNOMO (17)",14,14,14,14,13
"ELI - ENCUENTRO LIBERAL (18)",180,179,181,203,197
"CAMBIO POPULAR (19)",5,3,3,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",1,1,-,-,-
"CONVOCATORIA POPULAR (21)",1,1,-,-,-
"FE (23)",0,0,0,-,-
"NUESTRA CAUSA (24)",6,5,5,-,-
"UNION POPULAR (25)",37,37,37,40,39
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,-,-
"ENCUENTRO CORRELIGIONARIO (27)",40,39,39,45,39
"CAMBIO AUSTERIDAD Y PROGRESO (28)",78,75,77,82,81
"DEL TRABAJO Y DEL PUEBLO (29)",15,16,12,-,26
"CIUDADANOS A GOBERNAR (30)",13,13,13,16,12
"CONSERVADOR POPULAR (31)",14,14,14,13,14
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",2,2,2,2,3
"NUEVO PAIS (33)",2,2,-,-,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",21,20,20,20,20
"TERCERA POSICIÓN (35)",5,4,4,-,-
"UNIÓN CORRENTINA (37)",35,35,35,37,36
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",13,13,13,-,-
"UNIÓN PARA EL DESARROLLO (42)",13,13,13,16,16
"NORTE GRANDE (43)",242,244,246,283,270
"ACCIÓN POR LA REPÚBLICA (44)",17,17,17,34,36
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",134,133,133,155,143
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",11,11,11,11,10
"PARTIDO AGRARIO Y SOCIAL (49)",2,1,-,-,-
"SOCIALISTA (50)",19,19,19,24,25
"LIBERAL (51)",97,91,91,99,107
"AUTONOMISTA (52)",367,366,368,386,392
"DE LA VICTORIA (54)",2,2,2,-,-
"PROYECTO CORRIENTES (57)",2,2,-,-,-
"PRO - PROPUESTA REPUBLICANA (64)",135,135,134,141,138
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",1,1,1,-,-
"NUEVO (90)",127,125,126,137,139
"POPULAR CORRENTINO (169)",57,57,58,23,25
"CRECER CON TODOS (170)",25,24,26,29,29
"UNIÓN CELESTE Y BLANCO (173)",4,4,-,-,-
"COMPROMISO CORRENTINO (175)",3,1,-,-,-
"KOLINA (192)",1,1,1,-,-
"Votos en Blanco",52,91,81,43,77
"Votos Nulos",22,21,21,17,18
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
