partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",5,5,5,6,5
"JUSTICIALISTA (2)",56,55,57,-,-
"UNIÓN CÍVICA RADICAL (3)",39,38,38,77,76
"MOVIMIENTO SIEMPRE CORRIENTES (4)",8,8,8,12,12
"DEMÓCRATA CRISTIANO (5)",4,4,4,-,-
"DE LA CONCERTACIÓN - FORJA (7)",12,12,12,13,13
"FEDERAL (8)",0,0,-,-,-
"DEMÓCRATA PROGRESISTA (9)",2,2,2,2,2
"RENOVADOR FEDERAL (10)",2,1,1,-,-
"LADRILLEROS UNIDOS (11)",2,2,2,2,2
"COMUNISTA (12)",0,0,-,-,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0,-,-
"ACCIÓN POR CORRIENTES (14)",8,8,8,9,8
"UNIDOS POR CORRIENTES (15)",6,7,7,11,11
"LABORISTA AUTÓNOMO (17)",2,2,2,2,2
"ELI - ENCUENTRO LIBERAL (18)",92,92,93,105,101
"CAMBIO POPULAR (19)",1,1,1,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,-,-
"CONVOCATORIA POPULAR (21)",5,5,-,-,-
"FE (23)",0,0,0,-,-
"NUESTRA CAUSA (24)",1,1,1,-,-
"UNION POPULAR (25)",14,14,14,15,14
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",1,0,0,-,-
"ENCUENTRO CORRELIGIONARIO (27)",20,20,21,34,28
"CAMBIO AUSTERIDAD Y PROGRESO (28)",21,21,23,24,24
"DEL TRABAJO Y DEL PUEBLO (29)",25,25,25,-,30
"CIUDADANOS A GOBERNAR (30)",0,0,0,0,0
"CONSERVADOR POPULAR (31)",2,2,3,3,3
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",3,3,3,3,3
"NUEVO PAIS (33)",0,0,-,-,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",2,2,2,2,2
"TERCERA POSICIÓN (35)",1,1,1,-,-
"UNIÓN CORRENTINA (37)",6,6,6,8,6
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",8,8,8,-,-
"UNIÓN PARA EL DESARROLLO (42)",6,6,6,8,8
"NORTE GRANDE (43)",69,69,77,84,87
"ACCIÓN POR LA REPÚBLICA (44)",1,1,1,5,7
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",99,99,108,119,118
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",3,3,3,3,3
"PARTIDO AGRARIO Y SOCIAL (49)",47,50,-,-,-
"SOCIALISTA (50)",2,2,2,3,2
"LIBERAL (51)",150,147,150,166,168
"AUTONOMISTA (52)",76,75,76,80,82
"DE LA VICTORIA (54)",0,0,0,-,-
"PROYECTO CORRIENTES (57)",0,0,-,-,-
"PRO - PROPUESTA REPUBLICANA (64)",20,20,20,20,20
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",0,0,0,-,-
"NUEVO (90)",19,19,19,29,24
"POPULAR CORRENTINO (169)",12,12,12,5,5
"CRECER CON TODOS (170)",10,11,23,26,25
"UNIÓN CELESTE Y BLANCO (173)",3,2,-,-,-
"COMPROMISO CORRENTINO (175)",0,0,-,-,-
"KOLINA (192)",0,0,0,-,-
"Votos en Blanco",49,53,70,43,28
"Votos Nulos",10,10,9,4,4
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
