partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",20,19,19
"JUSTICIALISTA (2)",218,220,295
"UNIÓN CÍVICA RADICAL (3)",366,358,358
"MOVIMIENTO SIEMPRE CORRIENTES (4)",26,25,25
"DEMÓCRATA CRISTIANO (5)",13,14,13
"DE LA CONCERTACIÓN - FORJA (7)",6,6,6
"FEDERAL (8)",18,18,-
"DEMÓCRATA PROGRESISTA (9)",11,11,10
"RENOVADOR FEDERAL (10)",21,20,19
"LADRILLEROS UNIDOS (11)",9,7,7
"COMUNISTA (12)",12,12,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",15,13,13
"ACCIÓN POR CORRIENTES (14)",9,9,9
"UNIDOS POR CORRIENTES (15)",21,19,19
"LABORISTA AUTÓNOMO (17)",6,6,6
"ELI - ENCUENTRO LIBERAL (18)",521,514,515
"CAMBIO POPULAR (19)",8,8,7
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-
"CONVOCATORIA POPULAR (21)",12,12,-
"FE (23)",8,8,8
"NUESTRA CAUSA (24)",13,13,12
"UNION POPULAR (25)",17,16,16
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",7,7,7
"ENCUENTRO CORRELIGIONARIO (27)",12,12,12
"CAMBIO AUSTERIDAD Y PROGRESO (28)",20,19,19
"DEL TRABAJO Y DEL PUEBLO (29)",3,3,3
"CIUDADANOS A GOBERNAR (30)",1,1,1
"CONSERVADOR POPULAR (31)",8,6,6
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",12,10,12
"NUEVO PAIS (33)",2,2,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",1,1,1
"TERCERA POSICIÓN (35)",7,7,7
"UNIÓN CORRENTINA (37)",2,2,2
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",7,7,8
"UNIÓN PARA EL DESARROLLO (42)",5,5,4
"NORTE GRANDE (43)",3,3,3
"ACCIÓN POR LA REPÚBLICA (44)",29,22,22
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",12,12,10
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",10,7,7
"PARTIDO AGRARIO Y SOCIAL (49)",18,18,-
"SOCIALISTA (50)",0,0,0
"LIBERAL (51)",44,44,45
"AUTONOMISTA (52)",45,44,45
"DE LA VICTORIA (54)",10,10,10
"PROYECTO CORRIENTES (57)",6,8,-
"PRO - PROPUESTA REPUBLICANA (64)",6,6,6
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",1,1,1
"NUEVO (90)",21,22,23
"POPULAR CORRENTINO (169)",78,78,75
"CRECER CON TODOS (170)",25,25,25
"UNIÓN CELESTE Y BLANCO (173)",8,9,-
"COMPROMISO CORRENTINO (175)",8,8,-
"KOLINA (192)",20,21,21
"Votos en Blanco",23,56,72
"Votos Nulos",20,20,20
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
