partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",17,17,17
"JUSTICIALISTA (2)",270,270,334
"UNIÓN CÍVICA RADICAL (3)",433,401,401
"MOVIMIENTO SIEMPRE CORRIENTES (4)",4,4,4
"DEMÓCRATA CRISTIANO (5)",5,5,5
"DE LA CONCERTACIÓN - FORJA (7)",12,12,12
"FEDERAL (8)",1,1,-
"DEMÓCRATA PROGRESISTA (9)",12,12,12
"RENOVADOR FEDERAL (10)",16,15,15
"LADRILLEROS UNIDOS (11)",16,16,15
"COMUNISTA (12)",1,1,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",12,12,12
"ACCIÓN POR CORRIENTES (14)",13,12,12
"UNIDOS POR CORRIENTES (15)",13,12,12
"LABORISTA AUTÓNOMO (17)",4,3,3
"ELI - ENCUENTRO LIBERAL (18)",581,578,578
"CAMBIO POPULAR (19)",4,4,4
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",8,8,-
"CONVOCATORIA POPULAR (21)",8,8,-
"FE (23)",2,2,2
"NUESTRA CAUSA (24)",6,6,6
"UNION POPULAR (25)",13,13,13
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",13,13,13
"ENCUENTRO CORRELIGIONARIO (27)",29,29,29
"CAMBIO AUSTERIDAD Y PROGRESO (28)",22,22,22
"DEL TRABAJO Y DEL PUEBLO (29)",9,9,9
"CIUDADANOS A GOBERNAR (30)",5,5,5
"CONSERVADOR POPULAR (31)",2,2,1
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",8,8,13
"NUEVO PAIS (33)",4,4,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",5,5,5
"TERCERA POSICIÓN (35)",5,5,5
"UNIÓN CORRENTINA (37)",19,18,18
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",5,5,5
"UNIÓN PARA EL DESARROLLO (42)",6,6,6
"NORTE GRANDE (43)",15,12,12
"ACCIÓN POR LA REPÚBLICA (44)",19,18,18
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",16,16,17
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",12,11,11
"PARTIDO AGRARIO Y SOCIAL (49)",19,19,-
"SOCIALISTA (50)",5,5,5
"LIBERAL (51)",52,50,50
"AUTONOMISTA (52)",70,70,71
"DE LA VICTORIA (54)",17,17,17
"PROYECTO CORRIENTES (57)",5,5,-
"PRO - PROPUESTA REPUBLICANA (64)",11,10,10
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",15,15,15
"NUEVO (90)",18,18,19
"POPULAR CORRENTINO (169)",112,110,108
"CRECER CON TODOS (170)",36,31,31
"UNIÓN CELESTE Y BLANCO (173)",16,15,-
"COMPROMISO CORRENTINO (175)",12,12,-
"KOLINA (192)",26,26,26
"Votos en Blanco",38,110,115
"Votos Nulos",30,14,14
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
