partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",115,105,97,95,93
"JUSTICIALISTA (2)",64,62,344,72,65
"UNIÓN CÍVICA RADICAL (3)",636,599,593,506,501
"MOVIMIENTO SIEMPRE CORRIENTES (4)",65,59,55,48,47
"DEMÓCRATA CRISTIANO (5)",25,25,27,41,35
"DE LA CONCERTACIÓN - FORJA (7)",60,51,51,47,47
"FEDERAL (8)",50,52,-,74,68
"DEMÓCRATA PROGRESISTA (9)",60,57,57,49,53
"RENOVADOR FEDERAL (10)",40,41,43,52,49
"LADRILLEROS UNIDOS (11)",54,53,50,45,47
"COMUNISTA (12)",24,23,-,29,38
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",40,36,38,24,21
"ACCIÓN POR CORRIENTES (14)",36,33,33,26,26
"UNIDOS POR CORRIENTES (15)",50,46,45,44,42
"LABORISTA AUTÓNOMO (17)",38,35,32,31,31
"ELI - ENCUENTRO LIBERAL (18)",117,113,112,103,101
"CAMBIO POPULAR (19)",21,21,22,32,31
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",15,16,-,33,33
"CONVOCATORIA POPULAR (21)",10,8,-,8,-
"FE (23)",13,13,16,19,-
"NUESTRA CAUSA (24)",8,8,7,9,9
"UNION POPULAR (25)",65,61,61,59,62
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",21,21,24,30,27
"ENCUENTRO CORRELIGIONARIO (27)",65,62,60,57,57
"CAMBIO AUSTERIDAD Y PROGRESO (28)",18,19,18,10,11
"DEL TRABAJO Y DEL PUEBLO (29)",29,30,34,41,35
"CIUDADANOS A GOBERNAR (30)",18,16,17,16,17
"CONSERVADOR POPULAR (31)",14,13,13,11,12
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",42,42,42,43,40
"NUEVO PAIS (33)",44,44,-,65,57
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",33,33,33,31,33
"TERCERA POSICIÓN (35)",9,9,10,12,-
"UNIÓN CORRENTINA (37)",36,36,35,34,34
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",33,30,30,26,27
"UNIÓN PARA EL DESARROLLO (42)",26,24,24,23,23
"NORTE GRANDE (43)",19,18,18,18,19
"ACCIÓN POR LA REPÚBLICA (44)",27,26,25,21,22
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",35,33,-,45,43
"VAMOS CORRIENTES (46)",53,49,48,46,46
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",177,172,168,162,164
"PARTIDO AGRARIO Y SOCIAL (49)",45,42,-,54,48
"SOCIALISTA (50)",30,30,29,27,27
"LIBERAL (51)",52,49,48,40,43
"AUTONOMISTA (52)",63,63,63,53,56
"DE LA VICTORIA (54)",28,26,26,32,27
"PROYECTO CORRIENTES (57)",60,61,-,99,88
"PRO - PROPUESTA REPUBLICANA (64)",54,51,50,46,47
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",5,5,8,7,7
"NUEVO (90)",57,58,56,46,52
"POPULAR CORRENTINO (169)",169,159,155,140,140
"CRECER CON TODOS (170)",35,34,34,34,33
"UNIÓN CELESTE Y BLANCO (173)",19,19,-,30,29
"COMPROMISO CORRENTINO (175)",15,15,-,20,20
"KOLINA (192)",12,12,13,14,15
"INTEGRACIÓN CORRENTINA (36)",-,-,-,72,73
"NUEVA CORRIENTES (41)",-,-,-,31,31
"Votos en Blanco",88,226,278,163,244
"Votos Nulos",83,75,77,74,73
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
