partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",64,57,56,60,59
"JUSTICIALISTA (2)",113,111,337,139,126
"UNIÓN CÍVICA RADICAL (3)",588,545,535,430,428
"MOVIMIENTO SIEMPRE CORRIENTES (4)",63,57,57,55,58
"DEMÓCRATA CRISTIANO (5)",14,13,12,23,21
"DE LA CONCERTACIÓN - FORJA (7)",86,78,78,74,73
"FEDERAL (8)",53,54,-,76,69
"DEMÓCRATA PROGRESISTA (9)",58,53,52,49,49
"RENOVADOR FEDERAL (10)",52,52,55,64,57
"LADRILLEROS UNIDOS (11)",39,37,41,36,36
"COMUNISTA (12)",23,24,-,27,38
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",31,32,34,27,25
"ACCIÓN POR CORRIENTES (14)",46,42,41,35,36
"UNIDOS POR CORRIENTES (15)",51,49,49,42,42
"LABORISTA AUTÓNOMO (17)",64,60,59,59,57
"ELI - ENCUENTRO LIBERAL (18)",119,116,113,107,106
"CAMBIO POPULAR (19)",18,19,17,21,18
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",14,14,-,18,14
"CONVOCATORIA POPULAR (21)",11,10,-,12,-
"FE (23)",20,19,19,28,-
"NUESTRA CAUSA (24)",9,9,10,14,14
"UNION POPULAR (25)",55,52,50,47,49
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",17,20,25,21,19
"ENCUENTRO CORRELIGIONARIO (27)",73,68,67,62,61
"CAMBIO AUSTERIDAD Y PROGRESO (28)",22,21,21,21,21
"DEL TRABAJO Y DEL PUEBLO (29)",13,15,16,17,15
"CIUDADANOS A GOBERNAR (30)",51,46,46,42,44
"CONSERVADOR POPULAR (31)",42,40,41,42,38
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",24,22,23,22,22
"NUEVO PAIS (33)",18,19,-,31,28
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",15,15,14,12,13
"TERCERA POSICIÓN (35)",4,4,5,10,-
"UNIÓN CORRENTINA (37)",22,22,22,21,21
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",27,24,24,20,20
"UNIÓN PARA EL DESARROLLO (42)",14,14,13,12,13
"NORTE GRANDE (43)",8,8,8,7,8
"ACCIÓN POR LA REPÚBLICA (44)",16,14,15,13,15
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",22,20,-,29,29
"VAMOS CORRIENTES (46)",24,24,23,20,19
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",93,92,81,80,84
"PARTIDO AGRARIO Y SOCIAL (49)",30,32,-,41,37
"SOCIALISTA (50)",24,23,23,24,23
"LIBERAL (51)",53,48,48,48,46
"AUTONOMISTA (52)",59,58,58,54,54
"DE LA VICTORIA (54)",18,19,20,23,19
"PROYECTO CORRIENTES (57)",18,21,-,28,24
"PRO - PROPUESTA REPUBLICANA (64)",33,30,30,26,26
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",8,9,9,14,14
"NUEVO (90)",53,49,52,41,46
"POPULAR CORRENTINO (169)",124,114,113,107,109
"CRECER CON TODOS (170)",29,18,18,17,15
"UNIÓN CELESTE Y BLANCO (173)",16,16,-,20,19
"COMPROMISO CORRENTINO (175)",17,18,-,22,19
"KOLINA (192)",6,6,7,8,10
"INTEGRACIÓN CORRENTINA (36)",-,-,-,80,78
"NUEVA CORRIENTES (41)",-,-,-,16,14
"Votos en Blanco",59,188,203,147,242
"Votos Nulos",55,58,58,57,58
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
