partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",123,116,119
"JUSTICIALISTA (2)",138,139,247
"UNIÓN CÍVICA RADICAL (3)",415,389,386
"MOVIMIENTO SIEMPRE CORRIENTES (4)",7,7,7
"DEMÓCRATA CRISTIANO (5)",3,3,4
"DE LA CONCERTACIÓN - FORJA (7)",10,10,10
"FEDERAL (8)",14,14,-
"DEMÓCRATA PROGRESISTA (9)",20,19,19
"RENOVADOR FEDERAL (10)",13,16,18
"LADRILLEROS UNIDOS (11)",16,15,15
"COMUNISTA (12)",4,4,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",5,5,5
"ACCIÓN POR CORRIENTES (14)",26,25,24
"UNIDOS POR CORRIENTES (15)",29,28,28
"LABORISTA AUTÓNOMO (17)",13,13,12
"ELI - ENCUENTRO LIBERAL (18)",112,110,111
"CAMBIO POPULAR (19)",16,16,16
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",2,2,-
"CONVOCATORIA POPULAR (21)",17,17,-
"FE (23)",5,6,6
"NUESTRA CAUSA (24)",20,20,20
"UNION POPULAR (25)",65,63,63
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",17,16,16
"ENCUENTRO CORRELIGIONARIO (27)",32,30,31
"CAMBIO AUSTERIDAD Y PROGRESO (28)",24,24,24
"DEL TRABAJO Y DEL PUEBLO (29)",10,10,10
"CIUDADANOS A GOBERNAR (30)",17,17,17
"CONSERVADOR POPULAR (31)",11,11,11
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",26,24,25
"NUEVO PAIS (33)",15,15,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",16,15,15
"TERCERA POSICIÓN (35)",10,10,10
"UNIÓN CORRENTINA (37)",20,18,18
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",18,18,18
"UNIÓN PARA EL DESARROLLO (42)",23,21,21
"NORTE GRANDE (43)",28,26,26
"ACCIÓN POR LA REPÚBLICA (44)",23,20,20
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",72,67,67
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",117,115,115
"PARTIDO AGRARIO Y SOCIAL (49)",3,3,-
"SOCIALISTA (50)",15,14,14
"LIBERAL (51)",110,107,106
"AUTONOMISTA (52)",93,89,89
"DE LA VICTORIA (54)",58,58,57
"PROYECTO CORRIENTES (57)",16,15,-
"PRO - PROPUESTA REPUBLICANA (64)",106,96,94
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",6,6,6
"NUEVO (90)",87,82,81
"POPULAR CORRENTINO (169)",191,185,183
"CRECER CON TODOS (170)",52,50,51
"UNIÓN CELESTE Y BLANCO (173)",48,49,-
"COMPROMISO CORRENTINO (175)",18,19,-
"KOLINA (192)",59,60,61
"Votos en Blanco",59,147,178
"Votos Nulos",53,52,52
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
