partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",102,96,98
"JUSTICIALISTA (2)",72,74,131
"UNIÓN CÍVICA RADICAL (3)",316,308,314
"MOVIMIENTO SIEMPRE CORRIENTES (4)",65,63,62
"DEMÓCRATA CRISTIANO (5)",17,18,18
"DE LA CONCERTACIÓN - FORJA (7)",22,21,21
"FEDERAL (8)",10,10,-
"DEMÓCRATA PROGRESISTA (9)",45,40,39
"RENOVADOR FEDERAL (10)",19,19,19
"LADRILLEROS UNIDOS (11)",18,15,14
"COMUNISTA (12)",7,8,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",19,19,19
"ACCIÓN POR CORRIENTES (14)",7,7,7
"UNIDOS POR CORRIENTES (15)",36,39,39
"LABORISTA AUTÓNOMO (17)",14,13,13
"ELI - ENCUENTRO LIBERAL (18)",96,92,92
"CAMBIO POPULAR (19)",10,11,11
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-
"CONVOCATORIA POPULAR (21)",7,7,-
"FE (23)",6,12,12
"NUESTRA CAUSA (24)",12,11,11
"UNION POPULAR (25)",22,21,21
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",12,14,19
"ENCUENTRO CORRELIGIONARIO (27)",30,26,27
"CAMBIO AUSTERIDAD Y PROGRESO (28)",24,23,23
"DEL TRABAJO Y DEL PUEBLO (29)",4,4,4
"CIUDADANOS A GOBERNAR (30)",21,20,20
"CONSERVADOR POPULAR (31)",12,8,8
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",18,17,17
"NUEVO PAIS (33)",2,2,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",9,8,8
"TERCERA POSICIÓN (35)",7,6,6
"UNIÓN CORRENTINA (37)",8,8,8
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",10,10,10
"UNIÓN PARA EL DESARROLLO (42)",11,8,8
"NORTE GRANDE (43)",15,14,15
"ACCIÓN POR LA REPÚBLICA (44)",14,13,13
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",61,56,56
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",55,53,53
"PARTIDO AGRARIO Y SOCIAL (49)",2,2,-
"SOCIALISTA (50)",6,6,6
"LIBERAL (51)",86,79,80
"AUTONOMISTA (52)",34,32,33
"DE LA VICTORIA (54)",42,43,43
"PROYECTO CORRIENTES (57)",13,14,-
"PRO - PROPUESTA REPUBLICANA (64)",81,75,72
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",12,13,13
"NUEVO (90)",26,24,24
"POPULAR CORRENTINO (169)",103,93,93
"CRECER CON TODOS (170)",24,23,21
"UNIÓN CELESTE Y BLANCO (173)",28,28,-
"COMPROMISO CORRENTINO (175)",6,6,-
"KOLINA (192)",18,19,17
"Votos en Blanco",37,110,123
"Votos Nulos",33,25,25
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
