partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",3,3,3,3,3
"JUSTICIALISTA (2)",82,82,98,89,81
"UNIÓN CÍVICA RADICAL (3)",152,148,148,148,147
"MOVIMIENTO SIEMPRE CORRIENTES (4)",42,39,39,39,39
"DEMÓCRATA CRISTIANO (5)",0,0,0,0,0
"DE LA CONCERTACIÓN - FORJA (7)",2,2,2,1,1
"FEDERAL (8)",5,5,-,5,5
"DEMÓCRATA PROGRESISTA (9)",3,3,3,3,3
"RENOVADOR FEDERAL (10)",131,130,132,140,137
"LADRILLEROS UNIDOS (11)",0,0,0,0,0
"COMUNISTA (12)",1,1,-,1,1
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",3,3,3,3,3
"ACCIÓN POR CORRIENTES (14)",40,38,38,39,44
"UNIDOS POR CORRIENTES (15)",1,1,1,1,1
"LABORISTA AUTÓNOMO (17)",0,0,0,0,0
"ELI - ENCUENTRO LIBERAL (18)",3,3,3,3,3
"CAMBIO POPULAR (19)",3,3,3,3,3
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",3,3,-,4,4
"CONVOCATORIA POPULAR (21)",3,3,-,3,3
"FE (23)",0,0,0,0,0
"NUESTRA CAUSA (24)",0,0,0,0,0
"UNION POPULAR (25)",12,12,12,11,12
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",1,1,1,1,1
"ENCUENTRO CORRELIGIONARIO (27)",0,0,0,0,0
"CAMBIO AUSTERIDAD Y PROGRESO (28)",1,1,1,1,1
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0,0,0
"CIUDADANOS A GOBERNAR (30)",0,0,0,0,0
"CONSERVADOR POPULAR (31)",0,0,0,0,0
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",0,0,0,0,0
"NUEVO PAIS (33)",1,1,-,1,1
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",2,2,1,1,1
"TERCERA POSICIÓN (35)",0,0,0,-,-
"UNIÓN CORRENTINA (37)",1,1,1,1,1
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",3,3,3,3,3
"UNIÓN PARA EL DESARROLLO (42)",6,5,5,6,5
"NORTE GRANDE (43)",1,1,1,1,1
"ACCIÓN POR LA REPÚBLICA (44)",0,0,0,0,0
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",4,4,-,4,4
"VAMOS CORRIENTES (46)",4,4,4,4,4
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",0,0,0,0,0
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,0,0
"SOCIALISTA (50)",2,2,2,2,2
"LIBERAL (51)",5,5,3,5,5
"AUTONOMISTA (52)",3,3,3,3,3
"DE LA VICTORIA (54)",0,0,0,0,0
"PROYECTO CORRIENTES (57)",1,1,-,1,1
"PRO - PROPUESTA REPUBLICANA (64)",7,7,7,8,8
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",1,1,1,1,1
"NUEVO (90)",1,1,1,1,1
"POPULAR CORRENTINO (169)",0,0,0,0,0
"CRECER CON TODOS (170)",2,2,2,2,2
"UNIÓN CELESTE Y BLANCO (173)",4,4,-,4,4
"COMPROMISO CORRENTINO (175)",0,0,-,0,0
"KOLINA (192)",6,6,6,6,6
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,0,0
"Votos en Blanco",13,24,31,7,13
"Votos Nulos",4,4,4,4,4
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
