partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",152,145,144,130,131
"JUSTICIALISTA (2)",157,156,446,187,183
"UNIÓN CÍVICA RADICAL (3)",611,570,558,456,453
"MOVIMIENTO SIEMPRE CORRIENTES (4)",66,61,61,57,56
"DEMÓCRATA CRISTIANO (5)",44,41,41,51,46
"DE LA CONCERTACIÓN - FORJA (7)",33,31,32,28,29
"FEDERAL (8)",60,61,-,78,75
"DEMÓCRATA PROGRESISTA (9)",73,69,68,65,68
"RENOVADOR FEDERAL (10)",29,34,36,42,41
"LADRILLEROS UNIDOS (11)",82,75,76,73,72
"COMUNISTA (12)",29,30,-,36,49
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",27,27,27,26,26
"ACCIÓN POR CORRIENTES (14)",47,44,44,22,22
"UNIDOS POR CORRIENTES (15)",76,72,73,66,67
"LABORISTA AUTÓNOMO (17)",52,51,51,50,49
"ELI - ENCUENTRO LIBERAL (18)",100,100,97,89,91
"CAMBIO POPULAR (19)",12,13,14,22,20
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",11,11,-,21,20
"CONVOCATORIA POPULAR (21)",15,15,-,18,-
"FE (23)",15,16,20,24,-
"NUESTRA CAUSA (24)",12,12,13,14,13
"UNION POPULAR (25)",54,49,48,50,52
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",12,13,13,21,18
"ENCUENTRO CORRELIGIONARIO (27)",36,35,35,34,34
"CAMBIO AUSTERIDAD Y PROGRESO (28)",22,21,20,18,19
"DEL TRABAJO Y DEL PUEBLO (29)",13,14,14,21,20
"CIUDADANOS A GOBERNAR (30)",58,55,53,49,48
"CONSERVADOR POPULAR (31)",42,39,39,34,35
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",38,37,37,35,37
"NUEVO PAIS (33)",35,37,-,48,44
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",28,27,26,21,21
"TERCERA POSICIÓN (35)",5,6,6,8,-
"UNIÓN CORRENTINA (37)",22,21,22,20,20
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",15,14,14,14,14
"UNIÓN PARA EL DESARROLLO (42)",7,7,7,7,7
"NORTE GRANDE (43)",11,11,11,10,10
"ACCIÓN POR LA REPÚBLICA (44)",31,29,29,28,28
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",20,20,-,26,23
"VAMOS CORRIENTES (46)",56,54,53,49,49
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",164,152,149,147,149
"PARTIDO AGRARIO Y SOCIAL (49)",14,20,-,31,24
"SOCIALISTA (50)",16,15,15,12,12
"LIBERAL (51)",43,39,38,34,36
"AUTONOMISTA (52)",45,44,44,39,40
"DE LA VICTORIA (54)",19,20,21,24,25
"PROYECTO CORRIENTES (57)",52,55,-,82,76
"PRO - PROPUESTA REPUBLICANA (64)",35,32,32,31,31
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",9,10,10,13,12
"NUEVO (90)",50,49,50,46,50
"POPULAR CORRENTINO (169)",127,122,120,114,118
"CRECER CON TODOS (170)",37,35,35,34,33
"UNIÓN CELESTE Y BLANCO (173)",21,27,-,27,25
"COMPROMISO CORRENTINO (175)",16,15,-,24,22
"KOLINA (192)",16,16,19,19,19
"INTEGRACIÓN CORRENTINA (36)",-,-,-,79,67
"NUEVA CORRIENTES (41)",-,-,-,6,4
"Votos en Blanco",92,202,214,160,237
"Votos Nulos",88,76,77,82,82
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
