partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",50,48,49
"JUSTICIALISTA (2)",59,58,112
"UNIÓN CÍVICA RADICAL (3)",335,323,323
"MOVIMIENTO SIEMPRE CORRIENTES (4)",93,90,90
"DEMÓCRATA CRISTIANO (5)",22,22,22
"DE LA CONCERTACIÓN - FORJA (7)",137,135,135
"FEDERAL (8)",17,17,-
"DEMÓCRATA PROGRESISTA (9)",104,101,101
"RENOVADOR FEDERAL (10)",39,40,41
"LADRILLEROS UNIDOS (11)",33,33,33
"COMUNISTA (12)",11,11,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",18,17,17
"ACCIÓN POR CORRIENTES (14)",21,21,20
"UNIDOS POR CORRIENTES (15)",99,97,96
"LABORISTA AUTÓNOMO (17)",38,36,36
"ELI - ENCUENTRO LIBERAL (18)",61,59,60
"CAMBIO POPULAR (19)",18,18,19
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-
"CONVOCATORIA POPULAR (21)",10,10,-
"FE (23)",6,6,5
"NUESTRA CAUSA (24)",9,8,8
"UNION POPULAR (25)",64,62,62
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",11,11,11
"ENCUENTRO CORRELIGIONARIO (27)",84,82,81
"CAMBIO AUSTERIDAD Y PROGRESO (28)",22,21,22
"DEL TRABAJO Y DEL PUEBLO (29)",5,2,2
"CIUDADANOS A GOBERNAR (30)",35,41,40
"CONSERVADOR POPULAR (31)",14,13,13
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",26,25,24
"NUEVO PAIS (33)",6,6,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",18,17,17
"TERCERA POSICIÓN (35)",3,3,3
"UNIÓN CORRENTINA (37)",21,21,21
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",6,6,6
"UNIÓN PARA EL DESARROLLO (42)",30,30,30
"NORTE GRANDE (43)",15,15,15
"ACCIÓN POR LA REPÚBLICA (44)",40,38,38
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",97,91,91
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",22,21,21
"PARTIDO AGRARIO Y SOCIAL (49)",7,7,-
"SOCIALISTA (50)",16,16,16
"LIBERAL (51)",30,31,30
"AUTONOMISTA (52)",37,35,38
"DE LA VICTORIA (54)",6,6,6
"PROYECTO CORRIENTES (57)",1,1,-
"PRO - PROPUESTA REPUBLICANA (64)",96,96,96
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",9,9,9
"NUEVO (90)",26,25,25
"POPULAR CORRENTINO (169)",78,74,73
"CRECER CON TODOS (170)",32,31,31
"UNIÓN CELESTE Y BLANCO (173)",11,10,-
"COMPROMISO CORRENTINO (175)",11,11,-
"KOLINA (192)",20,20,19
"Votos en Blanco",46,120,140
"Votos Nulos",45,23,23
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
