partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",70,68,66,62,61
"JUSTICIALISTA (2)",79,80,287,88,83
"UNIÓN CÍVICA RADICAL (3)",453,424,418,316,314
"MOVIMIENTO SIEMPRE CORRIENTES (4)",44,39,40,35,35
"DEMÓCRATA CRISTIANO (5)",29,30,35,39,39
"DE LA CONCERTACIÓN - FORJA (7)",30,28,27,26,26
"FEDERAL (8)",23,23,-,27,27
"DEMÓCRATA PROGRESISTA (9)",46,45,43,38,42
"RENOVADOR FEDERAL (10)",48,48,50,59,52
"LADRILLEROS UNIDOS (11)",49,49,48,44,44
"COMUNISTA (12)",18,18,-,21,28
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",9,9,10,11,9
"ACCIÓN POR CORRIENTES (14)",18,14,15,13,12
"UNIDOS POR CORRIENTES (15)",43,44,42,42,42
"LABORISTA AUTÓNOMO (17)",50,47,47,45,44
"ELI - ENCUENTRO LIBERAL (18)",82,79,79,74,77
"CAMBIO POPULAR (19)",17,16,18,23,20
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",10,11,-,15,14
"CONVOCATORIA POPULAR (21)",10,10,-,11,-
"FE (23)",9,9,10,10,-
"NUESTRA CAUSA (24)",2,2,2,3,3
"UNION POPULAR (25)",70,68,68,64,66
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",21,21,23,24,23
"ENCUENTRO CORRELIGIONARIO (27)",26,25,25,24,24
"CAMBIO AUSTERIDAD Y PROGRESO (28)",19,20,19,18,18
"DEL TRABAJO Y DEL PUEBLO (29)",8,7,7,8,9
"CIUDADANOS A GOBERNAR (30)",37,36,35,37,38
"CONSERVADOR POPULAR (31)",33,33,30,29,28
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",15,15,14,14,14
"NUEVO PAIS (33)",25,25,-,29,28
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",27,22,22,26,22
"TERCERA POSICIÓN (35)",4,3,4,5,-
"UNIÓN CORRENTINA (37)",13,12,12,11,8
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",25,23,22,21,21
"UNIÓN PARA EL DESARROLLO (42)",19,18,18,18,17
"NORTE GRANDE (43)",16,15,15,14,15
"ACCIÓN POR LA REPÚBLICA (44)",12,10,10,10,10
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",18,18,-,25,22
"VAMOS CORRIENTES (46)",45,38,40,36,37
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",129,121,108,112,121
"PARTIDO AGRARIO Y SOCIAL (49)",52,51,-,64,61
"SOCIALISTA (50)",14,13,12,12,12
"LIBERAL (51)",64,63,63,61,60
"AUTONOMISTA (52)",60,56,56,47,47
"DE LA VICTORIA (54)",14,14,16,21,18
"PROYECTO CORRIENTES (57)",43,44,-,70,63
"PRO - PROPUESTA REPUBLICANA (64)",54,50,49,47,47
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",9,9,9,12,12
"NUEVO (90)",42,36,37,33,35
"POPULAR CORRENTINO (169)",105,102,100,90,92
"CRECER CON TODOS (170)",18,15,16,16,16
"UNIÓN CELESTE Y BLANCO (173)",7,7,-,13,15
"COMPROMISO CORRENTINO (175)",12,14,-,22,16
"KOLINA (192)",13,13,13,14,13
"INTEGRACIÓN CORRENTINA (36)",-,-,-,89,86
"NUEVA CORRIENTES (41)",-,-,-,4,3
"Votos en Blanco",76,188,220,155,210
"Votos Nulos",50,36,34,37,35
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
