partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",31,31,31,32,32
"JUSTICIALISTA (2)",33,33,62,28,30
"UNIÓN CÍVICA RADICAL (3)",459,457,457,461,454
"MOVIMIENTO SIEMPRE CORRIENTES (4)",31,31,31,30,29
"DEMÓCRATA CRISTIANO (5)",12,12,11,13,12
"DE LA CONCERTACIÓN - FORJA (7)",24,24,24,24,24
"FEDERAL (8)",1,1,-,-,-
"DEMÓCRATA PROGRESISTA (9)",18,18,18,19,18
"RENOVADOR FEDERAL (10)",15,15,15,12,12
"LADRILLEROS UNIDOS (11)",51,51,51,53,50
"COMUNISTA (12)",1,1,-,2,3
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",5,5,5,5,5
"ACCIÓN POR CORRIENTES (14)",18,18,18,19,19
"UNIDOS POR CORRIENTES (15)",16,16,16,17,17
"LABORISTA AUTÓNOMO (17)",13,13,13,15,16
"ELI - ENCUENTRO LIBERAL (18)",22,22,22,21,23
"CAMBIO POPULAR (19)",2,2,2,2,2
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",9,9,-,8,9
"CONVOCATORIA POPULAR (21)",8,8,-,8,7
"FE (23)",7,4,4,4,5
"NUESTRA CAUSA (24)",0,0,0,0,0
"UNION POPULAR (25)",15,14,14,15,15
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",4,4,4,4,4
"ENCUENTRO CORRELIGIONARIO (27)",15,15,15,15,16
"CAMBIO AUSTERIDAD Y PROGRESO (28)",46,44,44,44,43
"DEL TRABAJO Y DEL PUEBLO (29)",4,4,4,4,4
"CIUDADANOS A GOBERNAR (30)",15,15,15,15,15
"CONSERVADOR POPULAR (31)",5,5,5,5,5
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",71,71,71,72,69
"NUEVO PAIS (33)",6,6,-,6,6
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",18,18,18,18,18
"TERCERA POSICIÓN (35)",7,7,7,7,7
"UNIÓN CORRENTINA (37)",7,7,7,7,7
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",19,19,19,19,19
"UNIÓN PARA EL DESARROLLO (42)",38,38,38,40,39
"NORTE GRANDE (43)",21,21,21,23,22
"ACCIÓN POR LA REPÚBLICA (44)",6,6,6,6,5
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,0
"VAMOS CORRIENTES (46)",59,59,59,55,56
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",24,24,23,22,22
"PARTIDO AGRARIO Y SOCIAL (49)",1,1,-,1,2
"SOCIALISTA (50)",6,6,6,6,6
"LIBERAL (51)",17,17,17,17,21
"AUTONOMISTA (52)",22,22,22,23,23
"DE LA VICTORIA (54)",3,3,3,3,3
"PROYECTO CORRIENTES (57)",2,2,-,2,2
"PRO - PROPUESTA REPUBLICANA (64)",26,26,26,26,27
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",4,4,4,4,4
"NUEVO (90)",113,113,113,115,115
"POPULAR CORRENTINO (169)",145,144,144,163,150
"CRECER CON TODOS (170)",16,16,16,16,15
"UNIÓN CELESTE Y BLANCO (173)",4,4,-,4,4
"COMPROMISO CORRENTINO (175)",3,3,-,0,0
"KOLINA (192)",4,4,4,4,4
"Votos en Blanco",43,52,60,31,48
"Votos Nulos",13,13,13,13,15
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
