partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",9,9,9,15,9
"JUSTICIALISTA (2)",408,403,500,419,409
"UNIÓN CÍVICA RADICAL (3)",464,460,461,459,457
"MOVIMIENTO SIEMPRE CORRIENTES (4)",9,9,9,9,9
"DEMÓCRATA CRISTIANO (5)",11,11,11,11,11
"DE LA CONCERTACIÓN - FORJA (7)",15,15,15,14,14
"FEDERAL (8)",1,1,-,1,1
"DEMÓCRATA PROGRESISTA (9)",14,12,15,14,13
"RENOVADOR FEDERAL (10)",29,29,29,28,28
"LADRILLEROS UNIDOS (11)",21,21,21,21,21
"COMUNISTA (12)",1,1,-,1,1
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",23,23,24,24,24
"ACCIÓN POR CORRIENTES (14)",7,7,7,7,7
"UNIDOS POR CORRIENTES (15)",6,5,5,6,5
"LABORISTA AUTÓNOMO (17)",6,6,6,6,6
"ELI - ENCUENTRO LIBERAL (18)",105,105,106,105,107
"CAMBIO POPULAR (19)",19,20,19,19,19
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",1,1,-,0,0
"CONVOCATORIA POPULAR (21)",10,10,-,10,10
"FE (23)",5,5,4,4,4
"NUESTRA CAUSA (24)",13,13,13,13,13
"UNION POPULAR (25)",14,13,13,14,15
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",1,1,1,1,1
"ENCUENTRO CORRELIGIONARIO (27)",20,20,20,21,21
"CAMBIO AUSTERIDAD Y PROGRESO (28)",15,15,15,15,15
"DEL TRABAJO Y DEL PUEBLO (29)",7,7,7,7,7
"CIUDADANOS A GOBERNAR (30)",11,11,11,11,11
"CONSERVADOR POPULAR (31)",5,4,4,5,4
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",9,8,8,8,8
"NUEVO PAIS (33)",30,31,-,31,32
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",6,6,6,6,6
"TERCERA POSICIÓN (35)",17,17,17,17,17
"UNIÓN CORRENTINA (37)",4,4,4,4,4
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",5,5,5,5,5
"UNIÓN PARA EL DESARROLLO (42)",8,8,8,8,8
"NORTE GRANDE (43)",9,9,9,9,9
"ACCIÓN POR LA REPÚBLICA (44)",21,21,21,21,20
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",2,2,-,1,-
"VAMOS CORRIENTES (46)",65,62,64,64,64
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",10,10,10,10,10
"PARTIDO AGRARIO Y SOCIAL (49)",6,6,-,5,6
"SOCIALISTA (50)",7,7,7,7,7
"LIBERAL (51)",52,49,49,51,50
"AUTONOMISTA (52)",108,106,106,109,106
"DE LA VICTORIA (54)",36,36,36,39,38
"PROYECTO CORRIENTES (57)",68,68,-,70,69
"PRO - PROPUESTA REPUBLICANA (64)",30,30,31,30,27
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",15,15,15,16,16
"NUEVO (90)",4,4,4,4,4
"POPULAR CORRENTINO (169)",108,108,107,108,112
"CRECER CON TODOS (170)",10,10,10,10,10
"UNIÓN CELESTE Y BLANCO (173)",2,2,-,0,0
"COMPROMISO CORRENTINO (175)",6,6,-,5,5
"KOLINA (192)",31,31,31,32,32
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,16,17
"Votos en Blanco",56,79,104,35,57
"Votos Nulos",14,12,12,9,9
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
