partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",34,31,30,31,29
"JUSTICIALISTA (2)",294,310,384,312,315
"UNIÓN CÍVICA RADICAL (3)",596,587,581,672,658
"MOVIMIENTO SIEMPRE CORRIENTES (4)",31,29,29,29,28
"DEMÓCRATA CRISTIANO (5)",27,27,27,30,26
"DE LA CONCERTACIÓN - FORJA (7)",46,44,43,44,43
"FEDERAL (8)",9,9,-,8,8
"DEMÓCRATA PROGRESISTA (9)",44,44,42,-,-
"RENOVADOR FEDERAL (10)",21,21,21,21,18
"LADRILLEROS UNIDOS (11)",43,39,38,38,37
"COMUNISTA (12)",12,13,-,13,11
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",16,16,16,17,16
"ACCIÓN POR CORRIENTES (14)",38,37,37,38,37
"UNIDOS POR CORRIENTES (15)",28,26,26,26,25
"LABORISTA AUTÓNOMO (17)",27,27,27,-,-
"ELI - ENCUENTRO LIBERAL (18)",255,251,252,252,252
"CAMBIO POPULAR (19)",41,39,39,40,42
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0
"CONVOCATORIA POPULAR (21)",21,21,-,17,21
"FE (23)",4,5,4,4,4
"NUESTRA CAUSA (24)",8,9,8,9,9
"UNION POPULAR (25)",63,61,61,78,78
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",36,37,38,38,39
"ENCUENTRO CORRELIGIONARIO (27)",37,36,37,37,37
"CAMBIO AUSTERIDAD Y PROGRESO (28)",47,25,25,25,25
"DEL TRABAJO Y DEL PUEBLO (29)",16,17,17,17,17
"CIUDADANOS A GOBERNAR (30)",62,58,57,61,59
"CONSERVADOR POPULAR (31)",33,33,33,33,33
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",56,48,48,51,53
"NUEVO PAIS (33)",6,6,-,6,6
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",62,62,61,-,-
"TERCERA POSICIÓN (35)",9,9,8,8,8
"UNIÓN CORRENTINA (37)",17,17,17,16,17
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",22,21,21,21,21
"UNIÓN PARA EL DESARROLLO (42)",31,29,29,29,27
"NORTE GRANDE (43)",14,14,14,14,13
"ACCIÓN POR LA REPÚBLICA (44)",11,10,10,11,8
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",9,9,-,3,3
"VAMOS CORRIENTES (46)",36,34,33,33,33
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",44,43,42,42,41
"PARTIDO AGRARIO Y SOCIAL (49)",13,14,-,13,13
"SOCIALISTA (50)",31,30,30,30,30
"LIBERAL (51)",113,105,105,111,107
"AUTONOMISTA (52)",75,72,71,78,91
"DE LA VICTORIA (54)",23,23,23,23,24
"PROYECTO CORRIENTES (57)",10,10,-,10,11
"PRO - PROPUESTA REPUBLICANA (64)",30,28,28,29,28
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",11,11,11,11,11
"NUEVO (90)",38,37,37,35,41
"POPULAR CORRENTINO (169)",86,81,78,80,80
"CRECER CON TODOS (170)",50,50,50,55,55
"UNIÓN CELESTE Y BLANCO (173)",20,21,-,22,22
"COMPROMISO CORRENTINO (175)",8,8,-,8,8
"KOLINA (192)",18,18,18,18,17
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,31,28
"Votos en Blanco",73,139,195,123,142
"Votos Nulos",50,49,49,49,50
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
