partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",55,51,51,47,48
"JUSTICIALISTA (2)",107,105,245,114,112
"UNIÓN CÍVICA RADICAL (3)",659,611,614,470,474
"MOVIMIENTO SIEMPRE CORRIENTES (4)",48,45,43,37,37
"DEMÓCRATA CRISTIANO (5)",13,13,14,27,21
"DE LA CONCERTACIÓN - FORJA (7)",21,21,18,17,18
"FEDERAL (8)",13,12,-,18,13
"DEMÓCRATA PROGRESISTA (9)",41,38,37,36,36
"RENOVADOR FEDERAL (10)",20,18,22,25,23
"LADRILLEROS UNIDOS (11)",31,29,31,29,29
"COMUNISTA (12)",17,17,-,21,25
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",6,6,5,4,4
"ACCIÓN POR CORRIENTES (14)",39,37,38,36,36
"UNIDOS POR CORRIENTES (15)",28,26,26,20,20
"LABORISTA AUTÓNOMO (17)",19,16,17,17,17
"ELI - ENCUENTRO LIBERAL (18)",90,87,88,84,86
"CAMBIO POPULAR (19)",9,9,11,17,19
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",7,7,-,14,14
"CONVOCATORIA POPULAR (21)",3,3,-,4,-
"FE (23)",3,3,3,5,-
"NUESTRA CAUSA (24)",3,3,3,4,4
"UNION POPULAR (25)",33,30,29,24,28
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",15,13,13,20,17
"ENCUENTRO CORRELIGIONARIO (27)",43,41,41,41,40
"CAMBIO AUSTERIDAD Y PROGRESO (28)",6,6,6,6,6
"DEL TRABAJO Y DEL PUEBLO (29)",11,12,12,17,15
"CIUDADANOS A GOBERNAR (30)",45,42,44,42,37
"CONSERVADOR POPULAR (31)",15,13,13,15,13
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",34,33,33,25,26
"NUEVO PAIS (33)",27,26,-,33,30
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",12,12,12,12,11
"TERCERA POSICIÓN (35)",1,1,1,3,-
"UNIÓN CORRENTINA (37)",24,17,18,17,17
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",28,28,28,26,23
"UNIÓN PARA EL DESARROLLO (42)",10,7,7,7,7
"NORTE GRANDE (43)",15,12,12,6,15
"ACCIÓN POR LA REPÚBLICA (44)",23,21,21,22,22
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",18,18,-,22,19
"VAMOS CORRIENTES (46)",68,62,61,61,58
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",121,119,114,117,119
"PARTIDO AGRARIO Y SOCIAL (49)",15,16,-,31,27
"SOCIALISTA (50)",17,17,18,17,17
"LIBERAL (51)",87,83,89,84,82
"AUTONOMISTA (52)",93,91,100,85,87
"DE LA VICTORIA (54)",6,7,5,7,6
"PROYECTO CORRIENTES (57)",22,24,-,48,42
"PRO - PROPUESTA REPUBLICANA (64)",83,82,77,74,78
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",9,11,9,11,10
"NUEVO (90)",53,52,55,47,53
"POPULAR CORRENTINO (169)",85,80,79,75,74
"CRECER CON TODOS (170)",19,18,18,17,18
"UNIÓN CELESTE Y BLANCO (173)",20,17,-,30,24
"COMPROMISO CORRENTINO (175)",12,12,-,15,13
"KOLINA (192)",7,8,5,11,10
"INTEGRACIÓN CORRENTINA (36)",-,-,-,101,102
"NUEVA CORRIENTES (41)",-,-,-,2,1
"Votos en Blanco",72,189,191,157,192
"Votos Nulos",43,43,43,45,44
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
