partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",27,26,26,27,25
"JUSTICIALISTA (2)",427,435,579,435,430
"UNIÓN CÍVICA RADICAL (3)",427,416,415,500,470
"MOVIMIENTO SIEMPRE CORRIENTES (4)",37,37,36,36,35
"DEMÓCRATA CRISTIANO (5)",19,20,21,22,19
"DE LA CONCERTACIÓN - FORJA (7)",22,21,21,21,21
"FEDERAL (8)",8,8,-,8,8
"DEMÓCRATA PROGRESISTA (9)",42,42,42,-,-
"RENOVADOR FEDERAL (10)",37,38,38,32,31
"LADRILLEROS UNIDOS (11)",31,30,29,31,30
"COMUNISTA (12)",13,13,-,13,13
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",14,14,14,14,14
"ACCIÓN POR CORRIENTES (14)",21,21,21,22,22
"UNIDOS POR CORRIENTES (15)",20,19,19,19,19
"LABORISTA AUTÓNOMO (17)",10,9,9,-,-
"ELI - ENCUENTRO LIBERAL (18)",289,287,287,292,286
"CAMBIO POPULAR (19)",38,38,38,39,38
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0
"CONVOCATORIA POPULAR (21)",9,9,-,10,10
"FE (23)",6,6,6,5,5
"NUESTRA CAUSA (24)",12,12,12,13,13
"UNION POPULAR (25)",63,63,63,69,69
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",17,17,17,18,17
"ENCUENTRO CORRELIGIONARIO (27)",16,15,16,16,16
"CAMBIO AUSTERIDAD Y PROGRESO (28)",13,12,12,13,12
"DEL TRABAJO Y DEL PUEBLO (29)",10,10,10,10,10
"CIUDADANOS A GOBERNAR (30)",34,33,33,34,34
"CONSERVADOR POPULAR (31)",15,15,15,15,15
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",20,19,19,19,23
"NUEVO PAIS (33)",8,8,-,9,8
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",44,43,44,-,-
"TERCERA POSICIÓN (35)",10,12,12,12,12
"UNIÓN CORRENTINA (37)",22,22,22,21,21
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",22,22,21,21,21
"UNIÓN PARA EL DESARROLLO (42)",34,34,34,34,33
"NORTE GRANDE (43)",39,38,38,35,35
"ACCIÓN POR LA REPÚBLICA (44)",24,23,22,22,19
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",18,18,-,19,19
"VAMOS CORRIENTES (46)",23,23,23,24,23
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",77,75,75,75,75
"PARTIDO AGRARIO Y SOCIAL (49)",18,18,-,20,19
"SOCIALISTA (50)",34,34,34,34,34
"LIBERAL (51)",84,84,84,82,81
"AUTONOMISTA (52)",92,86,88,93,124
"DE LA VICTORIA (54)",27,28,28,28,28
"PROYECTO CORRIENTES (57)",14,14,-,14,14
"PRO - PROPUESTA REPUBLICANA (64)",44,44,44,46,46
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",17,17,17,17,17
"NUEVO (90)",25,24,24,25,24
"POPULAR CORRENTINO (169)",98,95,95,90,91
"CRECER CON TODOS (170)",45,44,44,49,49
"UNIÓN CELESTE Y BLANCO (173)",41,43,-,46,46
"COMPROMISO CORRENTINO (175)",22,22,-,22,20
"KOLINA (192)",17,17,17,20,19
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,29,28
"Votos en Blanco",93,134,143,87,116
"Votos Nulos",34,16,16,16,16
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
