partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",24,22,22
"JUSTICIALISTA (2)",291,296,431
"UNIÓN CÍVICA RADICAL (3)",491,475,475
"MOVIMIENTO SIEMPRE CORRIENTES (4)",33,32,32
"DEMÓCRATA CRISTIANO (5)",19,19,19
"DE LA CONCERTACIÓN - FORJA (7)",41,41,40
"FEDERAL (8)",25,25,-
"DEMÓCRATA PROGRESISTA (9)",33,32,32
"RENOVADOR FEDERAL (10)",41,38,37
"LADRILLEROS UNIDOS (11)",13,13,13
"COMUNISTA (12)",20,20,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",35,34,35
"ACCIÓN POR CORRIENTES (14)",25,24,24
"UNIDOS POR CORRIENTES (15)",38,37,36
"LABORISTA AUTÓNOMO (17)",20,20,20
"ELI - ENCUENTRO LIBERAL (18)",72,72,72
"CAMBIO POPULAR (19)",11,11,11
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",13,13,-
"CONVOCATORIA POPULAR (21)",8,8,-
"FE (23)",8,8,8
"NUESTRA CAUSA (24)",10,9,9
"UNION POPULAR (25)",35,35,35
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",23,22,22
"ENCUENTRO CORRELIGIONARIO (27)",33,32,32
"CAMBIO AUSTERIDAD Y PROGRESO (28)",159,163,162
"DEL TRABAJO Y DEL PUEBLO (29)",27,27,28
"CIUDADANOS A GOBERNAR (30)",29,29,29
"CONSERVADOR POPULAR (31)",12,10,10
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",16,17,17
"NUEVO PAIS (33)",4,4,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",14,14,14
"TERCERA POSICIÓN (35)",14,14,14
"UNIÓN CORRENTINA (37)",12,12,12
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",32,31,31
"UNIÓN PARA EL DESARROLLO (42)",45,44,44
"NORTE GRANDE (43)",28,26,26
"ACCIÓN POR LA REPÚBLICA (44)",17,17,17
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",12,12,-
"VAMOS CORRIENTES (46)",39,38,38
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",16,14,14
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-
"SOCIALISTA (50)",9,9,9
"LIBERAL (51)",25,24,24
"AUTONOMISTA (52)",20,20,20
"DE LA VICTORIA (54)",37,37,37
"PROYECTO CORRIENTES (57)",26,25,-
"PRO - PROPUESTA REPUBLICANA (64)",59,58,58
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",17,17,18
"NUEVO (90)",17,17,17
"POPULAR CORRENTINO (169)",52,51,51
"CRECER CON TODOS (170)",37,35,35
"UNIÓN CELESTE Y BLANCO (173)",19,19,-
"COMPROMISO CORRENTINO (175)",6,6,-
"KOLINA (192)",20,21,21
"Votos en Blanco",50,82,81
"Votos Nulos",40,41,40
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
