partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",66,65,64,63,60
"JUSTICIALISTA (2)",513,523,704,530,527
"UNIÓN CÍVICA RADICAL (3)",598,590,591,686,663
"MOVIMIENTO SIEMPRE CORRIENTES (4)",47,43,42,44,41
"DEMÓCRATA CRISTIANO (5)",24,24,24,24,24
"DE LA CONCERTACIÓN - FORJA (7)",26,25,25,25,24
"FEDERAL (8)",54,54,-,55,55
"DEMÓCRATA PROGRESISTA (9)",61,59,58,-,-
"RENOVADOR FEDERAL (10)",36,36,37,36,37
"LADRILLEROS UNIDOS (11)",50,49,49,49,50
"COMUNISTA (12)",13,13,-,13,13
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",16,17,17,17,16
"ACCIÓN POR CORRIENTES (14)",43,43,41,42,41
"UNIDOS POR CORRIENTES (15)",42,42,41,42,41
"LABORISTA AUTÓNOMO (17)",30,31,31,-,-
"ELI - ENCUENTRO LIBERAL (18)",275,273,272,274,271
"CAMBIO POPULAR (19)",34,34,34,34,34
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",1,1,-,1,1
"CONVOCATORIA POPULAR (21)",20,20,-,20,21
"FE (23)",3,3,3,2,2
"NUESTRA CAUSA (24)",14,16,16,16,16
"UNION POPULAR (25)",71,71,71,87,87
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",34,36,35,35,35
"ENCUENTRO CORRELIGIONARIO (27)",14,14,14,14,14
"CAMBIO AUSTERIDAD Y PROGRESO (28)",9,9,9,9,9
"DEL TRABAJO Y DEL PUEBLO (29)",10,10,10,10,10
"CIUDADANOS A GOBERNAR (30)",21,20,20,20,20
"CONSERVADOR POPULAR (31)",13,12,12,12,12
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",34,32,32,32,36
"NUEVO PAIS (33)",6,6,-,6,6
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",36,36,36,-,-
"TERCERA POSICIÓN (35)",15,15,15,14,14
"UNIÓN CORRENTINA (37)",32,30,30,30,30
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",12,12,11,13,11
"UNIÓN PARA EL DESARROLLO (42)",8,8,8,8,8
"NORTE GRANDE (43)",13,13,13,12,12
"ACCIÓN POR LA REPÚBLICA (44)",15,15,15,15,15
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",5,6,-,5,5
"VAMOS CORRIENTES (46)",14,14,13,13,13
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",43,42,42,42,42
"PARTIDO AGRARIO Y SOCIAL (49)",17,17,-,17,17
"SOCIALISTA (50)",9,8,8,9,8
"LIBERAL (51)",101,99,100,98,98
"AUTONOMISTA (52)",79,73,75,84,97
"DE LA VICTORIA (54)",13,13,13,12,12
"PROYECTO CORRIENTES (57)",8,8,-,7,7
"PRO - PROPUESTA REPUBLICANA (64)",39,35,36,38,39
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",14,14,14,16,16
"NUEVO (90)",32,32,33,34,35
"POPULAR CORRENTINO (169)",121,120,120,121,119
"CRECER CON TODOS (170)",46,46,46,52,51
"UNIÓN CELESTE Y BLANCO (173)",56,56,-,55,55
"COMPROMISO CORRENTINO (175)",16,16,-,16,16
"KOLINA (192)",47,47,46,46,46
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,15,14
"Votos en Blanco",81,125,144,106,125
"Votos Nulos",54,28,28,28,28
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
