partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",89,84,81,74,74
"JUSTICIALISTA (2)",92,90,365,93,91
"UNIÓN CÍVICA RADICAL (3)",475,465,465,418,421
"MOVIMIENTO SIEMPRE CORRIENTES (4)",35,34,34,33,31
"DEMÓCRATA CRISTIANO (5)",22,22,22,26,27
"DE LA CONCERTACIÓN - FORJA (7)",40,39,39,37,37
"FEDERAL (8)",26,27,-,34,32
"DEMÓCRATA PROGRESISTA (9)",38,37,35,33,34
"RENOVADOR FEDERAL (10)",41,42,43,47,46
"LADRILLEROS UNIDOS (11)",62,61,59,48,49
"COMUNISTA (12)",19,19,-,21,28
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",11,11,12,6,6
"ACCIÓN POR CORRIENTES (14)",21,20,21,21,21
"UNIDOS POR CORRIENTES (15)",57,53,53,52,53
"LABORISTA AUTÓNOMO (17)",30,28,28,25,25
"ELI - ENCUENTRO LIBERAL (18)",70,67,68,63,63
"CAMBIO POPULAR (19)",16,16,16,24,23
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",13,14,-,21,17
"CONVOCATORIA POPULAR (21)",11,11,-,13,-
"FE (23)",27,26,25,28,-
"NUESTRA CAUSA (24)",23,17,17,18,18
"UNION POPULAR (25)",106,109,107,105,104
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",22,18,18,27,25
"ENCUENTRO CORRELIGIONARIO (27)",20,18,17,18,18
"CAMBIO AUSTERIDAD Y PROGRESO (28)",17,14,15,13,13
"DEL TRABAJO Y DEL PUEBLO (29)",35,34,34,44,40
"CIUDADANOS A GOBERNAR (30)",34,40,39,36,36
"CONSERVADOR POPULAR (31)",33,26,26,25,26
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",58,58,58,56,56
"NUEVO PAIS (33)",35,32,-,48,44
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",23,19,19,19,18
"TERCERA POSICIÓN (35)",12,11,12,13,-
"UNIÓN CORRENTINA (37)",28,27,27,26,26
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",37,36,34,33,33
"UNIÓN PARA EL DESARROLLO (42)",10,12,12,11,12
"NORTE GRANDE (43)",20,20,20,20,20
"ACCIÓN POR LA REPÚBLICA (44)",31,28,27,25,25
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",28,27,-,32,30
"VAMOS CORRIENTES (46)",35,33,30,28,28
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",150,141,132,129,127
"PARTIDO AGRARIO Y SOCIAL (49)",39,40,-,49,45
"SOCIALISTA (50)",19,20,20,18,18
"LIBERAL (51)",31,31,31,27,29
"AUTONOMISTA (52)",64,67,65,63,64
"DE LA VICTORIA (54)",15,8,8,8,8
"PROYECTO CORRIENTES (57)",31,30,-,52,50
"PRO - PROPUESTA REPUBLICANA (64)",15,15,15,16,16
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",13,13,12,15,14
"NUEVO (90)",37,38,38,39,38
"POPULAR CORRENTINO (169)",236,224,220,211,211
"CRECER CON TODOS (170)",45,45,45,44,45
"UNIÓN CELESTE Y BLANCO (173)",46,46,-,52,51
"COMPROMISO CORRENTINO (175)",33,33,-,37,36
"KOLINA (192)",23,26,24,27,27
"INTEGRACIÓN CORRENTINA (36)",-,-,-,16,17
"NUEVA CORRIENTES (41)",-,-,-,10,9
"Votos en Blanco",89,176,209,170,243
"Votos Nulos",72,59,60,60,59
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
