partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",51,47,46
"JUSTICIALISTA (2)",97,96,158
"UNIÓN CÍVICA RADICAL (3)",237,234,233
"MOVIMIENTO SIEMPRE CORRIENTES (4)",34,32,32
"DEMÓCRATA CRISTIANO (5)",13,12,12
"DE LA CONCERTACIÓN - FORJA (7)",28,27,27
"FEDERAL (8)",12,13,-
"DEMÓCRATA PROGRESISTA (9)",9,8,8
"RENOVADOR FEDERAL (10)",20,19,19
"LADRILLEROS UNIDOS (11)",13,13,13
"COMUNISTA (12)",14,15,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",17,17,17
"ACCIÓN POR CORRIENTES (14)",21,21,21
"UNIDOS POR CORRIENTES (15)",16,16,16
"LABORISTA AUTÓNOMO (17)",11,10,10
"ELI - ENCUENTRO LIBERAL (18)",35,34,34
"CAMBIO POPULAR (19)",5,5,5
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-
"CONVOCATORIA POPULAR (21)",19,19,-
"FE (23)",1,1,1
"NUESTRA CAUSA (24)",6,7,7
"UNION POPULAR (25)",21,19,19
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",18,17,17
"ENCUENTRO CORRELIGIONARIO (27)",17,18,18
"CAMBIO AUSTERIDAD Y PROGRESO (28)",52,52,52
"DEL TRABAJO Y DEL PUEBLO (29)",4,4,4
"CIUDADANOS A GOBERNAR (30)",22,22,22
"CONSERVADOR POPULAR (31)",5,5,5
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",9,7,8
"NUEVO PAIS (33)",5,5,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",5,5,5
"TERCERA POSICIÓN (35)",2,2,2
"UNIÓN CORRENTINA (37)",5,5,5
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",5,4,4
"UNIÓN PARA EL DESARROLLO (42)",6,6,6
"NORTE GRANDE (43)",9,9,9
"ACCIÓN POR LA REPÚBLICA (44)",14,13,13
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",1,1,-
"VAMOS CORRIENTES (46)",24,23,23
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",7,7,7
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-
"SOCIALISTA (50)",2,2,2
"LIBERAL (51)",17,17,17
"AUTONOMISTA (52)",12,11,10
"DE LA VICTORIA (54)",7,7,7
"PROYECTO CORRIENTES (57)",5,5,-
"PRO - PROPUESTA REPUBLICANA (64)",21,19,19
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",5,6,6
"NUEVO (90)",5,4,4
"POPULAR CORRENTINO (169)",17,15,15
"CRECER CON TODOS (170)",1,1,1
"UNIÓN CELESTE Y BLANCO (173)",8,8,-
"COMPROMISO CORRENTINO (175)",8,8,-
"KOLINA (192)",12,12,12
"Votos en Blanco",10,39,53
"Votos Nulos",22,18,18
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
