partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",18,16,14
"JUSTICIALISTA (2)",231,228,363
"UNIÓN CÍVICA RADICAL (3)",465,431,424
"MOVIMIENTO SIEMPRE CORRIENTES (4)",31,30,30
"DEMÓCRATA CRISTIANO (5)",10,9,9
"DE LA CONCERTACIÓN - FORJA (7)",18,17,17
"FEDERAL (8)",0,0,-
"DEMÓCRATA PROGRESISTA (9)",13,12,12
"RENOVADOR FEDERAL (10)",109,112,105
"LADRILLEROS UNIDOS (11)",14,15,14
"COMUNISTA (12)",12,12,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",10,10,12
"ACCIÓN POR CORRIENTES (14)",15,13,10
"UNIDOS POR CORRIENTES (15)",27,26,26
"LABORISTA AUTÓNOMO (17)",7,7,8
"ELI - ENCUENTRO LIBERAL (18)",132,131,130
"CAMBIO POPULAR (19)",18,18,16
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",25,25,-
"CONVOCATORIA POPULAR (21)",6,6,-
"FE (23)",4,4,5
"NUESTRA CAUSA (24)",9,9,9
"UNION POPULAR (25)",25,23,23
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",10,10,10
"ENCUENTRO CORRELIGIONARIO (27)",19,16,16
"CAMBIO AUSTERIDAD Y PROGRESO (28)",179,171,179
"DEL TRABAJO Y DEL PUEBLO (29)",14,15,15
"CIUDADANOS A GOBERNAR (30)",16,15,14
"CONSERVADOR POPULAR (31)",6,6,6
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",33,32,32
"NUEVO PAIS (33)",19,19,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",9,8,8
"TERCERA POSICIÓN (35)",7,7,7
"UNIÓN CORRENTINA (37)",15,15,15
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",16,15,15
"UNIÓN PARA EL DESARROLLO (42)",17,16,16
"NORTE GRANDE (43)",22,22,22
"ACCIÓN POR LA REPÚBLICA (44)",9,9,9
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",19,17,-
"VAMOS CORRIENTES (46)",34,33,32
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",32,31,30
"PARTIDO AGRARIO Y SOCIAL (49)",13,13,-
"SOCIALISTA (50)",19,14,13
"LIBERAL (51)",166,156,156
"AUTONOMISTA (52)",23,22,22
"DE LA VICTORIA (54)",30,31,31
"PROYECTO CORRIENTES (57)",14,14,-
"PRO - PROPUESTA REPUBLICANA (64)",43,40,40
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",9,10,10
"NUEVO (90)",26,27,25
"POPULAR CORRENTINO (169)",31,27,28
"CRECER CON TODOS (170)",33,33,33
"UNIÓN CELESTE Y BLANCO (173)",19,19,-
"COMPROMISO CORRENTINO (175)",18,17,-
"KOLINA (192)",23,23,19
"Votos en Blanco",45,130,156
"Votos Nulos",22,21,22
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
