partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",80,76,76,69,70
"JUSTICIALISTA (2)",130,132,473,146,137
"UNIÓN CÍVICA RADICAL (3)",751,696,687,601,578
"MOVIMIENTO SIEMPRE CORRIENTES (4)",52,49,48,43,48
"DEMÓCRATA CRISTIANO (5)",45,44,46,45,51
"DE LA CONCERTACIÓN - FORJA (7)",69,66,66,62,62
"FEDERAL (8)",40,43,-,48,48
"DEMÓCRATA PROGRESISTA (9)",58,57,57,57,56
"RENOVADOR FEDERAL (10)",50,52,58,67,61
"LADRILLEROS UNIDOS (11)",57,57,56,54,54
"COMUNISTA (12)",17,18,-,21,46
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",47,47,46,42,41
"ACCIÓN POR CORRIENTES (14)",45,43,43,41,41
"UNIDOS POR CORRIENTES (15)",108,101,100,98,96
"LABORISTA AUTÓNOMO (17)",32,28,28,25,26
"ELI - ENCUENTRO LIBERAL (18)",78,75,73,71,70
"CAMBIO POPULAR (19)",14,14,14,19,16
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",25,26,-,35,34
"CONVOCATORIA POPULAR (21)",25,24,-,29,-
"FE (23)",28,27,30,39,-
"NUESTRA CAUSA (24)",8,9,8,12,11
"UNION POPULAR (25)",101,99,96,95,88
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",28,28,36,29,27
"ENCUENTRO CORRELIGIONARIO (27)",64,61,58,53,54
"CAMBIO AUSTERIDAD Y PROGRESO (28)",16,15,15,13,13
"DEL TRABAJO Y DEL PUEBLO (29)",40,40,42,44,44
"CIUDADANOS A GOBERNAR (30)",60,59,58,58,58
"CONSERVADOR POPULAR (31)",47,43,42,41,42
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",72,68,64,61,61
"NUEVO PAIS (33)",78,79,-,95,93
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",26,24,24,21,21
"TERCERA POSICIÓN (35)",8,8,8,8,-
"UNIÓN CORRENTINA (37)",34,33,32,31,31
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",54,53,52,51,51
"UNIÓN PARA EL DESARROLLO (42)",26,24,24,24,23
"NORTE GRANDE (43)",16,16,16,14,15
"ACCIÓN POR LA REPÚBLICA (44)",39,35,34,31,30
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",27,26,-,32,30
"VAMOS CORRIENTES (46)",52,49,47,47,47
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",305,287,283,276,279
"PARTIDO AGRARIO Y SOCIAL (49)",77,78,-,95,94
"SOCIALISTA (50)",39,35,35,36,38
"LIBERAL (51)",89,88,88,88,87
"AUTONOMISTA (52)",80,80,84,63,64
"DE LA VICTORIA (54)",72,75,75,85,83
"PROYECTO CORRIENTES (57)",63,64,-,78,71
"PRO - PROPUESTA REPUBLICANA (64)",54,52,52,50,50
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",10,10,11,18,14
"NUEVO (90)",69,67,67,64,66
"POPULAR CORRENTINO (169)",171,166,165,158,160
"CRECER CON TODOS (170)",45,40,38,36,36
"UNIÓN CELESTE Y BLANCO (173)",36,35,-,43,41
"COMPROMISO CORRENTINO (175)",46,38,-,39,40
"KOLINA (192)",25,26,25,30,29
"INTEGRACIÓN CORRENTINA (36)",-,-,-,71,68
"NUEVA CORRIENTES (41)",-,-,-,12,12
"Votos en Blanco",117,275,380,249,353
"Votos Nulos",116,98,98,96,98
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
