partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",86,81,80,76,76
"JUSTICIALISTA (2)",147,149,382,165,155
"UNIÓN CÍVICA RADICAL (3)",564,542,538,458,398
"MOVIMIENTO SIEMPRE CORRIENTES (4)",72,70,68,61,62
"DEMÓCRATA CRISTIANO (5)",64,63,67,80,82
"DE LA CONCERTACIÓN - FORJA (7)",85,82,75,74,72
"FEDERAL (8)",47,50,-,61,58
"DEMÓCRATA PROGRESISTA (9)",65,61,61,59,62
"RENOVADOR FEDERAL (10)",33,38,42,42,42
"LADRILLEROS UNIDOS (11)",65,64,64,59,60
"COMUNISTA (12)",31,33,-,37,39
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",39,40,42,46,44
"ACCIÓN POR CORRIENTES (14)",26,25,25,25,24
"UNIDOS POR CORRIENTES (15)",36,35,35,33,33
"LABORISTA AUTÓNOMO (17)",25,25,25,24,24
"ELI - ENCUENTRO LIBERAL (18)",115,113,111,104,107
"CAMBIO POPULAR (19)",26,27,27,34,33
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",14,14,-,21,21
"CONVOCATORIA POPULAR (21)",12,12,-,9,-
"FE (23)",24,23,25,22,-
"NUESTRA CAUSA (24)",8,8,8,7,6
"UNION POPULAR (25)",57,56,56,56,56
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",23,24,24,24,24
"ENCUENTRO CORRELIGIONARIO (27)",45,45,44,42,42
"CAMBIO AUSTERIDAD Y PROGRESO (28)",5,5,5,4,4
"DEL TRABAJO Y DEL PUEBLO (29)",14,13,12,16,15
"CIUDADANOS A GOBERNAR (30)",40,44,42,40,45
"CONSERVADOR POPULAR (31)",20,20,19,18,18
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",32,30,30,29,29
"NUEVO PAIS (33)",37,35,-,37,35
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",23,22,22,23,23
"TERCERA POSICIÓN (35)",8,9,10,11,-
"UNIÓN CORRENTINA (37)",21,19,17,17,18
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",39,39,39,39,39
"UNIÓN PARA EL DESARROLLO (42)",16,16,15,15,14
"NORTE GRANDE (43)",8,8,8,8,8
"ACCIÓN POR LA REPÚBLICA (44)",13,13,13,12,12
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",16,16,-,19,19
"VAMOS CORRIENTES (46)",45,42,41,36,35
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",207,203,199,197,197
"PARTIDO AGRARIO Y SOCIAL (49)",19,19,-,23,23
"SOCIALISTA (50)",17,18,18,17,17
"LIBERAL (51)",41,37,38,35,35
"AUTONOMISTA (52)",45,49,48,45,40
"DE LA VICTORIA (54)",23,23,23,22,24
"PROYECTO CORRIENTES (57)",22,24,-,30,27
"PRO - PROPUESTA REPUBLICANA (64)",35,35,35,37,35
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",6,6,8,8,7
"NUEVO (90)",68,67,67,72,67
"POPULAR CORRENTINO (169)",70,74,74,60,72
"CRECER CON TODOS (170)",24,23,22,19,18
"UNIÓN CELESTE Y BLANCO (173)",17,18,-,19,21
"COMPROMISO CORRENTINO (175)",16,16,-,15,18
"KOLINA (192)",7,6,5,9,9
"INTEGRACIÓN CORRENTINA (36)",-,-,-,57,55
"NUEVA CORRIENTES (41)",-,-,-,3,3
"Votos en Blanco",92,134,153,153,263
"Votos Nulos",53,45,46,44,43
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
