partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",43,43,43,37,38
"JUSTICIALISTA (2)",200,194,513,214,204
"UNIÓN CÍVICA RADICAL (3)",733,708,694,568,572
"MOVIMIENTO SIEMPRE CORRIENTES (4)",61,57,58,50,50
"DEMÓCRATA CRISTIANO (5)",33,34,34,42,40
"DE LA CONCERTACIÓN - FORJA (7)",22,20,20,18,18
"FEDERAL (8)",36,36,-,35,35
"DEMÓCRATA PROGRESISTA (9)",20,18,18,18,18
"RENOVADOR FEDERAL (10)",49,49,52,59,54
"LADRILLEROS UNIDOS (11)",45,43,38,39,40
"COMUNISTA (12)",12,12,-,13,25
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",31,32,32,21,20
"ACCIÓN POR CORRIENTES (14)",44,42,42,42,41
"UNIDOS POR CORRIENTES (15)",52,49,49,46,47
"LABORISTA AUTÓNOMO (17)",23,23,23,22,22
"ELI - ENCUENTRO LIBERAL (18)",85,82,82,81,81
"CAMBIO POPULAR (19)",25,26,26,32,33
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",22,23,-,28,26
"CONVOCATORIA POPULAR (21)",20,20,-,23,-
"FE (23)",9,11,9,10,-
"NUESTRA CAUSA (24)",14,15,14,16,16
"UNION POPULAR (25)",60,58,58,56,57
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",18,17,27,28,26
"ENCUENTRO CORRELIGIONARIO (27)",39,38,38,32,33
"CAMBIO AUSTERIDAD Y PROGRESO (28)",14,13,13,13,13
"DEL TRABAJO Y DEL PUEBLO (29)",41,41,42,44,43
"CIUDADANOS A GOBERNAR (30)",53,50,49,48,53
"CONSERVADOR POPULAR (31)",31,31,32,29,29
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",33,29,28,27,26
"NUEVO PAIS (33)",77,76,-,102,95
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",31,30,30,26,26
"TERCERA POSICIÓN (35)",7,6,6,8,-
"UNIÓN CORRENTINA (37)",29,29,27,27,27
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",45,41,42,38,37
"UNIÓN PARA EL DESARROLLO (42)",20,20,20,17,17
"NORTE GRANDE (43)",28,26,27,27,27
"ACCIÓN POR LA REPÚBLICA (44)",45,41,41,40,42
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",22,21,-,24,26
"VAMOS CORRIENTES (46)",67,59,57,55,53
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",211,199,162,189,188
"PARTIDO AGRARIO Y SOCIAL (49)",47,49,-,58,53
"SOCIALISTA (50)",40,36,34,35,34
"LIBERAL (51)",55,52,54,52,54
"AUTONOMISTA (52)",73,70,68,58,63
"DE LA VICTORIA (54)",22,24,24,29,26
"PROYECTO CORRIENTES (57)",36,35,-,50,42
"PRO - PROPUESTA REPUBLICANA (64)",64,59,59,57,57
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",13,13,13,14,14
"NUEVO (90)",69,67,69,63,64
"POPULAR CORRENTINO (169)",155,151,149,145,147
"CRECER CON TODOS (170)",34,34,33,32,32
"UNIÓN CELESTE Y BLANCO (173)",36,37,-,55,53
"COMPROMISO CORRENTINO (175)",44,44,-,49,45
"KOLINA (192)",13,13,13,16,15
"INTEGRACIÓN CORRENTINA (36)",-,-,-,89,91
"NUEVA CORRIENTES (41)",-,-,-,16,14
"Votos en Blanco",163,296,379,280,340
"Votos Nulos",72,44,45,44,44
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
