partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",60,58,57,57,57
"JUSTICIALISTA (2)",66,69,315,106,92
"UNIÓN CÍVICA RADICAL (3)",541,522,518,419,418
"MOVIMIENTO SIEMPRE CORRIENTES (4)",33,30,29,28,28
"DEMÓCRATA CRISTIANO (5)",44,45,44,53,56
"DE LA CONCERTACIÓN - FORJA (7)",51,48,45,40,38
"FEDERAL (8)",24,24,-,30,30
"DEMÓCRATA PROGRESISTA (9)",35,35,33,28,29
"RENOVADOR FEDERAL (10)",28,26,25,36,37
"LADRILLEROS UNIDOS (11)",50,49,49,45,45
"COMUNISTA (12)",19,19,-,24,28
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",19,17,18,20,19
"ACCIÓN POR CORRIENTES (14)",30,27,31,27,24
"UNIDOS POR CORRIENTES (15)",37,36,33,30,30
"LABORISTA AUTÓNOMO (17)",28,27,26,24,25
"ELI - ENCUENTRO LIBERAL (18)",70,69,68,60,58
"CAMBIO POPULAR (19)",21,22,24,32,30
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",6,6,-,14,12
"CONVOCATORIA POPULAR (21)",5,5,-,5,-
"FE (23)",9,9,9,13,-
"NUESTRA CAUSA (24)",16,14,14,13,14
"UNION POPULAR (25)",54,50,49,45,46
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",12,12,11,16,15
"ENCUENTRO CORRELIGIONARIO (27)",27,26,26,24,24
"CAMBIO AUSTERIDAD Y PROGRESO (28)",30,27,24,24,24
"DEL TRABAJO Y DEL PUEBLO (29)",31,32,33,42,42
"CIUDADANOS A GOBERNAR (30)",48,45,46,40,42
"CONSERVADOR POPULAR (31)",36,33,33,32,29
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",29,26,25,25,23
"NUEVO PAIS (33)",43,44,-,63,58
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",34,32,31,34,34
"TERCERA POSICIÓN (35)",5,5,8,8,-
"UNIÓN CORRENTINA (37)",27,27,27,26,26
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",15,14,14,12,12
"UNIÓN PARA EL DESARROLLO (42)",10,10,10,10,10
"NORTE GRANDE (43)",16,15,15,23,23
"ACCIÓN POR LA REPÚBLICA (44)",21,20,20,19,19
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",13,13,-,18,17
"VAMOS CORRIENTES (46)",63,62,61,63,61
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",165,159,148,148,145
"PARTIDO AGRARIO Y SOCIAL (49)",27,28,-,37,34
"SOCIALISTA (50)",27,26,26,22,22
"LIBERAL (51)",61,59,61,58,55
"AUTONOMISTA (52)",88,79,79,74,83
"DE LA VICTORIA (54)",42,42,43,46,43
"PROYECTO CORRIENTES (57)",45,47,-,57,60
"PRO - PROPUESTA REPUBLICANA (64)",30,29,27,25,25
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",9,10,10,9,10
"NUEVO (90)",36,37,37,34,37
"POPULAR CORRENTINO (169)",186,175,174,162,163
"CRECER CON TODOS (170)",99,97,94,89,90
"UNIÓN CELESTE Y BLANCO (173)",22,21,-,23,24
"COMPROMISO CORRENTINO (175)",29,29,-,39,35
"KOLINA (192)",15,15,15,15,16
"INTEGRACIÓN CORRENTINA (36)",-,-,-,68,68
"NUEVA CORRIENTES (41)",-,-,-,5,5
"Votos en Blanco",60,167,182,135,178
"Votos Nulos",61,35,38,34,35
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
