partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",49,46,45,42,43
"JUSTICIALISTA (2)",81,81,340,90,87
"UNIÓN CÍVICA RADICAL (3)",489,484,474,367,363
"MOVIMIENTO SIEMPRE CORRIENTES (4)",38,35,35,34,33
"DEMÓCRATA CRISTIANO (5)",29,27,28,36,36
"DE LA CONCERTACIÓN - FORJA (7)",40,38,38,36,36
"FEDERAL (8)",38,39,-,54,47
"DEMÓCRATA PROGRESISTA (9)",42,42,43,41,41
"RENOVADOR FEDERAL (10)",66,66,69,73,70
"LADRILLEROS UNIDOS (11)",84,82,82,80,80
"COMUNISTA (12)",20,20,-,21,42
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",19,17,19,15,16
"ACCIÓN POR CORRIENTES (14)",26,22,22,22,22
"UNIDOS POR CORRIENTES (15)",27,26,26,27,26
"LABORISTA AUTÓNOMO (17)",14,10,10,10,10
"ELI - ENCUENTRO LIBERAL (18)",71,70,66,63,64
"CAMBIO POPULAR (19)",11,10,11,15,14
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",40,40,-,44,44
"CONVOCATORIA POPULAR (21)",21,21,-,20,-
"FE (23)",15,13,13,18,-
"NUESTRA CAUSA (24)",4,4,4,6,6
"UNION POPULAR (25)",68,68,66,59,61
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",13,13,13,16,15
"ENCUENTRO CORRELIGIONARIO (27)",17,17,16,14,14
"CAMBIO AUSTERIDAD Y PROGRESO (28)",10,10,10,9,9
"DEL TRABAJO Y DEL PUEBLO (29)",26,26,26,33,32
"CIUDADANOS A GOBERNAR (30)",53,53,53,49,48
"CONSERVADOR POPULAR (31)",55,52,52,48,49
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",28,28,28,28,20
"NUEVO PAIS (33)",51,48,-,58,53
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",21,20,20,20,20
"TERCERA POSICIÓN (35)",13,12,12,14,-
"UNIÓN CORRENTINA (37)",18,18,18,17,13
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",29,29,28,26,26
"UNIÓN PARA EL DESARROLLO (42)",17,16,16,15,15
"NORTE GRANDE (43)",23,22,21,19,19
"ACCIÓN POR LA REPÚBLICA (44)",16,15,15,14,14
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",9,9,-,11,11
"VAMOS CORRIENTES (46)",27,27,26,22,22
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",178,171,172,168,170
"PARTIDO AGRARIO Y SOCIAL (49)",42,43,-,51,48
"SOCIALISTA (50)",10,9,8,9,9
"LIBERAL (51)",80,75,76,73,76
"AUTONOMISTA (52)",71,68,67,64,63
"DE LA VICTORIA (54)",40,40,40,42,43
"PROYECTO CORRIENTES (57)",27,27,-,35,33
"PRO - PROPUESTA REPUBLICANA (64)",79,74,71,66,63
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",19,18,18,19,20
"NUEVO (90)",72,66,65,65,67
"POPULAR CORRENTINO (169)",100,99,98,94,92
"CRECER CON TODOS (170)",22,22,22,21,21
"UNIÓN CELESTE Y BLANCO (173)",14,13,-,14,15
"COMPROMISO CORRENTINO (175)",11,11,-,11,11
"KOLINA (192)",6,6,6,7,7
"INTEGRACIÓN CORRENTINA (36)",-,-,-,90,89
"NUEVA CORRIENTES (41)",-,-,-,1,2
"Votos en Blanco",72,150,178,152,218
"Votos Nulos",59,52,54,52,52
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
