partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",71,67,66,61,60
"JUSTICIALISTA (2)",135,126,292,144,138
"UNIÓN CÍVICA RADICAL (3)",696,669,658,589,590
"MOVIMIENTO SIEMPRE CORRIENTES (4)",50,46,46,44,44
"DEMÓCRATA CRISTIANO (5)",17,19,17,26,27
"DE LA CONCERTACIÓN - FORJA (7)",30,28,28,24,24
"FEDERAL (8)",19,19,-,30,24
"DEMÓCRATA PROGRESISTA (9)",27,22,21,15,15
"RENOVADOR FEDERAL (10)",21,21,23,28,25
"LADRILLEROS UNIDOS (11)",37,36,33,29,29
"COMUNISTA (12)",8,7,-,9,20
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",25,19,18,10,9
"ACCIÓN POR CORRIENTES (14)",27,25,26,23,23
"UNIDOS POR CORRIENTES (15)",32,29,28,28,28
"LABORISTA AUTÓNOMO (17)",27,25,23,22,22
"ELI - ENCUENTRO LIBERAL (18)",93,91,94,83,85
"CAMBIO POPULAR (19)",1,1,1,3,3
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",10,10,-,13,13
"CONVOCATORIA POPULAR (21)",12,14,-,13,-
"FE (23)",0,0,0,1,-
"NUESTRA CAUSA (24)",7,8,7,7,6
"UNION POPULAR (25)",45,45,42,41,48
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",9,9,9,13,11
"ENCUENTRO CORRELIGIONARIO (27)",43,42,42,42,41
"CAMBIO AUSTERIDAD Y PROGRESO (28)",8,8,9,7,7
"DEL TRABAJO Y DEL PUEBLO (29)",6,5,6,10,10
"CIUDADANOS A GOBERNAR (30)",49,44,45,40,41
"CONSERVADOR POPULAR (31)",8,9,9,8,9
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",30,23,27,26,24
"NUEVO PAIS (33)",22,20,-,32,28
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",22,21,20,18,18
"TERCERA POSICIÓN (35)",4,3,3,3,-
"UNIÓN CORRENTINA (37)",14,13,13,12,13
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",27,27,27,27,26
"UNIÓN PARA EL DESARROLLO (42)",14,14,14,12,12
"NORTE GRANDE (43)",8,8,7,7,7
"ACCIÓN POR LA REPÚBLICA (44)",27,26,25,25,24
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",8,9,-,13,15
"VAMOS CORRIENTES (46)",62,60,60,57,53
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",163,156,158,150,158
"PARTIDO AGRARIO Y SOCIAL (49)",20,18,-,24,20
"SOCIALISTA (50)",19,18,18,18,17
"LIBERAL (51)",112,109,110,100,100
"AUTONOMISTA (52)",94,94,103,90,91
"DE LA VICTORIA (54)",36,34,30,40,39
"PROYECTO CORRIENTES (57)",38,35,-,65,47
"PRO - PROPUESTA REPUBLICANA (64)",82,76,76,74,72
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",4,5,4,8,7
"NUEVO (90)",46,47,49,39,44
"POPULAR CORRENTINO (169)",147,139,130,132,120
"CRECER CON TODOS (170)",34,34,34,27,28
"UNIÓN CELESTE Y BLANCO (173)",18,17,-,25,23
"COMPROMISO CORRENTINO (175)",27,25,-,36,35
"KOLINA (192)",16,16,14,18,14
"INTEGRACIÓN CORRENTINA (36)",-,-,-,63,65
"NUEVA CORRIENTES (41)",-,-,-,10,10
"Votos en Blanco",68,189,213,165,218
"Votos Nulos",54,46,48,47,46
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
