partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",124,118,116
"JUSTICIALISTA (2)",99,107,195
"UNIÓN CÍVICA RADICAL (3)",496,470,470
"MOVIMIENTO SIEMPRE CORRIENTES (4)",41,37,37
"DEMÓCRATA CRISTIANO (5)",23,22,23
"DE LA CONCERTACIÓN - FORJA (7)",37,34,34
"FEDERAL (8)",0,0,-
"DEMÓCRATA PROGRESISTA (9)",39,38,39
"RENOVADOR FEDERAL (10)",30,31,30
"LADRILLEROS UNIDOS (11)",27,24,24
"COMUNISTA (12)",11,11,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",8,8,8
"ACCIÓN POR CORRIENTES (14)",16,15,15
"UNIDOS POR CORRIENTES (15)",31,30,30
"LABORISTA AUTÓNOMO (17)",17,16,16
"ELI - ENCUENTRO LIBERAL (18)",127,119,119
"CAMBIO POPULAR (19)",12,12,12
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",5,5,-
"CONVOCATORIA POPULAR (21)",11,11,-
"FE (23)",10,11,11
"NUESTRA CAUSA (24)",15,15,15
"UNION POPULAR (25)",24,23,23
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",10,13,12
"ENCUENTRO CORRELIGIONARIO (27)",31,28,28
"CAMBIO AUSTERIDAD Y PROGRESO (28)",16,15,15
"DEL TRABAJO Y DEL PUEBLO (29)",8,8,8
"CIUDADANOS A GOBERNAR (30)",39,36,36
"CONSERVADOR POPULAR (31)",28,28,28
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",28,24,24
"NUEVO PAIS (33)",14,14,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",20,20,20
"TERCERA POSICIÓN (35)",12,11,11
"UNIÓN CORRENTINA (37)",17,17,17
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",19,19,19
"UNIÓN PARA EL DESARROLLO (42)",18,17,17
"NORTE GRANDE (43)",28,26,26
"ACCIÓN POR LA REPÚBLICA (44)",30,28,28
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",59,55,55
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",97,95,94
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-
"SOCIALISTA (50)",27,25,24
"LIBERAL (51)",103,100,100
"AUTONOMISTA (52)",48,48,48
"DE LA VICTORIA (54)",41,43,43
"PROYECTO CORRIENTES (57)",8,8,-
"PRO - PROPUESTA REPUBLICANA (64)",83,80,79
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",10,10,10
"NUEVO (90)",40,38,37
"POPULAR CORRENTINO (169)",123,120,120
"CRECER CON TODOS (170)",21,21,21
"UNIÓN CELESTE Y BLANCO (173)",46,47,-
"COMPROMISO CORRENTINO (175)",23,23,-
"KOLINA (192)",20,19,15
"Votos en Blanco",36,116,157
"Votos Nulos",47,42,42
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
