partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",48,47,46,49,51
"JUSTICIALISTA (2)",272,272,435,282,273
"UNIÓN CÍVICA RADICAL (3)",524,517,516,521,504
"MOVIMIENTO SIEMPRE CORRIENTES (4)",47,45,45,47,45
"DEMÓCRATA CRISTIANO (5)",3,3,3,-,-
"DE LA CONCERTACIÓN - FORJA (7)",57,56,56,54,53
"FEDERAL (8)",58,59,-,47,44
"DEMÓCRATA PROGRESISTA (9)",19,18,18,18,18
"RENOVADOR FEDERAL (10)",41,43,42,42,44
"LADRILLEROS UNIDOS (11)",48,48,48,48,49
"COMUNISTA (12)",13,14,-,14,15
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",51,52,52,54,54
"ACCIÓN POR CORRIENTES (14)",78,73,73,76,73
"UNIDOS POR CORRIENTES (15)",33,30,30,32,28
"LABORISTA AUTÓNOMO (17)",20,20,20,20,20
"ELI - ENCUENTRO LIBERAL (18)",56,55,56,53,38
"CAMBIO POPULAR (19)",10,10,10,11,12
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",13,13,-,14,14
"CONVOCATORIA POPULAR (21)",10,10,-,10,10
"FE (23)",2,2,2,3,4
"NUESTRA CAUSA (24)",6,6,6,6,6
"UNION POPULAR (25)",119,119,121,119,118
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",23,23,23,-,23
"ENCUENTRO CORRELIGIONARIO (27)",23,22,22,23,23
"CAMBIO AUSTERIDAD Y PROGRESO (28)",57,57,57,57,69
"DEL TRABAJO Y DEL PUEBLO (29)",9,9,9,9,9
"CIUDADANOS A GOBERNAR (30)",23,23,23,23,25
"CONSERVADOR POPULAR (31)",39,39,38,38,38
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",9,9,9,9,9
"NUEVO PAIS (33)",11,11,-,28,9
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",14,14,14,14,24
"TERCERA POSICIÓN (35)",12,11,11,12,12
"UNIÓN CORRENTINA (37)",7,7,7,7,6
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",59,57,57,59,65
"UNIÓN PARA EL DESARROLLO (42)",21,21,21,21,21
"NORTE GRANDE (43)",20,20,20,22,22
"ACCIÓN POR LA REPÚBLICA (44)",21,21,21,19,19
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",21,21,21,21,21
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",17,15,14,15,16
"PARTIDO AGRARIO Y SOCIAL (49)",27,26,-,-,28
"SOCIALISTA (50)",31,29,28,28,29
"LIBERAL (51)",87,87,87,85,90
"AUTONOMISTA (52)",38,36,36,33,35
"DE LA VICTORIA (54)",10,13,13,13,13
"PROYECTO CORRIENTES (57)",17,17,-,17,17
"PRO - PROPUESTA REPUBLICANA (64)",136,131,129,136,129
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",9,9,9,9,9
"NUEVO (90)",19,18,19,19,19
"POPULAR CORRENTINO (169)",43,44,44,46,46
"CRECER CON TODOS (170)",38,38,38,37,36
"UNIÓN CELESTE Y BLANCO (173)",22,22,-,24,23
"COMPROMISO CORRENTINO (175)",10,10,-,11,11
"KOLINA (192)",15,15,8,15,15
"Votos en Blanco",88,111,142,134,113
"Votos Nulos",56,56,56,56,57
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
