partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",38,34,34,36,35
"JUSTICIALISTA (2)",261,258,456,262,253
"UNIÓN CÍVICA RADICAL (3)",511,504,498,510,486
"MOVIMIENTO SIEMPRE CORRIENTES (4)",51,50,49,50,47
"DEMÓCRATA CRISTIANO (5)",1,1,1,-,-
"DE LA CONCERTACIÓN - FORJA (7)",57,57,57,58,57
"FEDERAL (8)",66,66,-,68,67
"DEMÓCRATA PROGRESISTA (9)",18,17,17,19,16
"RENOVADOR FEDERAL (10)",42,43,42,45,46
"LADRILLEROS UNIDOS (11)",41,41,41,39,39
"COMUNISTA (12)",12,11,-,11,11
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",41,41,43,47,44
"ACCIÓN POR CORRIENTES (14)",70,70,70,70,71
"UNIDOS POR CORRIENTES (15)",35,35,35,36,36
"LABORISTA AUTÓNOMO (17)",12,12,12,14,13
"ELI - ENCUENTRO LIBERAL (18)",90,89,89,90,75
"CAMBIO POPULAR (19)",33,34,33,32,32
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",20,20,-,20,20
"CONVOCATORIA POPULAR (21)",38,38,-,39,39
"FE (23)",8,8,8,9,9
"NUESTRA CAUSA (24)",9,9,10,10,10
"UNION POPULAR (25)",111,109,107,112,105
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",22,22,22,-,22
"ENCUENTRO CORRELIGIONARIO (27)",42,40,40,41,45
"CAMBIO AUSTERIDAD Y PROGRESO (28)",41,40,40,39,59
"DEL TRABAJO Y DEL PUEBLO (29)",16,17,17,18,19
"CIUDADANOS A GOBERNAR (30)",39,39,39,39,43
"CONSERVADOR POPULAR (31)",49,50,49,48,47
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",24,22,22,22,24
"NUEVO PAIS (33)",6,6,-,31,13
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",29,28,28,30,36
"TERCERA POSICIÓN (35)",7,7,7,7,7
"UNIÓN CORRENTINA (37)",5,5,5,7,6
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",78,77,75,78,85
"UNIÓN PARA EL DESARROLLO (42)",10,10,10,10,11
"NORTE GRANDE (43)",19,17,17,20,20
"ACCIÓN POR LA REPÚBLICA (44)",20,19,19,20,20
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",30,29,28,33,31
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",14,14,14,14,14
"PARTIDO AGRARIO Y SOCIAL (49)",24,24,-,-,23
"SOCIALISTA (50)",45,44,44,44,49
"LIBERAL (51)",53,52,52,52,57
"AUTONOMISTA (52)",34,34,34,34,34
"DE LA VICTORIA (54)",13,13,13,14,14
"PROYECTO CORRIENTES (57)",12,12,-,13,13
"PRO - PROPUESTA REPUBLICANA (64)",145,144,141,145,138
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",7,7,7,7,7
"NUEVO (90)",18,18,18,18,18
"POPULAR CORRENTINO (169)",27,25,24,26,26
"CRECER CON TODOS (170)",33,33,32,32,33
"UNIÓN CELESTE Y BLANCO (173)",29,28,-,29,28
"COMPROMISO CORRENTINO (175)",5,4,-,4,4
"KOLINA (192)",19,19,19,20,18
"Votos en Blanco",73,122,150,95,94
"Votos Nulos",67,52,52,53,52
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
