partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",55,53,53,46,47
"JUSTICIALISTA (2)",184,185,484,220,199
"UNIÓN CÍVICA RADICAL (3)",733,649,688,613,616
"MOVIMIENTO SIEMPRE CORRIENTES (4)",50,51,47,44,44
"DEMÓCRATA CRISTIANO (5)",48,51,50,62,60
"DE LA CONCERTACIÓN - FORJA (7)",50,45,43,40,40
"FEDERAL (8)",38,38,-,52,48
"DEMÓCRATA PROGRESISTA (9)",86,74,73,73,73
"RENOVADOR FEDERAL (10)",36,37,38,47,46
"LADRILLEROS UNIDOS (11)",71,71,69,62,64
"COMUNISTA (12)",17,16,-,19,29
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",24,26,27,22,21
"ACCIÓN POR CORRIENTES (14)",24,23,22,18,15
"UNIDOS POR CORRIENTES (15)",50,49,50,46,45
"LABORISTA AUTÓNOMO (17)",38,27,30,27,26
"ELI - ENCUENTRO LIBERAL (18)",153,143,143,138,138
"CAMBIO POPULAR (19)",13,20,13,17,15
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",16,17,-,23,22
"CONVOCATORIA POPULAR (21)",4,4,-,5,-
"FE (23)",19,20,21,24,-
"NUESTRA CAUSA (24)",5,6,6,10,10
"UNION POPULAR (25)",53,46,50,48,53
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",21,25,21,28,27
"ENCUENTRO CORRELIGIONARIO (27)",41,37,39,38,38
"CAMBIO AUSTERIDAD Y PROGRESO (28)",11,11,10,10,9
"DEL TRABAJO Y DEL PUEBLO (29)",18,18,19,25,25
"CIUDADANOS A GOBERNAR (30)",53,44,51,49,51
"CONSERVADOR POPULAR (31)",35,39,32,29,29
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",27,26,27,25,26
"NUEVO PAIS (33)",34,27,-,51,41
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",18,19,15,15,15
"TERCERA POSICIÓN (35)",12,13,14,14,-
"UNIÓN CORRENTINA (37)",27,24,24,25,22
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",40,34,38,34,33
"UNIÓN PARA EL DESARROLLO (42)",24,25,24,22,19
"NORTE GRANDE (43)",16,15,15,15,14
"ACCIÓN POR LA REPÚBLICA (44)",26,22,21,20,19
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",26,26,-,32,29
"VAMOS CORRIENTES (46)",56,54,51,48,48
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",171,159,160,145,149
"PARTIDO AGRARIO Y SOCIAL (49)",30,30,-,45,40
"SOCIALISTA (50)",15,13,16,12,12
"LIBERAL (51)",77,64,73,69,70
"AUTONOMISTA (52)",65,62,61,54,54
"DE LA VICTORIA (54)",13,12,12,19,15
"PROYECTO CORRIENTES (57)",57,56,-,78,71
"PRO - PROPUESTA REPUBLICANA (64)",88,85,83,69,75
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",21,21,21,35,27
"NUEVO (90)",96,91,89,82,85
"POPULAR CORRENTINO (169)",159,151,151,138,137
"CRECER CON TODOS (170)",42,39,38,34,38
"UNIÓN CELESTE Y BLANCO (173)",38,37,-,47,48
"COMPROMISO CORRENTINO (175)",40,37,-,44,43
"KOLINA (192)",16,17,19,20,20
"INTEGRACIÓN CORRENTINA (36)",-,-,-,39,39
"NUEVA CORRIENTES (41)",-,-,-,9,8
"Votos en Blanco",136,356,310,265,354
"Votos Nulos",69,47,46,46,46
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
