partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",108,101,97,87,89
"JUSTICIALISTA (2)",111,113,307,127,120
"UNIÓN CÍVICA RADICAL (3)",530,516,499,444,439
"MOVIMIENTO SIEMPRE CORRIENTES (4)",96,89,85,84,83
"DEMÓCRATA CRISTIANO (5)",40,41,41,62,60
"DE LA CONCERTACIÓN - FORJA (7)",89,85,86,83,82
"FEDERAL (8)",49,50,-,70,66
"DEMÓCRATA PROGRESISTA (9)",64,59,56,54,52
"RENOVADOR FEDERAL (10)",49,48,49,54,51
"LADRILLEROS UNIDOS (11)",58,55,53,52,53
"COMUNISTA (12)",35,34,-,36,51
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",25,25,27,16,13
"ACCIÓN POR CORRIENTES (14)",29,28,27,20,20
"UNIDOS POR CORRIENTES (15)",58,55,55,51,49
"LABORISTA AUTÓNOMO (17)",67,66,64,60,60
"ELI - ENCUENTRO LIBERAL (18)",119,111,109,108,111
"CAMBIO POPULAR (19)",8,8,8,14,11
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",10,10,-,20,19
"CONVOCATORIA POPULAR (21)",17,17,-,16,-
"FE (23)",6,5,5,10,-
"NUESTRA CAUSA (24)",6,6,6,7,6
"UNION POPULAR (25)",49,48,46,43,48
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",17,17,17,19,19
"ENCUENTRO CORRELIGIONARIO (27)",58,57,54,49,49
"CAMBIO AUSTERIDAD Y PROGRESO (28)",3,3,3,3,3
"DEL TRABAJO Y DEL PUEBLO (29)",19,20,18,19,18
"CIUDADANOS A GOBERNAR (30)",21,20,20,26,21
"CONSERVADOR POPULAR (31)",21,19,19,18,17
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",20,20,19,17,17
"NUEVO PAIS (33)",14,16,-,30,24
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",11,10,8,9,8
"TERCERA POSICIÓN (35)",4,4,4,7,-
"UNIÓN CORRENTINA (37)",13,13,13,10,9
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",9,9,9,9,9
"UNIÓN PARA EL DESARROLLO (42)",9,8,8,8,8
"NORTE GRANDE (43)",26,26,27,24,24
"ACCIÓN POR LA REPÚBLICA (44)",27,26,26,26,27
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",13,12,-,17,14
"VAMOS CORRIENTES (46)",40,36,32,35,35
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",101,94,87,89,91
"PARTIDO AGRARIO Y SOCIAL (49)",23,25,-,34,32
"SOCIALISTA (50)",18,16,16,15,15
"LIBERAL (51)",45,45,44,41,42
"AUTONOMISTA (52)",48,47,47,40,40
"DE LA VICTORIA (54)",12,12,11,11,12
"PROYECTO CORRIENTES (57)",31,32,-,55,46
"PRO - PROPUESTA REPUBLICANA (64)",24,21,21,19,17
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",8,9,9,14,13
"NUEVO (90)",49,47,46,36,41
"POPULAR CORRENTINO (169)",113,108,106,101,100
"CRECER CON TODOS (170)",25,23,22,19,22
"UNIÓN CELESTE Y BLANCO (173)",12,12,-,14,15
"COMPROMISO CORRENTINO (175)",14,14,-,17,17
"KOLINA (192)",10,10,10,13,12
"INTEGRACIÓN CORRENTINA (36)",-,-,-,43,42
"NUEVA CORRIENTES (41)",-,-,-,21,21
"Votos en Blanco",79,172,257,143,206
"Votos Nulos",60,47,47,52,51
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
