partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",51,46,46,42,44
"JUSTICIALISTA (2)",156,156,513,167,160
"UNIÓN CÍVICA RADICAL (3)",689,658,645,556,556
"MOVIMIENTO SIEMPRE CORRIENTES (4)",57,53,51,52,50
"DEMÓCRATA CRISTIANO (5)",40,39,41,56,53
"DE LA CONCERTACIÓN - FORJA (7)",42,40,40,34,34
"FEDERAL (8)",50,49,-,59,54
"DEMÓCRATA PROGRESISTA (9)",32,28,28,30,29
"RENOVADOR FEDERAL (10)",32,35,36,38,35
"LADRILLEROS UNIDOS (11)",56,53,54,55,55
"COMUNISTA (12)",30,23,-,29,54
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",30,30,33,19,16
"ACCIÓN POR CORRIENTES (14)",44,45,44,42,46
"UNIDOS POR CORRIENTES (15)",61,55,56,53,51
"LABORISTA AUTÓNOMO (17)",39,35,34,31,33
"ELI - ENCUENTRO LIBERAL (18)",140,135,132,125,127
"CAMBIO POPULAR (19)",11,10,10,17,14
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",18,18,-,26,28
"CONVOCATORIA POPULAR (21)",26,26,-,26,-
"FE (23)",13,13,14,18,-
"NUESTRA CAUSA (24)",7,8,8,12,11
"UNION POPULAR (25)",83,77,74,72,73
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",18,18,22,32,19
"ENCUENTRO CORRELIGIONARIO (27)",70,65,65,63,63
"CAMBIO AUSTERIDAD Y PROGRESO (28)",21,17,17,16,18
"DEL TRABAJO Y DEL PUEBLO (29)",13,14,14,22,20
"CIUDADANOS A GOBERNAR (30)",46,45,44,38,37
"CONSERVADOR POPULAR (31)",43,40,40,37,38
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",55,49,51,45,44
"NUEVO PAIS (33)",41,43,-,59,60
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",23,22,22,22,22
"TERCERA POSICIÓN (35)",6,6,7,10,-
"UNIÓN CORRENTINA (37)",48,44,44,41,41
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",18,16,16,15,15
"UNIÓN PARA EL DESARROLLO (42)",19,18,18,16,14
"NORTE GRANDE (43)",24,20,20,20,19
"ACCIÓN POR LA REPÚBLICA (44)",35,32,32,29,29
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",23,21,-,33,32
"VAMOS CORRIENTES (46)",74,73,73,67,67
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",203,192,191,184,183
"PARTIDO AGRARIO Y SOCIAL (49)",41,38,-,57,48
"SOCIALISTA (50)",48,41,40,40,40
"LIBERAL (51)",89,88,88,75,76
"AUTONOMISTA (52)",88,84,86,74,71
"DE LA VICTORIA (54)",32,31,32,36,30
"PROYECTO CORRIENTES (57)",54,56,-,96,80
"PRO - PROPUESTA REPUBLICANA (64)",77,72,73,66,68
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",15,15,16,26,19
"NUEVO (90)",101,96,96,88,91
"POPULAR CORRENTINO (169)",188,178,176,160,158
"CRECER CON TODOS (170)",44,38,38,36,37
"UNIÓN CELESTE Y BLANCO (173)",52,52,-,66,62
"COMPROMISO CORRENTINO (175)",30,29,-,35,36
"KOLINA (192)",33,31,34,35,35
"INTEGRACIÓN CORRENTINA (36)",-,-,-,46,42
"NUEVA CORRIENTES (41)",-,-,-,18,16
"Votos en Blanco",139,314,320,274,382
"Votos Nulos",97,85,81,79,80
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
