partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",53,51,50,44,44
"JUSTICIALISTA (2)",69,70,316,82,77
"UNIÓN CÍVICA RADICAL (3)",306,292,296,219,215
"MOVIMIENTO SIEMPRE CORRIENTES (4)",40,37,36,34,34
"DEMÓCRATA CRISTIANO (5)",24,24,26,28,27
"DE LA CONCERTACIÓN - FORJA (7)",15,14,13,12,13
"FEDERAL (8)",20,20,-,34,30
"DEMÓCRATA PROGRESISTA (9)",30,28,26,26,26
"RENOVADOR FEDERAL (10)",38,36,39,45,38
"LADRILLEROS UNIDOS (11)",50,46,47,44,45
"COMUNISTA (12)",13,13,-,17,19
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",11,10,11,10,5
"ACCIÓN POR CORRIENTES (14)",29,29,29,27,27
"UNIDOS POR CORRIENTES (15)",17,16,16,14,14
"LABORISTA AUTÓNOMO (17)",13,13,13,12,12
"ELI - ENCUENTRO LIBERAL (18)",58,55,53,50,46
"CAMBIO POPULAR (19)",11,11,11,14,13
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",6,6,-,12,9
"CONVOCATORIA POPULAR (21)",12,13,-,16,-
"FE (23)",9,10,10,10,-
"NUESTRA CAUSA (24)",4,4,4,4,5
"UNION POPULAR (25)",35,34,34,30,18
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",17,17,17,22,20
"ENCUENTRO CORRELIGIONARIO (27)",33,30,26,20,23
"CAMBIO AUSTERIDAD Y PROGRESO (28)",4,4,4,3,3
"DEL TRABAJO Y DEL PUEBLO (29)",18,17,17,26,25
"CIUDADANOS A GOBERNAR (30)",11,10,7,8,10
"CONSERVADOR POPULAR (31)",19,19,19,18,18
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",34,29,29,29,26
"NUEVO PAIS (33)",33,32,-,38,33
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",13,13,13,14,13
"TERCERA POSICIÓN (35)",7,7,7,9,-
"UNIÓN CORRENTINA (37)",16,14,14,14,14
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",24,21,21,21,21
"UNIÓN PARA EL DESARROLLO (42)",11,11,11,13,13
"NORTE GRANDE (43)",21,20,20,18,18
"ACCIÓN POR LA REPÚBLICA (44)",21,19,18,17,17
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",14,14,-,19,18
"VAMOS CORRIENTES (46)",38,34,34,30,30
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",72,68,63,65,66
"PARTIDO AGRARIO Y SOCIAL (49)",30,33,-,41,37
"SOCIALISTA (50)",15,15,15,16,16
"LIBERAL (51)",55,53,52,51,48
"AUTONOMISTA (52)",55,52,48,48,48
"DE LA VICTORIA (54)",18,18,18,22,21
"PROYECTO CORRIENTES (57)",55,55,-,73,63
"PRO - PROPUESTA REPUBLICANA (64)",45,43,43,40,41
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",17,18,18,19,18
"NUEVO (90)",27,27,27,24,26
"POPULAR CORRENTINO (169)",116,111,110,104,104
"CRECER CON TODOS (170)",31,29,28,26,26
"UNIÓN CELESTE Y BLANCO (173)",29,30,-,37,33
"COMPROMISO CORRENTINO (175)",24,24,-,31,31
"KOLINA (192)",13,13,15,15,16
"INTEGRACIÓN CORRENTINA (36)",-,-,-,51,50
"NUEVA CORRIENTES (41)",-,-,-,4,4
"Votos en Blanco",64,136,143,98,200
"Votos Nulos",42,37,38,37,38
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
