partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",104,101,96,95,93
"JUSTICIALISTA (2)",97,93,278,108,107
"UNIÓN CÍVICA RADICAL (3)",509,480,472,362,357
"MOVIMIENTO SIEMPRE CORRIENTES (4)",74,71,69,65,65
"DEMÓCRATA CRISTIANO (5)",32,29,30,40,36
"DE LA CONCERTACIÓN - FORJA (7)",50,49,39,46,45
"FEDERAL (8)",37,37,-,49,45
"DEMÓCRATA PROGRESISTA (9)",60,55,55,53,55
"RENOVADOR FEDERAL (10)",41,40,39,47,42
"LADRILLEROS UNIDOS (11)",52,49,47,47,46
"COMUNISTA (12)",19,19,-,21,25
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",20,21,19,16,14
"ACCIÓN POR CORRIENTES (14)",29,27,27,24,24
"UNIDOS POR CORRIENTES (15)",24,24,24,23,23
"LABORISTA AUTÓNOMO (17)",13,13,13,13,13
"ELI - ENCUENTRO LIBERAL (18)",93,87,91,85,89
"CAMBIO POPULAR (19)",14,14,13,18,16
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",3,3,-,11,10
"CONVOCATORIA POPULAR (21)",9,8,-,9,-
"FE (23)",7,7,8,9,-
"NUESTRA CAUSA (24)",9,10,10,12,12
"UNION POPULAR (25)",79,75,73,65,69
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",20,19,20,21,22
"ENCUENTRO CORRELIGIONARIO (27)",38,36,35,33,33
"CAMBIO AUSTERIDAD Y PROGRESO (28)",14,14,13,13,13
"DEL TRABAJO Y DEL PUEBLO (29)",37,35,35,46,43
"CIUDADANOS A GOBERNAR (30)",28,27,27,26,26
"CONSERVADOR POPULAR (31)",19,18,19,18,18
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",37,34,34,32,30
"NUEVO PAIS (33)",33,34,-,47,42
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",20,15,16,14,14
"TERCERA POSICIÓN (35)",1,2,4,4,-
"UNIÓN CORRENTINA (37)",25,20,19,21,20
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",26,26,26,25,25
"UNIÓN PARA EL DESARROLLO (42)",6,5,5,5,4
"NORTE GRANDE (43)",12,11,11,11,10
"ACCIÓN POR LA REPÚBLICA (44)",29,29,28,28,27
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",11,11,-,16,15
"VAMOS CORRIENTES (46)",45,45,44,36,37
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",121,113,108,112,111
"PARTIDO AGRARIO Y SOCIAL (49)",27,27,-,38,37
"SOCIALISTA (50)",25,19,17,15,15
"LIBERAL (51)",36,36,36,35,36
"AUTONOMISTA (52)",49,48,48,43,43
"DE LA VICTORIA (54)",5,5,5,7,7
"PROYECTO CORRIENTES (57)",30,34,-,60,53
"PRO - PROPUESTA REPUBLICANA (64)",37,34,33,34,32
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",2,2,2,2,2
"NUEVO (90)",61,61,63,57,60
"POPULAR CORRENTINO (169)",133,130,130,117,120
"CRECER CON TODOS (170)",25,23,21,19,19
"UNIÓN CELESTE Y BLANCO (173)",11,11,-,12,12
"COMPROMISO CORRENTINO (175)",16,16,-,23,19
"KOLINA (192)",14,14,18,24,23
"INTEGRACIÓN CORRENTINA (36)",-,-,-,95,97
"NUEVA CORRIENTES (41)",-,-,-,13,13
"Votos en Blanco",127,235,281,181,237
"Votos Nulos",74,68,68,68,68
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
