partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",84,80,78,76,76
"JUSTICIALISTA (2)",53,54,302,63,60
"UNIÓN CÍVICA RADICAL (3)",565,537,533,423,416
"MOVIMIENTO SIEMPRE CORRIENTES (4)",75,72,75,71,73
"DEMÓCRATA CRISTIANO (5)",39,41,42,48,48
"DE LA CONCERTACIÓN - FORJA (7)",29,28,26,26,26
"FEDERAL (8)",39,36,-,52,50
"DEMÓCRATA PROGRESISTA (9)",32,28,28,29,30
"RENOVADOR FEDERAL (10)",31,30,32,35,33
"LADRILLEROS UNIDOS (11)",33,32,32,32,32
"COMUNISTA (12)",12,12,-,16,29
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",20,19,19,18,17
"ACCIÓN POR CORRIENTES (14)",49,46,47,43,41
"UNIDOS POR CORRIENTES (15)",56,55,53,47,47
"LABORISTA AUTÓNOMO (17)",43,41,41,36,35
"ELI - ENCUENTRO LIBERAL (18)",98,97,96,93,93
"CAMBIO POPULAR (19)",12,12,13,17,15
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",20,20,-,27,27
"CONVOCATORIA POPULAR (21)",16,17,-,18,-
"FE (23)",23,23,24,31,-
"NUESTRA CAUSA (24)",12,13,12,14,14
"UNION POPULAR (25)",85,74,73,71,70
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",21,21,22,25,27
"ENCUENTRO CORRELIGIONARIO (27)",58,52,52,50,50
"CAMBIO AUSTERIDAD Y PROGRESO (28)",17,17,17,13,13
"DEL TRABAJO Y DEL PUEBLO (29)",19,18,18,23,22
"CIUDADANOS A GOBERNAR (30)",20,18,18,17,19
"CONSERVADOR POPULAR (31)",17,14,14,13,13
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",35,34,33,33,32
"NUEVO PAIS (33)",41,45,-,58,54
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",18,16,16,18,16
"TERCERA POSICIÓN (35)",5,6,6,8,-
"UNIÓN CORRENTINA (37)",17,16,16,16,16
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",13,12,11,10,9
"UNIÓN PARA EL DESARROLLO (42)",9,9,9,9,9
"NORTE GRANDE (43)",10,10,10,10,10
"ACCIÓN POR LA REPÚBLICA (44)",26,24,24,22,23
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",24,23,-,31,27
"VAMOS CORRIENTES (46)",9,6,7,6,6
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",162,154,154,146,149
"PARTIDO AGRARIO Y SOCIAL (49)",47,48,-,56,51
"SOCIALISTA (50)",24,23,22,21,20
"LIBERAL (51)",42,42,41,36,37
"AUTONOMISTA (52)",61,58,57,52,52
"DE LA VICTORIA (54)",30,28,29,29,30
"PROYECTO CORRIENTES (57)",37,39,-,61,57
"PRO - PROPUESTA REPUBLICANA (64)",87,82,80,73,74
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",13,12,11,13,13
"NUEVO (90)",55,52,52,51,53
"POPULAR CORRENTINO (169)",116,104,102,98,96
"CRECER CON TODOS (170)",49,47,45,39,39
"UNIÓN CELESTE Y BLANCO (173)",24,26,-,38,37
"COMPROMISO CORRENTINO (175)",20,19,-,28,26
"KOLINA (192)",11,10,10,11,11
"INTEGRACIÓN CORRENTINA (36)",-,-,-,78,76
"NUEVA CORRIENTES (41)",-,-,-,16,15
"Votos en Blanco",64,188,238,144,224
"Votos Nulos",50,36,36,38,38
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
