partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",88,83,79,78,77
"JUSTICIALISTA (2)",79,77,292,92,88
"UNIÓN CÍVICA RADICAL (3)",467,449,443,371,376
"MOVIMIENTO SIEMPRE CORRIENTES (4)",39,36,31,32,30
"DEMÓCRATA CRISTIANO (5)",24,25,26,37,34
"DE LA CONCERTACIÓN - FORJA (7)",46,41,42,40,37
"FEDERAL (8)",30,30,-,47,41
"DEMÓCRATA PROGRESISTA (9)",71,69,67,67,71
"RENOVADOR FEDERAL (10)",34,36,35,39,39
"LADRILLEROS UNIDOS (11)",33,31,31,30,31
"COMUNISTA (12)",12,12,-,13,19
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",16,16,13,10,11
"ACCIÓN POR CORRIENTES (14)",28,25,25,26,25
"UNIDOS POR CORRIENTES (15)",35,35,35,35,35
"LABORISTA AUTÓNOMO (17)",22,22,22,20,20
"ELI - ENCUENTRO LIBERAL (18)",87,87,86,83,80
"CAMBIO POPULAR (19)",18,19,19,28,28
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",10,11,-,11,11
"CONVOCATORIA POPULAR (21)",16,16,-,16,-
"FE (23)",11,12,14,16,-
"NUESTRA CAUSA (24)",14,14,15,15,15
"UNION POPULAR (25)",55,52,52,49,49
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",28,30,31,31,32
"ENCUENTRO CORRELIGIONARIO (27)",49,48,48,45,45
"CAMBIO AUSTERIDAD Y PROGRESO (28)",31,32,29,26,26
"DEL TRABAJO Y DEL PUEBLO (29)",35,36,38,49,48
"CIUDADANOS A GOBERNAR (30)",59,56,55,46,57
"CONSERVADOR POPULAR (31)",28,28,27,26,26
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",30,30,30,29,29
"NUEVO PAIS (33)",17,18,-,20,20
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",30,27,26,25,25
"TERCERA POSICIÓN (35)",10,10,11,12,-
"UNIÓN CORRENTINA (37)",36,33,32,30,31
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",25,24,23,19,19
"UNIÓN PARA EL DESARROLLO (42)",17,17,19,15,15
"NORTE GRANDE (43)",2,2,1,2,2
"ACCIÓN POR LA REPÚBLICA (44)",30,27,27,24,23
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",18,18,-,18,18
"VAMOS CORRIENTES (46)",8,7,7,7,7
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",87,87,84,78,82
"PARTIDO AGRARIO Y SOCIAL (49)",58,57,-,63,59
"SOCIALISTA (50)",22,20,20,16,16
"LIBERAL (51)",65,64,64,58,60
"AUTONOMISTA (52)",54,49,47,49,47
"DE LA VICTORIA (54)",26,25,26,32,29
"PROYECTO CORRIENTES (57)",24,25,-,40,32
"PRO - PROPUESTA REPUBLICANA (64)",17,16,15,15,15
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",14,14,15,17,16
"NUEVO (90)",51,51,49,46,47
"POPULAR CORRENTINO (169)",87,84,81,74,74
"CRECER CON TODOS (170)",21,21,21,21,21
"UNIÓN CELESTE Y BLANCO (173)",19,20,-,28,26
"COMPROMISO CORRENTINO (175)",13,12,-,14,13
"KOLINA (192)",7,7,7,10,10
"INTEGRACIÓN CORRENTINA (36)",-,-,-,52,52
"NUEVA CORRIENTES (41)",-,-,-,8,8
"Votos en Blanco",60,126,160,119,169
"Votos Nulos",56,45,45,46,46
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
