partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",8,7,7,7,7
"JUSTICIALISTA (2)",225,226,322,245,241
"UNIÓN CÍVICA RADICAL (3)",158,142,142,144,128
"MOVIMIENTO SIEMPRE CORRIENTES (4)",19,17,16,14,14
"DEMÓCRATA CRISTIANO (5)",0,0,0,0,0
"DE LA CONCERTACIÓN - FORJA (7)",14,13,13,12,11
"FEDERAL (8)",21,21,-,21,21
"DEMÓCRATA PROGRESISTA (9)",3,3,3,3,3
"RENOVADOR FEDERAL (10)",28,31,30,43,39
"LADRILLEROS UNIDOS (11)",5,5,5,5,5
"COMUNISTA (12)",5,5,-,5,5
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",32,30,30,34,39
"ACCIÓN POR CORRIENTES (14)",24,19,19,13,33
"UNIDOS POR CORRIENTES (15)",8,8,8,7,8
"LABORISTA AUTÓNOMO (17)",8,8,8,8,8
"ELI - ENCUENTRO LIBERAL (18)",294,291,291,294,279
"CAMBIO POPULAR (19)",0,0,0,0,0
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",8,8,-,8,8
"CONVOCATORIA POPULAR (21)",14,15,-,17,18
"FE (23)",4,3,3,5,4
"NUESTRA CAUSA (24)",24,26,26,33,28
"UNION POPULAR (25)",3,3,3,3,3
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",2,2,2,4,2
"ENCUENTRO CORRELIGIONARIO (27)",6,6,6,6,7
"CAMBIO AUSTERIDAD Y PROGRESO (28)",30,30,30,29,29
"DEL TRABAJO Y DEL PUEBLO (29)",2,2,2,3,3
"CIUDADANOS A GOBERNAR (30)",9,9,9,9,6
"CONSERVADOR POPULAR (31)",4,3,3,4,3
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",67,66,66,68,65
"NUEVO PAIS (33)",6,7,-,11,11
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",5,5,5,5,5
"TERCERA POSICIÓN (35)",35,35,35,40,38
"UNIÓN CORRENTINA (37)",3,3,3,2,4
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",1,1,1,2,1
"UNIÓN PARA EL DESARROLLO (42)",2,2,2,2,2
"NORTE GRANDE (43)",4,4,4,4,5
"ACCIÓN POR LA REPÚBLICA (44)",10,9,8,8,7
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",3,3,-,-,-
"VAMOS CORRIENTES (46)",22,20,20,19,19
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",11,11,11,11,11
"PARTIDO AGRARIO Y SOCIAL (49)",9,9,-,12,16
"SOCIALISTA (50)",3,3,3,3,3
"LIBERAL (51)",53,52,53,44,48
"AUTONOMISTA (52)",31,30,30,26,31
"DE LA VICTORIA (54)",44,44,43,51,47
"PROYECTO CORRIENTES (57)",18,19,-,21,19
"PRO - PROPUESTA REPUBLICANA (64)",6,4,4,4,4
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",6,7,7,7,7
"NUEVO (90)",20,17,18,11,8
"POPULAR CORRENTINO (169)",74,73,73,71,72
"CRECER CON TODOS (170)",11,9,9,9,9
"UNIÓN CELESTE Y BLANCO (173)",9,10,-,10,9
"COMPROMISO CORRENTINO (175)",7,7,-,8,7
"KOLINA (192)",33,33,33,36,33
"Votos en Blanco",37,72,82,27,55
"Votos Nulos",9,9,9,9,9
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
