partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",32,29,28,30,26
"JUSTICIALISTA (2)",53,52,100,55,52
"UNIÓN CÍVICA RADICAL (3)",288,257,262,204,199
"MOVIMIENTO SIEMPRE CORRIENTES (4)",17,15,16,15,16
"DEMÓCRATA CRISTIANO (5)",4,5,4,6,4
"DE LA CONCERTACIÓN - FORJA (7)",12,10,10,10,10
"FEDERAL (8)",11,10,-,13,11
"DEMÓCRATA PROGRESISTA (9)",7,7,7,5,8
"RENOVADOR FEDERAL (10)",6,5,7,6,4
"LADRILLEROS UNIDOS (11)",11,10,10,9,8
"COMUNISTA (12)",4,3,-,3,7
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",3,3,3,2,2
"ACCIÓN POR CORRIENTES (14)",19,19,19,17,18
"UNIDOS POR CORRIENTES (15)",7,6,6,7,7
"LABORISTA AUTÓNOMO (17)",3,3,3,3,3
"ELI - ENCUENTRO LIBERAL (18)",74,66,69,66,66
"CAMBIO POPULAR (19)",7,7,6,8,11
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",2,2,-,6,6
"CONVOCATORIA POPULAR (21)",4,4,-,5,-
"FE (23)",2,2,2,2,-
"NUESTRA CAUSA (24)",1,2,2,2,2
"UNION POPULAR (25)",12,10,10,10,10
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",7,6,7,9,9
"ENCUENTRO CORRELIGIONARIO (27)",30,30,29,26,26
"CAMBIO AUSTERIDAD Y PROGRESO (28)",12,11,10,12,7
"DEL TRABAJO Y DEL PUEBLO (29)",9,8,8,12,11
"CIUDADANOS A GOBERNAR (30)",19,19,20,20,19
"CONSERVADOR POPULAR (31)",8,7,6,6,6
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",9,8,8,9,7
"NUEVO PAIS (33)",7,8,-,10,9
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",6,6,6,6,6
"TERCERA POSICIÓN (35)",2,2,2,4,-
"UNIÓN CORRENTINA (37)",7,4,4,4,4
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",14,13,12,12,12
"UNIÓN PARA EL DESARROLLO (42)",6,6,6,6,6
"NORTE GRANDE (43)",3,3,3,3,3
"ACCIÓN POR LA REPÚBLICA (44)",11,9,8,8,7
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",2,1,-,6,5
"VAMOS CORRIENTES (46)",9,9,9,9,10
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",47,39,37,37,40
"PARTIDO AGRARIO Y SOCIAL (49)",6,6,-,6,7
"SOCIALISTA (50)",4,4,4,4,4
"LIBERAL (51)",36,34,34,32,33
"AUTONOMISTA (52)",32,31,37,31,31
"DE LA VICTORIA (54)",4,4,3,5,4
"PROYECTO CORRIENTES (57)",5,5,-,18,12
"PRO - PROPUESTA REPUBLICANA (64)",40,38,39,30,36
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",1,1,1,3,3
"NUEVO (90)",21,22,22,20,21
"POPULAR CORRENTINO (169)",44,41,39,36,38
"CRECER CON TODOS (170)",7,7,7,6,6
"UNIÓN CELESTE Y BLANCO (173)",6,6,-,8,7
"COMPROMISO CORRENTINO (175)",1,1,-,1,1
"KOLINA (192)",2,2,2,2,2
"INTEGRACIÓN CORRENTINA (36)",-,-,-,59,54
"NUEVA CORRIENTES (41)",-,-,-,4,3
"Votos en Blanco",28,98,88,68,97
"Votos Nulos",26,27,28,27,27
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
