partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",34,32,31,27,26
"JUSTICIALISTA (2)",47,48,170,62,54
"UNIÓN CÍVICA RADICAL (3)",270,261,256,212,209
"MOVIMIENTO SIEMPRE CORRIENTES (4)",42,40,40,36,36
"DEMÓCRATA CRISTIANO (5)",21,21,13,26,25
"DE LA CONCERTACIÓN - FORJA (7)",12,8,8,7,8
"FEDERAL (8)",13,13,-,22,20
"DEMÓCRATA PROGRESISTA (9)",18,16,16,13,13
"RENOVADOR FEDERAL (10)",31,34,35,34,34
"LADRILLEROS UNIDOS (11)",40,37,38,34,34
"COMUNISTA (12)",15,14,-,17,20
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",13,10,10,9,9
"ACCIÓN POR CORRIENTES (14)",10,10,10,10,10
"UNIDOS POR CORRIENTES (15)",24,23,24,21,21
"LABORISTA AUTÓNOMO (17)",9,8,8,8,8
"ELI - ENCUENTRO LIBERAL (18)",52,52,50,46,46
"CAMBIO POPULAR (19)",6,6,5,13,12
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",10,9,-,16,16
"CONVOCATORIA POPULAR (21)",19,19,-,21,-
"FE (23)",7,7,7,7,-
"NUESTRA CAUSA (24)",6,6,6,10,9
"UNION POPULAR (25)",35,31,30,29,31
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",13,13,13,18,17
"ENCUENTRO CORRELIGIONARIO (27)",41,40,39,34,35
"CAMBIO AUSTERIDAD Y PROGRESO (28)",11,10,10,9,10
"DEL TRABAJO Y DEL PUEBLO (29)",4,4,4,6,4
"CIUDADANOS A GOBERNAR (30)",32,30,30,30,30
"CONSERVADOR POPULAR (31)",18,18,17,15,15
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",27,27,25,22,22
"NUEVO PAIS (33)",19,18,-,26,26
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",15,15,15,15,15
"TERCERA POSICIÓN (35)",2,2,2,3,-
"UNIÓN CORRENTINA (37)",10,9,9,9,8
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",5,5,5,5,5
"UNIÓN PARA EL DESARROLLO (42)",13,13,13,12,12
"NORTE GRANDE (43)",16,16,16,15,15
"ACCIÓN POR LA REPÚBLICA (44)",11,7,7,6,6
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",7,7,-,8,7
"VAMOS CORRIENTES (46)",25,24,25,20,22
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",148,142,143,135,136
"PARTIDO AGRARIO Y SOCIAL (49)",22,22,-,24,22
"SOCIALISTA (50)",18,17,17,15,15
"LIBERAL (51)",30,28,29,25,25
"AUTONOMISTA (52)",41,38,40,30,33
"DE LA VICTORIA (54)",15,14,15,19,17
"PROYECTO CORRIENTES (57)",16,16,-,26,29
"PRO - PROPUESTA REPUBLICANA (64)",28,27,26,24,24
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",8,7,9,9,8
"NUEVO (90)",59,56,51,48,51
"POPULAR CORRENTINO (169)",44,42,42,41,41
"CRECER CON TODOS (170)",17,16,15,14,15
"UNIÓN CELESTE Y BLANCO (173)",8,8,-,9,9
"COMPROMISO CORRENTINO (175)",9,8,-,11,11
"KOLINA (192)",10,10,9,13,12
"INTEGRACIÓN CORRENTINA (36)",-,-,-,37,37
"NUEVA CORRIENTES (41)",-,-,-,3,3
"Votos en Blanco",30,99,130,98,136
"Votos Nulos",31,24,24,23,23
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
