partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",80,80,80,81,81
"JUSTICIALISTA (2)",65,65,152,62,62
"UNIÓN CÍVICA RADICAL (3)",230,216,218,220,224
"MOVIMIENTO SIEMPRE CORRIENTES (4)",61,60,60,64,64
"DEMÓCRATA CRISTIANO (5)",24,24,24,30,31
"DE LA CONCERTACIÓN - FORJA (7)",48,47,47,46,45
"FEDERAL (8)",2,2,-,2,2
"DEMÓCRATA PROGRESISTA (9)",26,25,24,26,25
"RENOVADOR FEDERAL (10)",11,10,11,10,10
"LADRILLEROS UNIDOS (11)",32,31,31,31,30
"COMUNISTA (12)",13,12,-,11,11
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",23,24,25,24,25
"ACCIÓN POR CORRIENTES (14)",50,48,48,49,48
"UNIDOS POR CORRIENTES (15)",28,28,27,28,28
"LABORISTA AUTÓNOMO (17)",20,20,20,20,20
"ELI - ENCUENTRO LIBERAL (18)",123,122,121,121,121
"CAMBIO POPULAR (19)",8,8,9,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",14,13,-,24,24
"CONVOCATORIA POPULAR (21)",22,20,-,13,13
"FE (23)",8,9,8,-,-
"NUESTRA CAUSA (24)",11,11,11,10,10
"UNION POPULAR (25)",83,76,75,80,76
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",11,11,11,12,12
"ENCUENTRO CORRELIGIONARIO (27)",65,62,61,63,62
"CAMBIO AUSTERIDAD Y PROGRESO (28)",17,17,17,17,17
"DEL TRABAJO Y DEL PUEBLO (29)",6,6,6,7,5
"CIUDADANOS A GOBERNAR (30)",56,52,52,55,53
"CONSERVADOR POPULAR (31)",37,35,34,35,34
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",57,53,52,54,54
"NUEVO PAIS (33)",17,16,-,16,16
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",34,32,32,34,34
"TERCERA POSICIÓN (35)",0,0,0,-,-
"UNIÓN CORRENTINA (37)",22,22,22,22,22
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",28,27,27,29,27
"UNIÓN PARA EL DESARROLLO (42)",24,23,23,25,24
"NORTE GRANDE (43)",18,18,19,16,17
"ACCIÓN POR LA REPÚBLICA (44)",127,121,122,133,126
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",30,29,-,43,41
"VAMOS CORRIENTES (46)",57,53,52,48,49
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",39,38,37,33,33
"PARTIDO AGRARIO Y SOCIAL (49)",25,24,-,24,24
"SOCIALISTA (50)",20,18,18,20,19
"LIBERAL (51)",122,117,120,119,116
"AUTONOMISTA (52)",58,57,57,50,48
"DE LA VICTORIA (54)",19,18,18,17,18
"PROYECTO CORRIENTES (57)",17,16,-,21,21
"PRO - PROPUESTA REPUBLICANA (64)",177,167,168,178,171
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",12,11,12,11,11
"NUEVO (90)",31,29,29,20,20
"POPULAR CORRENTINO (169)",145,143,143,142,148
"CRECER CON TODOS (170)",30,25,25,26,26
"UNIÓN CELESTE Y BLANCO (173)",16,15,-,17,16
"COMPROMISO CORRENTINO (175)",7,7,-,6,6
"KOLINA (192)",10,10,10,10,10
"Votos en Blanco",95,223,288,191,216
"Votos Nulos",88,53,53,53,53
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
