partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",88,76,74,70,72
"JUSTICIALISTA (2)",112,121,317,138,134
"UNIÓN CÍVICA RADICAL (3)",636,607,603,446,458
"MOVIMIENTO SIEMPRE CORRIENTES (4)",57,54,51,52,52
"DEMÓCRATA CRISTIANO (5)",64,59,62,75,74
"DE LA CONCERTACIÓN - FORJA (7)",61,59,58,52,52
"FEDERAL (8)",11,11,-,17,13
"DEMÓCRATA PROGRESISTA (9)",36,35,32,29,30
"RENOVADOR FEDERAL (10)",23,24,26,37,33
"LADRILLEROS UNIDOS (11)",40,37,36,37,35
"COMUNISTA (12)",23,24,-,26,29
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",17,18,18,21,21
"ACCIÓN POR CORRIENTES (14)",26,25,24,22,22
"UNIDOS POR CORRIENTES (15)",40,40,40,35,36
"LABORISTA AUTÓNOMO (17)",40,36,36,34,35
"ELI - ENCUENTRO LIBERAL (18)",98,92,92,90,89
"CAMBIO POPULAR (19)",12,14,13,21,19
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",14,14,-,21,20
"CONVOCATORIA POPULAR (21)",7,8,-,8,-
"FE (23)",25,26,26,30,-
"NUESTRA CAUSA (24)",16,16,18,19,16
"UNION POPULAR (25)",55,48,47,46,47
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",19,19,22,28,27
"ENCUENTRO CORRELIGIONARIO (27)",32,31,30,29,29
"CAMBIO AUSTERIDAD Y PROGRESO (28)",15,14,14,13,13
"DEL TRABAJO Y DEL PUEBLO (29)",11,12,13,21,17
"CIUDADANOS A GOBERNAR (30)",51,50,50,47,47
"CONSERVADOR POPULAR (31)",25,25,25,22,22
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",42,40,38,34,34
"NUEVO PAIS (33)",26,25,-,36,34
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",12,11,10,10,10
"TERCERA POSICIÓN (35)",3,3,6,6,-
"UNIÓN CORRENTINA (37)",19,17,17,16,16
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",11,10,10,10,9
"UNIÓN PARA EL DESARROLLO (42)",14,13,13,12,12
"NORTE GRANDE (43)",20,19,18,18,18
"ACCIÓN POR LA REPÚBLICA (44)",43,33,32,30,29
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",17,19,-,20,20
"VAMOS CORRIENTES (46)",52,51,50,45,44
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",137,128,118,117,119
"PARTIDO AGRARIO Y SOCIAL (49)",30,31,-,41,37
"SOCIALISTA (50)",15,13,13,13,13
"LIBERAL (51)",41,37,40,35,35
"AUTONOMISTA (52)",61,61,62,59,56
"DE LA VICTORIA (54)",9,10,8,19,16
"PROYECTO CORRIENTES (57)",27,28,-,42,37
"PRO - PROPUESTA REPUBLICANA (64)",31,29,29,27,27
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",9,10,9,11,11
"NUEVO (90)",72,69,70,60,66
"POPULAR CORRENTINO (169)",91,90,90,83,84
"CRECER CON TODOS (170)",12,11,11,10,10
"UNIÓN CELESTE Y BLANCO (173)",28,29,-,42,38
"COMPROMISO CORRENTINO (175)",9,9,-,13,11
"KOLINA (192)",18,18,18,19,18
"INTEGRACIÓN CORRENTINA (36)",-,-,-,82,83
"NUEVA CORRIENTES (41)",-,-,-,7,7
"Votos en Blanco",83,188,207,194,263
"Votos Nulos",55,44,45,44,42
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
