partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",21,21,21,21,20
"JUSTICIALISTA (2)",34,33,59,-,-
"UNIÓN CÍVICA RADICAL (3)",298,291,296,296,292
"MOVIMIENTO SIEMPRE CORRIENTES (4)",9,9,8,8,8
"DEMÓCRATA CRISTIANO (5)",0,0,0,-,-
"DE LA CONCERTACIÓN - FORJA (7)",12,12,12,13,13
"FEDERAL (8)",3,3,-,-,-
"DEMÓCRATA PROGRESISTA (9)",21,21,21,21,21
"RENOVADOR FEDERAL (10)",5,6,5,-,-
"LADRILLEROS UNIDOS (11)",19,19,18,19,19
"COMUNISTA (12)",1,1,-,-,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",1,1,1,-,-
"ACCIÓN POR CORRIENTES (14)",19,19,19,24,20
"UNIDOS POR CORRIENTES (15)",40,40,40,41,40
"LABORISTA AUTÓNOMO (17)",11,11,11,11,11
"ELI - ENCUENTRO LIBERAL (18)",30,29,29,30,29
"CAMBIO POPULAR (19)",1,1,1,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",2,2,-,-,-
"CONVOCATORIA POPULAR (21)",0,0,-,-,-
"FE (23)",0,0,0,-,-
"NUESTRA CAUSA (24)",3,3,3,-,-
"UNION POPULAR (25)",121,121,121,134,130
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,1,-,-
"ENCUENTRO CORRELIGIONARIO (27)",9,9,9,9,9
"CAMBIO AUSTERIDAD Y PROGRESO (28)",45,45,45,45,44
"DEL TRABAJO Y DEL PUEBLO (29)",1,1,1,-,-
"CIUDADANOS A GOBERNAR (30)",7,7,7,7,7
"CONSERVADOR POPULAR (31)",10,10,10,10,10
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",58,58,57,109,109
"NUEVO PAIS (33)",2,1,-,-,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",6,6,6,6,6
"TERCERA POSICIÓN (35)",1,1,1,-,-
"UNIÓN CORRENTINA (37)",4,4,4,4,4
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",10,8,8,10,10
"UNIÓN PARA EL DESARROLLO (42)",69,69,69,72,73
"NORTE GRANDE (43)",19,19,19,-,-
"ACCIÓN POR LA REPÚBLICA (44)",7,6,6,7,7
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",2,2,-,-,-
"VAMOS CORRIENTES (46)",10,10,10,12,12
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",2,2,2,9,9
"PARTIDO AGRARIO Y SOCIAL (49)",26,24,-,20,23
"SOCIALISTA (50)",15,15,15,17,16
"LIBERAL (51)",86,85,84,50,50
"AUTONOMISTA (52)",39,39,39,-,-
"DE LA VICTORIA (54)",2,1,1,-,-
"PROYECTO CORRIENTES (57)",1,1,-,0,0
"PRO - PROPUESTA REPUBLICANA (64)",16,15,15,17,18
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",1,1,1,-,-
"NUEVO (90)",891,887,891,948,942
"POPULAR CORRENTINO (169)",381,376,376,404,394
"CRECER CON TODOS (170)",16,16,16,16,17
"UNIÓN CELESTE Y BLANCO (173)",3,2,-,-,-
"COMPROMISO CORRENTINO (175)",0,0,-,-,-
"KOLINA (192)",4,4,4,-,-
"Votos en Blanco",52,78,83,56,82
"Votos Nulos",3,3,3,3,3
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
