partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",41,39,39,38,38
"JUSTICIALISTA (2)",112,111,194,115,114
"UNIÓN CÍVICA RADICAL (3)",316,301,304,222,219
"MOVIMIENTO SIEMPRE CORRIENTES (4)",12,12,12,12,11
"DEMÓCRATA CRISTIANO (5)",7,7,7,9,9
"DE LA CONCERTACIÓN - FORJA (7)",9,9,9,10,10
"FEDERAL (8)",5,5,-,4,4
"DEMÓCRATA PROGRESISTA (9)",15,14,14,14,13
"RENOVADOR FEDERAL (10)",28,30,30,43,42
"LADRILLEROS UNIDOS (11)",30,30,30,27,27
"COMUNISTA (12)",5,5,-,5,5
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",6,6,6,8,8
"ACCIÓN POR CORRIENTES (14)",13,12,12,13,13
"UNIDOS POR CORRIENTES (15)",14,14,14,13,13
"LABORISTA AUTÓNOMO (17)",23,21,22,22,22
"ELI - ENCUENTRO LIBERAL (18)",194,186,186,168,167
"CAMBIO POPULAR (19)",14,14,14,16,17
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",11,11,-,11,11
"CONVOCATORIA POPULAR (21)",10,10,-,12,12
"FE (23)",2,2,2,4,4
"NUESTRA CAUSA (24)",4,5,5,6,6
"UNION POPULAR (25)",22,22,22,22,22
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",31,31,31,-,-
"ENCUENTRO CORRELIGIONARIO (27)",34,32,32,30,30
"CAMBIO AUSTERIDAD Y PROGRESO (28)",26,26,26,26,26
"DEL TRABAJO Y DEL PUEBLO (29)",5,5,5,9,9
"CIUDADANOS A GOBERNAR (30)",25,24,24,21,21
"CONSERVADOR POPULAR (31)",20,18,18,17,17
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",21,19,17,20,20
"NUEVO PAIS (33)",31,34,-,72,71
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",13,12,12,14,13
"TERCERA POSICIÓN (35)",13,13,13,15,14
"UNIÓN CORRENTINA (37)",13,13,13,13,13
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",15,15,15,15,15
"UNIÓN PARA EL DESARROLLO (42)",20,19,19,20,20
"NORTE GRANDE (43)",14,14,14,14,14
"ACCIÓN POR LA REPÚBLICA (44)",31,31,31,27,26
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",10,11,-,-,-
"VAMOS CORRIENTES (46)",36,34,34,32,32
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",17,15,15,14,14
"PARTIDO AGRARIO Y SOCIAL (49)",9,9,-,-,-
"SOCIALISTA (50)",30,30,29,29,29
"LIBERAL (51)",518,499,497,521,494
"AUTONOMISTA (52)",25,25,25,18,18
"DE LA VICTORIA (54)",10,10,11,11,10
"PROYECTO CORRIENTES (57)",35,34,-,131,130
"PRO - PROPUESTA REPUBLICANA (64)",36,35,35,35,35
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",12,12,12,15,16
"NUEVO (90)",24,24,24,24,25
"POPULAR CORRENTINO (169)",56,54,55,26,25
"CRECER CON TODOS (170)",30,29,29,29,29
"UNIÓN CELESTE Y BLANCO (173)",19,19,-,28,27
"COMPROMISO CORRENTINO (175)",9,9,-,9,8
"KOLINA (192)",22,22,22,23,23
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,16,15
"Votos en Blanco",107,217,280,192,234
"Votos Nulos",77,27,27,27,27
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
