partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",9,9,10,10,10
"JUSTICIALISTA (2)",160,163,218,193,184
"UNIÓN CÍVICA RADICAL (3)",375,367,367,365,356
"MOVIMIENTO SIEMPRE CORRIENTES (4)",3,3,3,3,3
"DEMÓCRATA CRISTIANO (5)",16,16,16,25,25
"DE LA CONCERTACIÓN - FORJA (7)",15,15,15,15,15
"FEDERAL (8)",4,4,-,5,3
"DEMÓCRATA PROGRESISTA (9)",1,1,1,1,1
"RENOVADOR FEDERAL (10)",23,26,26,30,30
"LADRILLEROS UNIDOS (11)",20,19,19,19,19
"COMUNISTA (12)",3,3,-,3,1
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",3,3,3,3,3
"ACCIÓN POR CORRIENTES (14)",52,50,50,67,78
"UNIDOS POR CORRIENTES (15)",10,10,10,10,10
"LABORISTA AUTÓNOMO (17)",7,7,7,7,6
"ELI - ENCUENTRO LIBERAL (18)",395,389,389,404,351
"CAMBIO POPULAR (19)",7,7,7,7,6
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0
"CONVOCATORIA POPULAR (21)",7,7,-,7,7
"FE (23)",2,2,2,0,0
"NUESTRA CAUSA (24)",4,3,3,4,3
"UNION POPULAR (25)",19,16,16,-,-
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,0,0
"ENCUENTRO CORRELIGIONARIO (27)",16,15,15,16,14
"CAMBIO AUSTERIDAD Y PROGRESO (28)",50,43,43,42,90
"DEL TRABAJO Y DEL PUEBLO (29)",3,3,3,3,4
"CIUDADANOS A GOBERNAR (30)",4,4,4,5,5
"CONSERVADOR POPULAR (31)",3,3,3,3,4
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",16,16,16,16,15
"NUEVO PAIS (33)",1,1,-,25,22
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",12,11,11,14,18
"TERCERA POSICIÓN (35)",8,10,10,10,11
"UNIÓN CORRENTINA (37)",5,5,5,5,5
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",16,16,16,16,16
"UNIÓN PARA EL DESARROLLO (42)",13,13,13,13,13
"NORTE GRANDE (43)",0,0,0,-,-
"ACCIÓN POR LA REPÚBLICA (44)",18,18,18,18,15
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",1,1,-,0,0
"VAMOS CORRIENTES (46)",5,5,5,4,5
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",2,2,1,1,1
"PARTIDO AGRARIO Y SOCIAL (49)",27,27,-,-,-
"SOCIALISTA (50)",4,4,4,4,3
"LIBERAL (51)",43,41,41,38,48
"AUTONOMISTA (52)",21,18,19,16,20
"DE LA VICTORIA (54)",11,11,11,10,9
"PROYECTO CORRIENTES (57)",11,10,-,10,10
"PRO - PROPUESTA REPUBLICANA (64)",0,0,0,0,0
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",9,9,9,9,8
"NUEVO (90)",13,14,14,-,-
"POPULAR CORRENTINO (169)",36,33,33,40,45
"CRECER CON TODOS (170)",4,4,4,4,4
"UNIÓN CELESTE Y BLANCO (173)",1,1,-,1,1
"COMPROMISO CORRENTINO (175)",2,2,-,3,4
"KOLINA (192)",6,7,7,7,7
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,0,0
"Votos en Blanco",36,65,65,21,30
"Votos Nulos",0,0,0,0,1
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
