partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",42,40,40
"JUSTICIALISTA (2)",194,192,226
"UNIÓN CÍVICA RADICAL (3)",278,268,269
"MOVIMIENTO SIEMPRE CORRIENTES (4)",11,11,10
"DEMÓCRATA CRISTIANO (5)",38,38,38
"DE LA CONCERTACIÓN - FORJA (7)",0,0,0
"FEDERAL (8)",6,6,-
"DEMÓCRATA PROGRESISTA (9)",9,9,9
"RENOVADOR FEDERAL (10)",2,2,2
"LADRILLEROS UNIDOS (11)",7,6,6
"COMUNISTA (12)",7,7,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",12,12,12
"ACCIÓN POR CORRIENTES (14)",15,15,15
"UNIDOS POR CORRIENTES (15)",7,7,7
"LABORISTA AUTÓNOMO (17)",9,9,9
"ELI - ENCUENTRO LIBERAL (18)",28,27,27
"CAMBIO POPULAR (19)",4,4,4
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",4,4,-
"CONVOCATORIA POPULAR (21)",7,7,-
"FE (23)",1,1,1
"NUESTRA CAUSA (24)",0,0,0
"UNION POPULAR (25)",0,0,0
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",2,2,2
"ENCUENTRO CORRELIGIONARIO (27)",0,0,0
"CAMBIO AUSTERIDAD Y PROGRESO (28)",38,38,39
"DEL TRABAJO Y DEL PUEBLO (29)",4,4,4
"CIUDADANOS A GOBERNAR (30)",5,4,4
"CONSERVADOR POPULAR (31)",0,0,0
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",16,16,16
"NUEVO PAIS (33)",2,2,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",4,4,4
"TERCERA POSICIÓN (35)",2,2,2
"UNIÓN CORRENTINA (37)",3,3,3
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",2,2,2
"UNIÓN PARA EL DESARROLLO (42)",1,1,1
"NORTE GRANDE (43)",0,0,0
"ACCIÓN POR LA REPÚBLICA (44)",6,6,6
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",3,3,-
"VAMOS CORRIENTES (46)",25,23,23
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",4,4,4
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-
"SOCIALISTA (50)",2,2,2
"LIBERAL (51)",70,72,73
"AUTONOMISTA (52)",15,15,15
"DE LA VICTORIA (54)",10,10,10
"PROYECTO CORRIENTES (57)",2,2,-
"PRO - PROPUESTA REPUBLICANA (64)",4,4,4
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",1,1,1
"NUEVO (90)",17,17,17
"POPULAR CORRENTINO (169)",60,59,59
"CRECER CON TODOS (170)",27,27,28
"UNIÓN CELESTE Y BLANCO (173)",6,6,-
"COMPROMISO CORRENTINO (175)",1,1,-
"KOLINA (192)",3,3,3
"Votos en Blanco",32,72,73
"Votos Nulos",39,17,17
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
