partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",17,16,16,16,16
"JUSTICIALISTA (2)",358,368,526,405,383
"UNIÓN CÍVICA RADICAL (3)",280,259,257,258,236
"MOVIMIENTO SIEMPRE CORRIENTES (4)",15,14,14,14,14
"DEMÓCRATA CRISTIANO (5)",25,25,25,27,26
"DE LA CONCERTACIÓN - FORJA (7)",11,10,9,8,8
"FEDERAL (8)",20,21,-,19,19
"DEMÓCRATA PROGRESISTA (9)",8,7,7,7,7
"RENOVADOR FEDERAL (10)",52,55,61,77,72
"LADRILLEROS UNIDOS (11)",10,10,10,10,10
"COMUNISTA (12)",13,13,-,15,14
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",25,29,31,29,40
"ACCIÓN POR CORRIENTES (14)",41,36,35,29,63
"UNIDOS POR CORRIENTES (15)",18,19,19,18,19
"LABORISTA AUTÓNOMO (17)",18,17,17,14,14
"ELI - ENCUENTRO LIBERAL (18)",527,507,505,512,474
"CAMBIO POPULAR (19)",0,0,0,0,0
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",16,16,-,18,19
"CONVOCATORIA POPULAR (21)",20,22,-,23,26
"FE (23)",8,8,8,10,9
"NUESTRA CAUSA (24)",21,22,22,27,23
"UNION POPULAR (25)",7,7,7,8,7
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",8,8,8,10,9
"ENCUENTRO CORRELIGIONARIO (27)",4,4,4,3,3
"CAMBIO AUSTERIDAD Y PROGRESO (28)",67,65,65,63,62
"DEL TRABAJO Y DEL PUEBLO (29)",14,16,16,17,15
"CIUDADANOS A GOBERNAR (30)",7,7,7,7,7
"CONSERVADOR POPULAR (31)",2,2,2,3,2
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",57,55,57,51,60
"NUEVO PAIS (33)",9,9,-,17,14
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",14,13,13,13,13
"TERCERA POSICIÓN (35)",69,74,74,78,80
"UNIÓN CORRENTINA (37)",5,5,5,5,5
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",6,6,6,6,7
"UNIÓN PARA EL DESARROLLO (42)",4,4,4,4,4
"NORTE GRANDE (43)",5,4,4,3,4
"ACCIÓN POR LA REPÚBLICA (44)",7,6,6,6,7
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",2,2,-,-,-
"VAMOS CORRIENTES (46)",25,25,25,19,19
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",9,8,8,7,7
"PARTIDO AGRARIO Y SOCIAL (49)",11,11,-,15,15
"SOCIALISTA (50)",6,6,6,6,6
"LIBERAL (51)",59,52,52,51,55
"AUTONOMISTA (52)",35,33,33,29,30
"DE LA VICTORIA (54)",34,35,36,41,42
"PROYECTO CORRIENTES (57)",46,44,-,51,47
"PRO - PROPUESTA REPUBLICANA (64)",7,7,7,6,6
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",16,16,17,18,16
"NUEVO (90)",18,17,17,6,6
"POPULAR CORRENTINO (169)",105,103,104,103,107
"CRECER CON TODOS (170)",3,1,1,1,2
"UNIÓN CELESTE Y BLANCO (173)",22,22,-,22,20
"COMPROMISO CORRENTINO (175)",9,9,-,9,9
"KOLINA (192)",23,23,23,26,22
"Votos en Blanco",128,176,179,109,149
"Votos Nulos",15,12,13,12,12
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
