partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",7,8,7,7,7
"JUSTICIALISTA (2)",20,20,152,25,22
"UNIÓN CÍVICA RADICAL (3)",195,187,187,169,175
"MOVIMIENTO SIEMPRE CORRIENTES (4)",12,12,12,12,12
"DEMÓCRATA CRISTIANO (5)",34,35,35,38,38
"DE LA CONCERTACIÓN - FORJA (7)",11,11,11,11,11
"FEDERAL (8)",54,55,-,62,55
"DEMÓCRATA PROGRESISTA (9)",3,3,3,3,3
"RENOVADOR FEDERAL (10)",27,28,30,36,36
"LADRILLEROS UNIDOS (11)",3,3,3,3,3
"COMUNISTA (12)",4,4,-,5,5
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",22,22,22,23,23
"ACCIÓN POR CORRIENTES (14)",11,10,10,10,10
"UNIDOS POR CORRIENTES (15)",3,2,2,2,2
"LABORISTA AUTÓNOMO (17)",10,9,9,9,9
"ELI - ENCUENTRO LIBERAL (18)",17,17,17,15,15
"CAMBIO POPULAR (19)",20,20,20,22,21
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",22,22,-,23,22
"CONVOCATORIA POPULAR (21)",17,17,-,19,19
"FE (23)",52,52,52,53,53
"NUESTRA CAUSA (24)",12,12,12,13,12
"UNION POPULAR (25)",9,7,6,4,6
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",2,2,2,0,0
"ENCUENTRO CORRELIGIONARIO (27)",4,4,4,4,4
"CAMBIO AUSTERIDAD Y PROGRESO (28)",2,1,1,0,0
"DEL TRABAJO Y DEL PUEBLO (29)",8,8,8,9,9
"CIUDADANOS A GOBERNAR (30)",10,10,10,10,10
"CONSERVADOR POPULAR (31)",6,6,6,6,6
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",1,1,1,1,1
"NUEVO PAIS (33)",7,7,-,18,18
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",2,2,2,1,1
"TERCERA POSICIÓN (35)",4,4,4,5,4
"UNIÓN CORRENTINA (37)",12,11,11,10,12
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",1,1,1,1,1
"UNIÓN PARA EL DESARROLLO (42)",5,4,4,3,3
"NORTE GRANDE (43)",2,2,2,2,2
"ACCIÓN POR LA REPÚBLICA (44)",6,3,3,3,3
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",6,7,-,-,-
"VAMOS CORRIENTES (46)",67,64,64,60,66
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",5,4,4,4,4
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,-,-
"SOCIALISTA (50)",0,0,0,0,0
"LIBERAL (51)",10,10,10,10,9
"AUTONOMISTA (52)",55,52,52,-,-
"DE LA VICTORIA (54)",6,6,7,8,8
"PROYECTO CORRIENTES (57)",23,24,-,25,22
"PRO - PROPUESTA REPUBLICANA (64)",13,12,11,11,11
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",11,12,12,13,12
"NUEVO (90)",22,22,28,3,3
"POPULAR CORRENTINO (169)",17,13,13,10,10
"CRECER CON TODOS (170)",11,11,11,10,12
"UNIÓN CELESTE Y BLANCO (173)",22,22,-,26,25
"COMPROMISO CORRENTINO (175)",9,10,-,10,10
"KOLINA (192)",0,0,0,0,0
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,0,0
"Votos en Blanco",24,51,82,112,114
"Votos Nulos",12,8,7,11,11
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
