partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",4,4,4,4,5
"JUSTICIALISTA (2)",148,149,149,-,-
"UNIÓN CÍVICA RADICAL (3)",79,78,77,78,74
"MOVIMIENTO SIEMPRE CORRIENTES (4)",3,3,3,3,3
"DEMÓCRATA CRISTIANO (5)",1,1,1,-,-
"DE LA CONCERTACIÓN - FORJA (7)",5,5,5,6,6
"FEDERAL (8)",0,0,-,-,-
"DEMÓCRATA PROGRESISTA (9)",3,3,3,3,3
"RENOVADOR FEDERAL (10)",2,2,2,-,-
"LADRILLEROS UNIDOS (11)",1,1,1,1,1
"COMUNISTA (12)",0,0,-,-,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0,-,-
"ACCIÓN POR CORRIENTES (14)",11,11,11,11,12
"UNIDOS POR CORRIENTES (15)",13,13,13,14,14
"LABORISTA AUTÓNOMO (17)",3,3,3,-,-
"ELI - ENCUENTRO LIBERAL (18)",332,332,332,353,346
"CAMBIO POPULAR (19)",0,0,0,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,-,-
"CONVOCATORIA POPULAR (21)",0,0,-,-,-
"FE (23)",0,0,0,-,-
"NUESTRA CAUSA (24)",0,0,0,-,-
"UNION POPULAR (25)",9,9,9,8,8
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,-,-
"ENCUENTRO CORRELIGIONARIO (27)",1,1,1,1,1
"CAMBIO AUSTERIDAD Y PROGRESO (28)",1,1,1,1,1
"DEL TRABAJO Y DEL PUEBLO (29)",1,0,0,-,-
"CIUDADANOS A GOBERNAR (30)",5,5,5,5,5
"CONSERVADOR POPULAR (31)",8,8,8,10,10
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",45,46,48,48,64
"NUEVO PAIS (33)",1,0,-,-,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",7,7,7,7,7
"TERCERA POSICIÓN (35)",1,1,1,-,-
"UNIÓN CORRENTINA (37)",9,9,10,9,9
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",0,0,0,0,0
"UNIÓN PARA EL DESARROLLO (42)",1,1,1,1,1
"NORTE GRANDE (43)",13,13,13,13,9
"ACCIÓN POR LA REPÚBLICA (44)",1,1,1,2,2
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",0,0,0,0,0
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",3,3,3,3,3
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,-,-
"SOCIALISTA (50)",3,3,3,4,4
"LIBERAL (51)",31,31,31,32,30
"AUTONOMISTA (52)",84,83,85,81,84
"DE LA VICTORIA (54)",0,0,0,-,-
"PROYECTO CORRIENTES (57)",1,1,-,-,-
"PRO - PROPUESTA REPUBLICANA (64)",8,8,8,5,5
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",1,1,1,-,-
"NUEVO (90)",268,270,270,408,407
"POPULAR CORRENTINO (169)",37,37,36,38,36
"CRECER CON TODOS (170)",2,2,2,2,2
"UNIÓN CELESTE Y BLANCO (173)",0,0,-,-,-
"COMPROMISO CORRENTINO (175)",0,0,-,-,-
"KOLINA (192)",0,0,0,-,-
"Votos en Blanco",14,15,13,10,9
"Votos Nulos",2,1,1,1,1
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
