partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",20,20,20,19,19
"JUSTICIALISTA (2)",128,135,285,162,143
"UNIÓN CÍVICA RADICAL (3)",208,197,198,163,231
"MOVIMIENTO SIEMPRE CORRIENTES (4)",25,25,25,24,25
"DEMÓCRATA CRISTIANO (5)",18,18,18,20,20
"DE LA CONCERTACIÓN - FORJA (7)",17,15,15,16,14
"FEDERAL (8)",20,20,-,25,26
"DEMÓCRATA PROGRESISTA (9)",4,4,3,2,1
"RENOVADOR FEDERAL (10)",46,42,42,54,50
"LADRILLEROS UNIDOS (11)",37,37,37,38,40
"COMUNISTA (12)",4,4,-,4,4
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0,-,-
"ACCIÓN POR CORRIENTES (14)",14,15,15,14,13
"UNIDOS POR CORRIENTES (15)",65,65,65,62,69
"LABORISTA AUTÓNOMO (17)",15,14,14,14,14
"ELI - ENCUENTRO LIBERAL (18)",176,169,168,192,150
"CAMBIO POPULAR (19)",26,25,25,25,22
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",12,13,-,17,16
"CONVOCATORIA POPULAR (21)",14,14,-,17,14
"FE (23)",6,5,4,6,6
"NUESTRA CAUSA (24)",6,6,5,6,6
"UNION POPULAR (25)",79,81,79,80,85
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",10,10,12,10,9
"ENCUENTRO CORRELIGIONARIO (27)",45,43,43,41,40
"CAMBIO AUSTERIDAD Y PROGRESO (28)",32,32,32,28,32
"DEL TRABAJO Y DEL PUEBLO (29)",12,13,13,14,14
"CIUDADANOS A GOBERNAR (30)",26,24,26,27,25
"CONSERVADOR POPULAR (31)",33,32,31,30,36
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",15,16,16,17,18
"NUEVO PAIS (33)",10,10,-,84,79
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",18,18,18,19,18
"TERCERA POSICIÓN (35)",8,7,7,8,7
"UNIÓN CORRENTINA (37)",6,6,6,6,5
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",23,21,20,21,23
"UNIÓN PARA EL DESARROLLO (42)",19,18,18,18,20
"NORTE GRANDE (43)",16,14,14,16,14
"ACCIÓN POR LA REPÚBLICA (44)",5,5,5,5,5
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",5,5,-,5,5
"VAMOS CORRIENTES (46)",36,35,35,37,36
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",8,7,7,8,8
"PARTIDO AGRARIO Y SOCIAL (49)",27,29,-,-,-
"SOCIALISTA (50)",3,3,2,3,2
"LIBERAL (51)",68,66,64,62,61
"AUTONOMISTA (52)",26,22,23,21,19
"DE LA VICTORIA (54)",5,5,5,8,6
"PROYECTO CORRIENTES (57)",12,12,-,23,16
"PRO - PROPUESTA REPUBLICANA (64)",42,41,41,42,45
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",15,15,15,15,15
"NUEVO (90)",103,100,99,103,101
"POPULAR CORRENTINO (169)",313,299,299,314,310
"CRECER CON TODOS (170)",17,16,16,15,15
"UNIÓN CELESTE Y BLANCO (173)",31,33,-,-,-
"COMPROMISO CORRENTINO (175)",12,12,-,8,7
"KOLINA (192)",25,25,25,28,24
"Votos en Blanco",55,108,116,35,48
"Votos Nulos",15,9,9,10,10
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
