partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",9,9,9,9,8
"JUSTICIALISTA (2)",40,38,69,46,48
"UNIÓN CÍVICA RADICAL (3)",68,65,65,68,61
"MOVIMIENTO SIEMPRE CORRIENTES (4)",7,7,7,7,7
"DEMÓCRATA CRISTIANO (5)",1,1,1,1,1
"DE LA CONCERTACIÓN - FORJA (7)",20,19,19,20,17
"FEDERAL (8)",1,1,-,1,1
"DEMÓCRATA PROGRESISTA (9)",56,53,53,55,58
"RENOVADOR FEDERAL (10)",2,2,2,2,2
"LADRILLEROS UNIDOS (11)",2,2,2,2,2
"COMUNISTA (12)",0,0,-,0,0
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0,0,0
"ACCIÓN POR CORRIENTES (14)",5,5,5,5,5
"UNIDOS POR CORRIENTES (15)",6,6,6,7,6
"LABORISTA AUTÓNOMO (17)",5,5,5,5,5
"ELI - ENCUENTRO LIBERAL (18)",8,8,8,8,11
"CAMBIO POPULAR (19)",2,1,1,1,1
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",2,2,-,2,2
"CONVOCATORIA POPULAR (21)",21,22,-,22,23
"FE (23)",3,3,3,0,0
"NUESTRA CAUSA (24)",2,2,2,2,2
"UNION POPULAR (25)",141,138,140,145,142
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",1,1,1,0,0
"ENCUENTRO CORRELIGIONARIO (27)",18,18,18,18,17
"CAMBIO AUSTERIDAD Y PROGRESO (28)",2,2,2,2,2
"DEL TRABAJO Y DEL PUEBLO (29)",1,1,1,-,-
"CIUDADANOS A GOBERNAR (30)",8,8,8,9,9
"CONSERVADOR POPULAR (31)",3,3,3,3,3
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",1,1,1,1,2
"NUEVO PAIS (33)",0,0,-,0,0
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",8,8,8,8,8
"TERCERA POSICIÓN (35)",0,0,0,0,0
"UNIÓN CORRENTINA (37)",2,2,2,2,2
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",4,4,4,4,4
"UNIÓN PARA EL DESARROLLO (42)",3,3,3,3,3
"NORTE GRANDE (43)",3,3,3,3,3
"ACCIÓN POR LA REPÚBLICA (44)",83,83,81,83,86
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,0
"VAMOS CORRIENTES (46)",3,3,3,3,2
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",3,3,3,3,4
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,-,-
"SOCIALISTA (50)",2,2,2,2,2
"LIBERAL (51)",50,49,49,19,19
"AUTONOMISTA (52)",11,10,10,12,12
"DE LA VICTORIA (54)",0,0,0,-,-
"PROYECTO CORRIENTES (57)",0,0,-,0,0
"PRO - PROPUESTA REPUBLICANA (64)",40,40,39,42,38
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",2,2,2,2,1
"NUEVO (90)",78,78,78,85,83
"POPULAR CORRENTINO (169)",26,24,24,26,43
"CRECER CON TODOS (170)",14,14,14,14,14
"UNIÓN CELESTE Y BLANCO (173)",4,4,-,0,0
"COMPROMISO CORRENTINO (175)",4,4,-,4,4
"KOLINA (192)",108,110,110,137,135
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,0,0
"Votos en Blanco",48,62,65,39,33
"Votos Nulos",3,2,2,2,3
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
