partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",25,23,23,21,21
"JUSTICIALISTA (2)",83,84,121,116,117
"UNIÓN CÍVICA RADICAL (3)",99,99,98,93,92
"MOVIMIENTO SIEMPRE CORRIENTES (4)",16,16,16,15,15
"DEMÓCRATA CRISTIANO (5)",5,5,5,11,11
"DE LA CONCERTACIÓN - FORJA (7)",11,11,11,12,12
"FEDERAL (8)",0,0,-,0,0
"DEMÓCRATA PROGRESISTA (9)",8,7,7,6,6
"RENOVADOR FEDERAL (10)",31,34,35,39,39
"LADRILLEROS UNIDOS (11)",12,11,11,11,11
"COMUNISTA (12)",3,3,-,4,3
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",1,1,1,-,-
"ACCIÓN POR CORRIENTES (14)",4,4,4,4,4
"UNIDOS POR CORRIENTES (15)",12,12,11,10,10
"LABORISTA AUTÓNOMO (17)",3,3,3,3,3
"ELI - ENCUENTRO LIBERAL (18)",23,17,17,14,15
"CAMBIO POPULAR (19)",28,29,30,36,36
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",5,5,-,8,8
"CONVOCATORIA POPULAR (21)",0,0,-,0,0
"FE (23)",2,2,2,2,2
"NUESTRA CAUSA (24)",7,6,6,7,6
"UNION POPULAR (25)",19,17,17,16,16
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",5,5,5,5,5
"ENCUENTRO CORRELIGIONARIO (27)",11,10,10,9,9
"CAMBIO AUSTERIDAD Y PROGRESO (28)",1,1,1,1,1
"DEL TRABAJO Y DEL PUEBLO (29)",2,2,2,4,3
"CIUDADANOS A GOBERNAR (30)",6,5,5,5,5
"CONSERVADOR POPULAR (31)",3,3,3,3,3
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",0,0,0,0,0
"NUEVO PAIS (33)",9,10,-,12,11
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",8,8,8,8,8
"TERCERA POSICIÓN (35)",4,4,4,5,5
"UNIÓN CORRENTINA (37)",0,0,0,0,0
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",0,0,0,0,0
"UNIÓN PARA EL DESARROLLO (42)",10,10,9,8,8
"NORTE GRANDE (43)",7,7,7,6,6
"ACCIÓN POR LA REPÚBLICA (44)",7,7,7,7,7
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,0
"VAMOS CORRIENTES (46)",52,49,49,51,50
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",0,0,0,0,0
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,0,0
"SOCIALISTA (50)",1,1,1,1,1
"LIBERAL (51)",16,16,16,17,18
"AUTONOMISTA (52)",33,33,33,35,32
"DE LA VICTORIA (54)",19,20,20,24,24
"PROYECTO CORRIENTES (57)",22,25,-,24,25
"PRO - PROPUESTA REPUBLICANA (64)",13,13,13,13,13
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",8,8,8,9,9
"NUEVO (90)",17,9,9,2,2
"POPULAR CORRENTINO (169)",12,12,11,11,10
"CRECER CON TODOS (170)",10,10,10,7,7
"UNIÓN CELESTE Y BLANCO (173)",4,4,-,4,4
"COMPROMISO CORRENTINO (175)",1,1,-,1,1
"KOLINA (192)",2,2,2,2,2
"Votos en Blanco",33,50,63,12,18
"Votos Nulos",1,0,0,0,0
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
