partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",34,34,34,60,59
"JUSTICIALISTA (2)",62,62,92,-,-
"UNIÓN CÍVICA RADICAL (3)",80,80,80,78,81
"MOVIMIENTO SIEMPRE CORRIENTES (4)",20,20,20,19,20
"DEMÓCRATA CRISTIANO (5)",1,1,1,-,-
"DE LA CONCERTACIÓN - FORJA (7)",21,21,20,20,20
"FEDERAL (8)",0,0,-,-,-
"DEMÓCRATA PROGRESISTA (9)",26,26,26,34,34
"RENOVADOR FEDERAL (10)",5,5,5,-,-
"LADRILLEROS UNIDOS (11)",17,17,17,17,17
"COMUNISTA (12)",1,1,-,-,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",1,1,1,-,-
"ACCIÓN POR CORRIENTES (14)",20,20,20,21,20
"UNIDOS POR CORRIENTES (15)",16,16,16,17,16
"LABORISTA AUTÓNOMO (17)",17,17,17,18,17
"ELI - ENCUENTRO LIBERAL (18)",61,61,61,62,61
"CAMBIO POPULAR (19)",2,2,2,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",23,23,-,-,-
"CONVOCATORIA POPULAR (21)",2,2,-,-,-
"FE (23)",0,0,0,-,-
"NUESTRA CAUSA (24)",3,3,3,-,-
"UNION POPULAR (25)",88,88,88,89,88
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,-,-
"ENCUENTRO CORRELIGIONARIO (27)",34,33,33,58,54
"CAMBIO AUSTERIDAD Y PROGRESO (28)",6,7,7,7,6
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0,-,-
"CIUDADANOS A GOBERNAR (30)",17,16,16,16,16
"CONSERVADOR POPULAR (31)",25,25,25,25,24
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",25,25,25,25,25
"NUEVO PAIS (33)",0,0,-,-,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",9,9,9,-,-
"TERCERA POSICIÓN (35)",3,2,2,-,-
"UNIÓN CORRENTINA (37)",18,18,18,26,25
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",18,18,18,19,19
"UNIÓN PARA EL DESARROLLO (42)",27,27,27,27,26
"NORTE GRANDE (43)",27,27,27,39,38
"ACCIÓN POR LA REPÚBLICA (44)",28,28,28,28,25
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",344,338,336,368,340
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",12,12,12,12,12
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,-,-
"SOCIALISTA (50)",34,34,34,59,56
"LIBERAL (51)",35,34,34,38,37
"AUTONOMISTA (52)",47,47,47,42,50
"DE LA VICTORIA (54)",4,4,4,-,-
"PROYECTO CORRIENTES (57)",1,1,-,-,-
"PRO - PROPUESTA REPUBLICANA (64)",21,21,20,21,22
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",0,0,0,-,-
"NUEVO (90)",28,27,21,25,42
"POPULAR CORRENTINO (169)",368,366,365,370,367
"CRECER CON TODOS (170)",45,45,45,47,43
"UNIÓN CELESTE Y BLANCO (173)",2,2,-,-,-
"COMPROMISO CORRENTINO (175)",3,3,-,-,-
"KOLINA (192)",2,2,2,-,-
"Votos en Blanco",49,63,76,48,75
"Votos Nulos",14,12,12,11,11
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
