partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",11,11,12,11,12
"JUSTICIALISTA (2)",24,19,22,-,-
"UNIÓN CÍVICA RADICAL (3)",136,136,136,167,166
"MOVIMIENTO SIEMPRE CORRIENTES (4)",71,71,68,70,171
"DEMÓCRATA CRISTIANO (5)",3,2,2,-,-
"DE LA CONCERTACIÓN - FORJA (7)",8,8,8,11,8
"FEDERAL (8)",0,0,-,-,-
"DEMÓCRATA PROGRESISTA (9)",6,6,6,9,8
"RENOVADOR FEDERAL (10)",1,1,1,-,-
"LADRILLEROS UNIDOS (11)",6,7,7,4,4
"COMUNISTA (12)",0,0,-,-,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",1,1,1,-,-
"ACCIÓN POR CORRIENTES (14)",6,6,6,6,6
"UNIDOS POR CORRIENTES (15)",7,7,7,7,7
"LABORISTA AUTÓNOMO (17)",8,7,7,8,7
"ELI - ENCUENTRO LIBERAL (18)",41,41,41,42,41
"CAMBIO POPULAR (19)",0,0,0,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,-,-
"CONVOCATORIA POPULAR (21)",0,0,-,-,-
"FE (23)",0,0,0,-,-
"NUESTRA CAUSA (24)",3,3,3,-,-
"UNION POPULAR (25)",205,200,200,226,197
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,-,-
"ENCUENTRO CORRELIGIONARIO (27)",6,6,6,6,6
"CAMBIO AUSTERIDAD Y PROGRESO (28)",13,13,13,12,12
"DEL TRABAJO Y DEL PUEBLO (29)",2,2,2,-,-
"CIUDADANOS A GOBERNAR (30)",0,0,0,0,0
"CONSERVADOR POPULAR (31)",2,2,2,2,2
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",0,0,0,0,0
"NUEVO PAIS (33)",2,2,-,-,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",1,1,1,1,1
"TERCERA POSICIÓN (35)",0,0,0,-,-
"UNIÓN CORRENTINA (37)",3,3,3,4,4
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",23,23,23,-,-
"UNIÓN PARA EL DESARROLLO (42)",6,6,6,6,6
"NORTE GRANDE (43)",2,2,2,2,2
"ACCIÓN POR LA REPÚBLICA (44)",27,27,27,26,25
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",49,49,49,51,51
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",5,5,4,5,5
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,-,-
"SOCIALISTA (50)",2,2,2,2,2
"LIBERAL (51)",130,130,130,136,116
"AUTONOMISTA (52)",181,178,179,190,140
"DE LA VICTORIA (54)",2,2,2,-,-
"PROYECTO CORRIENTES (57)",0,0,-,-,-
"PRO - PROPUESTA REPUBLICANA (64)",28,27,27,28,28
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",1,1,1,-,-
"NUEVO (90)",8,8,8,-,-
"POPULAR CORRENTINO (169)",7,7,7,6,4
"CRECER CON TODOS (170)",1,1,1,1,1
"UNIÓN CELESTE Y BLANCO (173)",4,4,-,-,-
"COMPROMISO CORRENTINO (175)",0,0,-,-,-
"KOLINA (192)",1,1,1,-,-
"Votos en Blanco",41,55,60,44,51
"Votos Nulos",1,1,1,1,1
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
