partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",2,2,2,2,2
"JUSTICIALISTA (2)",83,83,134,159,99
"UNIÓN CÍVICA RADICAL (3)",75,77,77,73,77
"MOVIMIENTO SIEMPRE CORRIENTES (4)",12,12,12,12,10
"DEMÓCRATA CRISTIANO (5)",0,0,0,0,0
"DE LA CONCERTACIÓN - FORJA (7)",3,3,3,3,16
"FEDERAL (8)",0,0,-,0,0
"DEMÓCRATA PROGRESISTA (9)",114,112,112,117,110
"RENOVADOR FEDERAL (10)",1,1,1,1,5
"LADRILLEROS UNIDOS (11)",4,4,4,4,2
"COMUNISTA (12)",0,3,-,-,3
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",3,2,1,3,3
"ACCIÓN POR CORRIENTES (14)",4,4,4,4,3
"UNIDOS POR CORRIENTES (15)",4,5,4,4,5
"LABORISTA AUTÓNOMO (17)",8,6,8,9,10
"ELI - ENCUENTRO LIBERAL (18)",6,4,6,5,3
"CAMBIO POPULAR (19)",0,0,0,0,0
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",3,3,-,0,1
"CONVOCATORIA POPULAR (21)",14,14,-,-,13
"FE (23)",2,7,2,2,1
"NUESTRA CAUSA (24)",0,0,0,0,0
"UNION POPULAR (25)",23,24,23,13,7
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",1,6,1,-,8
"ENCUENTRO CORRELIGIONARIO (27)",14,6,13,13,11
"CAMBIO AUSTERIDAD Y PROGRESO (28)",15,10,15,13,11
"DEL TRABAJO Y DEL PUEBLO (29)",0,1,0,0,0
"CIUDADANOS A GOBERNAR (30)",7,13,6,6,7
"CONSERVADOR POPULAR (31)",11,11,11,11,7
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",31,28,31,33,32
"NUEVO PAIS (33)",6,7,-,-,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",32,28,32,31,25
"TERCERA POSICIÓN (35)",2,0,2,2,0
"UNIÓN CORRENTINA (37)",6,12,4,4,5
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",4,4,4,4,3
"UNIÓN PARA EL DESARROLLO (42)",3,3,3,3,3
"NORTE GRANDE (43)",30,30,30,30,30
"ACCIÓN POR LA REPÚBLICA (44)",3,7,2,3,2
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,0
"VAMOS CORRIENTES (46)",0,1,0,0,0
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",67,62,62,62,70
"PARTIDO AGRARIO Y SOCIAL (49)",24,27,-,-,23
"SOCIALISTA (50)",7,6,6,6,6
"LIBERAL (51)",2,2,2,1,1
"AUTONOMISTA (52)",29,29,29,29,33
"DE LA VICTORIA (54)",1,1,1,1,1
"PROYECTO CORRIENTES (57)",0,0,-,-,-
"PRO - PROPUESTA REPUBLICANA (64)",3,2,2,2,2
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",8,8,8,8,8
"NUEVO (90)",1,1,2,1,1
"POPULAR CORRENTINO (169)",8,7,7,2,5
"CRECER CON TODOS (170)",1,1,1,1,1
"UNIÓN CELESTE Y BLANCO (173)",0,0,-,0,0
"COMPROMISO CORRENTINO (175)",3,3,-,-,3
"KOLINA (192)",1,1,1,1,1
"Votos en Blanco",17,15,30,19,29
"Votos Nulos",1,1,1,2,1
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
