partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",13,13,13,15,14
"JUSTICIALISTA (2)",7,6,10,5,6
"UNIÓN CÍVICA RADICAL (3)",80,80,78,73,59
"MOVIMIENTO SIEMPRE CORRIENTES (4)",8,8,8,8,8
"DEMÓCRATA CRISTIANO (5)",0,0,0,0,0
"DE LA CONCERTACIÓN - FORJA (7)",0,0,0,0,0
"FEDERAL (8)",0,0,-,0,0
"DEMÓCRATA PROGRESISTA (9)",48,48,48,46,28
"RENOVADOR FEDERAL (10)",1,1,2,1,1
"LADRILLEROS UNIDOS (11)",1,1,1,1,1
"COMUNISTA (12)",1,1,-,1,1
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",3,3,3,3,3
"ACCIÓN POR CORRIENTES (14)",17,17,17,18,14
"UNIDOS POR CORRIENTES (15)",2,2,2,2,4
"LABORISTA AUTÓNOMO (17)",6,6,6,6,6
"ELI - ENCUENTRO LIBERAL (18)",75,75,74,75,81
"CAMBIO POPULAR (19)",1,1,1,1,1
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0
"CONVOCATORIA POPULAR (21)",0,0,-,0,0
"FE (23)",0,0,0,0,0
"NUESTRA CAUSA (24)",1,1,1,1,1
"UNION POPULAR (25)",29,27,28,34,30
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",1,1,1,1,1
"ENCUENTRO CORRELIGIONARIO (27)",4,5,4,4,4
"CAMBIO AUSTERIDAD Y PROGRESO (28)",0,0,0,0,0
"DEL TRABAJO Y DEL PUEBLO (29)",1,1,1,0,0
"CIUDADANOS A GOBERNAR (30)",11,11,11,11,28
"CONSERVADOR POPULAR (31)",0,0,0,0,0
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",2,2,2,2,2
"NUEVO PAIS (33)",2,2,-,2,2
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",10,10,9,11,9
"TERCERA POSICIÓN (35)",1,1,1,1,1
"UNIÓN CORRENTINA (37)",97,94,95,107,122
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",5,5,5,5,5
"UNIÓN PARA EL DESARROLLO (42)",0,0,0,0,0
"NORTE GRANDE (43)",0,0,0,-,-
"ACCIÓN POR LA REPÚBLICA (44)",0,0,0,0,0
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,0
"VAMOS CORRIENTES (46)",0,0,0,0,0
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",16,16,16,16,17
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,0,0
"SOCIALISTA (50)",1,1,1,1,1
"LIBERAL (51)",5,5,5,2,3
"AUTONOMISTA (52)",7,6,6,4,3
"DE LA VICTORIA (54)",1,1,1,0,0
"PROYECTO CORRIENTES (57)",1,1,-,1,1
"PRO - PROPUESTA REPUBLICANA (64)",1,1,1,0,0
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",2,0,1,0,0
"NUEVO (90)",6,6,6,6,6
"POPULAR CORRENTINO (169)",4,4,4,-,-
"CRECER CON TODOS (170)",0,0,0,0,0
"UNIÓN CELESTE Y BLANCO (173)",0,0,-,0,0
"COMPROMISO CORRENTINO (175)",0,0,-,0,0
"KOLINA (192)",1,1,1,1,1
"Votos en Blanco",5,13,14,12,13
"Votos Nulos",2,2,2,2,2
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
