partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",44,42,43,46,44
"JUSTICIALISTA (2)",81,76,97,84,74
"UNIÓN CÍVICA RADICAL (3)",474,454,459,485,473
"MOVIMIENTO SIEMPRE CORRIENTES (4)",46,44,44,49,48
"DEMÓCRATA CRISTIANO (5)",11,11,11,11,10
"DE LA CONCERTACIÓN - FORJA (7)",29,28,28,30,30
"FEDERAL (8)",2,2,-,2,2
"DEMÓCRATA PROGRESISTA (9)",35,33,33,34,39
"RENOVADOR FEDERAL (10)",4,6,6,7,7
"LADRILLEROS UNIDOS (11)",28,27,27,28,25
"COMUNISTA (12)",3,3,-,3,3
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",1,1,4,0,0
"ACCIÓN POR CORRIENTES (14)",31,30,30,31,26
"UNIDOS POR CORRIENTES (15)",45,45,45,44,43
"LABORISTA AUTÓNOMO (17)",17,17,17,17,21
"ELI - ENCUENTRO LIBERAL (18)",238,228,230,238,275
"CAMBIO POPULAR (19)",0,0,0,0,0
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",7,7,-,6,7
"CONVOCATORIA POPULAR (21)",5,5,-,4,4
"FE (23)",4,3,2,3,3
"NUESTRA CAUSA (24)",6,6,6,5,6
"UNION POPULAR (25)",35,32,32,34,33
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",1,1,1,0,0
"ENCUENTRO CORRELIGIONARIO (27)",61,58,58,60,53
"CAMBIO AUSTERIDAD Y PROGRESO (28)",37,37,37,40,39
"DEL TRABAJO Y DEL PUEBLO (29)",3,3,2,5,3
"CIUDADANOS A GOBERNAR (30)",33,32,33,35,33
"CONSERVADOR POPULAR (31)",20,19,19,19,18
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",27,27,27,27,24
"NUEVO PAIS (33)",1,1,-,1,1
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",16,16,16,17,17
"TERCERA POSICIÓN (35)",5,5,5,4,5
"UNIÓN CORRENTINA (37)",10,10,10,10,10
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",24,26,26,27,26
"UNIÓN PARA EL DESARROLLO (42)",17,16,17,17,17
"NORTE GRANDE (43)",95,94,94,96,101
"ACCIÓN POR LA REPÚBLICA (44)",39,39,39,38,55
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,0
"VAMOS CORRIENTES (46)",32,31,31,34,34
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",27,26,26,25,24
"PARTIDO AGRARIO Y SOCIAL (49)",9,9,-,-,-
"SOCIALISTA (50)",37,36,37,40,38
"LIBERAL (51)",55,56,57,57,58
"AUTONOMISTA (52)",27,27,29,25,28
"DE LA VICTORIA (54)",3,3,1,3,2
"PROYECTO CORRIENTES (57)",3,2,-,7,6
"PRO - PROPUESTA REPUBLICANA (64)",73,70,70,75,69
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",7,7,7,9,8
"NUEVO (90)",331,326,328,353,320
"POPULAR CORRENTINO (169)",63,62,62,46,46
"CRECER CON TODOS (170)",34,32,29,33,29
"UNIÓN CELESTE Y BLANCO (173)",3,3,-,3,3
"COMPROMISO CORRENTINO (175)",9,8,-,5,5
"KOLINA (192)",8,6,6,6,6
"Votos en Blanco",57,131,138,43,68
"Votos Nulos",28,22,22,20,22
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
