partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",3,3,2,2,2
"JUSTICIALISTA (2)",79,79,85,75,75
"UNIÓN CÍVICA RADICAL (3)",279,278,277,281,281
"MOVIMIENTO SIEMPRE CORRIENTES (4)",4,4,4,4,4
"DEMÓCRATA CRISTIANO (5)",9,9,9,9,9
"DE LA CONCERTACIÓN - FORJA (7)",0,0,0,0,0
"FEDERAL (8)",2,2,-,2,3
"DEMÓCRATA PROGRESISTA (9)",1,1,1,1,1
"RENOVADOR FEDERAL (10)",6,7,7,7,3
"LADRILLEROS UNIDOS (11)",0,0,0,0,0
"COMUNISTA (12)",2,2,-,2,2
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",23,23,23,22,23
"ACCIÓN POR CORRIENTES (14)",1,1,1,1,1
"UNIDOS POR CORRIENTES (15)",1,1,1,1,1
"LABORISTA AUTÓNOMO (17)",0,0,0,0,0
"ELI - ENCUENTRO LIBERAL (18)",69,68,68,70,70
"CAMBIO POPULAR (19)",4,4,4,6,6
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0
"CONVOCATORIA POPULAR (21)",1,1,-,1,1
"FE (23)",0,0,0,-,-
"NUESTRA CAUSA (24)",2,2,2,2,2
"UNION POPULAR (25)",12,12,12,12,12
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",1,1,1,0,0
"ENCUENTRO CORRELIGIONARIO (27)",1,1,1,1,1
"CAMBIO AUSTERIDAD Y PROGRESO (28)",0,0,0,0,0
"DEL TRABAJO Y DEL PUEBLO (29)",7,7,7,8,8
"CIUDADANOS A GOBERNAR (30)",3,3,3,3,3
"CONSERVADOR POPULAR (31)",1,1,1,1,1
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",0,0,0,0,0
"NUEVO PAIS (33)",2,2,-,2,2
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",0,0,0,0,0
"TERCERA POSICIÓN (35)",0,0,0,0,0
"UNIÓN CORRENTINA (37)",2,2,2,2,2
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",1,1,1,1,1
"UNIÓN PARA EL DESARROLLO (42)",1,1,1,1,1
"NORTE GRANDE (43)",1,1,1,1,0
"ACCIÓN POR LA REPÚBLICA (44)",1,1,1,1,1
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,-
"VAMOS CORRIENTES (46)",2,2,2,2,2
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",2,1,1,1,1
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,0,0
"SOCIALISTA (50)",0,0,0,0,0
"LIBERAL (51)",34,31,33,33,35
"AUTONOMISTA (52)",5,5,6,5,5
"DE LA VICTORIA (54)",0,0,0,0,0
"PROYECTO CORRIENTES (57)",5,5,-,5,5
"PRO - PROPUESTA REPUBLICANA (64)",1,1,1,1,1
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",1,1,1,1,1
"NUEVO (90)",1,1,1,1,1
"POPULAR CORRENTINO (169)",28,28,28,27,27
"CRECER CON TODOS (170)",2,2,2,2,2
"UNIÓN CELESTE Y BLANCO (173)",10,10,-,10,10
"COMPROMISO CORRENTINO (175)",0,0,-,0,0
"KOLINA (192)",12,12,12,13,13
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,0,0
"Votos en Blanco",5,10,25,7,8
"Votos Nulos",0,0,0,0,0
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
